Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Alto C.H. Church Benevolent- The Grace House,0.0,3712.0,0.0,0.0,3715.0,0.0,0.0,2424.0,0.0,0.0,2053.0,0.0,0.0,5503.0,0.0,3941.0,0.0,0.0,0.0,3387.0,0.0,4782.0,0.0,0.0,4874.0,0.0,0.0,0.0,6361.0,0.0,0.0,0.0,4976.0,0.0,4752.0,0.0,3712.0,-3712.0,0.0,3715.0,-3715.0,0.0,2424.0,-2424.0,0.0,2053.0,-2053.0,0.0,5503.0,-5503.0,3941.0,-3941.0,0.0,0.0,3387.0,-3387.0,4782.0,-4782.0,0.0,4874.0,-4874.0,0.0,0.0,6361.0,-6361.0,0.0,0.0,4976.0,-4976.0,4752.0,-4752.0
"Banks County Family Connection, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,226.0,76.0,624.0,1189.0,1152.0,436.0,1688.0,0.0,0.0,562.0,8186.0,10050.0,8784.0,14821.0,509.0,1234.0,806.0,983.0,557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,102.0,-150.0,548.0,565.0,-37.0,-716.0,1252.0,-1688.0,0.0,562.0,7624.0,1864.0,-1266.0,6037.0,-14312.0,725.0,-428.0,177.0,-426.0,-557.0
Banks: Homer UMC Senior Staples Program,2342.0,1038.0,0.0,2250.0,1140.0,0.0,1014.0,900.0,216.0,1981.0,0.0,0.0,1598.0,0.0,0.0,0.0,0.0,262.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1304.0,-1038.0,2250.0,-1110.0,-1140.0,1014.0,-114.0,-684.0,1765.0,-1981.0,0.0,1598.0,-1598.0,0.0,0.0,0.0,262.0,-96.0,-166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DECAL Grant Banks Elementary School  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3262.0,699.0,0.0,1345.0,988.0,1280.0,932.0,1732.0,1367.0,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3262.0,-2563.0,-699.0,1345.0,-357.0,292.0,-348.0,800.0,-365.0,-318.0,-1049.0
DECAL Grant Banks Head Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,1398.0,658.0,1380.0,988.0,1318.0,1538.0,1705.0,1219.0,1523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,988.0,-740.0,722.0,-392.0,330.0,220.0,167.0,-486.0,304.0,-1523.0
DECAL Grant Banks High School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3262.0,887.0,0.0,1303.0,892.0,1280.0,1389.0,1732.0,1357.0,2918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3262.0,-2375.0,-887.0,1303.0,-411.0,388.0,109.0,343.0,-375.0,1561.0,-2918.0
DECAL Grant Banks Primary School,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3262.0,887.0,0.0,1303.0,1015.0,1280.0,1538.0,1722.0,1568.0,2090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3262.0,-2375.0,-887.0,1303.0,-288.0,265.0,258.0,184.0,-154.0,522.0,-2090.0
Damascus Baptist Church,707.0,1412.0,1431.0,2059.0,1819.0,1349.0,1353.0,524.0,1200.0,774.0,412.0,967.0,1045.0,785.0,1174.0,884.0,1316.0,1414.0,1120.0,1449.0,1533.0,963.0,3053.0,1505.0,1416.0,1666.0,1531.0,2652.0,1933.0,2690.0,0.0,540.0,2034.0,1462.0,923.0,1620.0,705.0,19.0,628.0,-240.0,-470.0,4.0,-829.0,676.0,-426.0,-362.0,555.0,78.0,-260.0,389.0,-290.0,432.0,98.0,-294.0,329.0,84.0,-570.0,2090.0,-1548.0,-89.0,250.0,-135.0,1121.0,-719.0,757.0,-2690.0,540.0,1494.0,-572.0,-539.0,697.0
Food 2 Kids Banks County,0.0,6000.0,0.0,2490.0,2425.0,3250.0,1950.0,2600.0,2600.0,3900.0,1950.0,2600.0,0.0,0.0,16946.0,10244.0,20768.0,14862.0,21948.0,17153.0,18059.0,14334.0,8707.0,20145.5,24772.0,26179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10043.0,35172.0,6000.0,-6000.0,2490.0,-65.0,825.0,-1300.0,650.0,0.0,1300.0,-1950.0,650.0,-2600.0,0.0,16946.0,-6702.0,10524.0,-5906.0,7086.0,-4795.0,906.0,-3725.0,-5627.0,11438.5,4626.5,1407.0,-26179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10043.0,25129.0
"Get Real Ministries, Inc.",7936.0,8563.0,9283.0,8264.0,7810.0,7849.0,6081.0,7715.0,4256.0,7426.0,8168.0,6349.0,5494.0,5752.0,6677.0,9061.0,4304.0,6328.0,4014.0,8290.0,8698.0,8027.0,8099.0,3058.0,8318.0,8012.0,6981.0,4133.0,7065.0,6012.0,3386.0,6340.0,10807.0,7604.0,6246.0,8025.0,627.0,720.0,-1019.0,-454.0,39.0,-1768.0,1634.0,-3459.0,3170.0,742.0,-1819.0,-855.0,258.0,925.0,2384.0,-4757.0,2024.0,-2314.0,4276.0,408.0,-671.0,72.0,-5041.0,5260.0,-306.0,-1031.0,-2848.0,2932.0,-1053.0,-2626.0,2954.0,4467.0,-3203.0,-1358.0,1779.0
