Agency,Time,dist_volume,delta,pct_change
Alto C.H. Church Benevolent- The Grace House,2022-07,0.0,0.0,
Alto C.H. Church Benevolent- The Grace House,2022-08,3712.0,3712.0,inf
Alto C.H. Church Benevolent- The Grace House,2022-09,0.0,-3712.0,-1.0
Alto C.H. Church Benevolent- The Grace House,2022-10,0.0,0.0,0.0
Alto C.H. Church Benevolent- The Grace House,2022-11,3715.0,3715.0,inf
Alto C.H. Church Benevolent- The Grace House,2022-12,0.0,-3715.0,-1.0
Alto C.H. Church Benevolent- The Grace House,2023-01,0.0,0.0,0.0
Alto C.H. Church Benevolent- The Grace House,2023-02,2424.0,2424.0,inf
Alto C.H. Church Benevolent- The Grace House,2023-03,0.0,-2424.0,-1.0
Alto C.H. Church Benevolent- The Grace House,2023-04,0.0,0.0,0.0
Alto C.H. Church Benevolent- The Grace House,2023-05,2053.0,2053.0,inf
Alto C.H. Church Benevolent- The Grace House,2023-06,0.0,-2053.0,-1.0
Alto C.H. Church Benevolent- The Grace House,2023-07,0.0,0.0,0.0
Alto C.H. Church Benevolent- The Grace House,2023-08,5503.0,5503.0,inf
Alto C.H. Church Benevolent- The Grace House,2023-09,0.0,-5503.0,-1.0
Alto C.H. Church Benevolent- The Grace House,2023-10,3941.0,3941.0,inf
Alto C.H. Church Benevolent- The Grace House,2023-11,0.0,-3941.0,-1.0
Alto C.H. Church Benevolent- The Grace House,2023-12,0.0,0.0,0.0
Alto C.H. Church Benevolent- The Grace House,2024-01,0.0,0.0,0.0
Alto C.H. Church Benevolent- The Grace House,2024-02,3387.0,3387.0,inf
Alto C.H. Church Benevolent- The Grace House,2024-03,0.0,-3387.0,-1.0
Alto C.H. Church Benevolent- The Grace House,2024-04,4782.0,4782.0,inf
Alto C.H. Church Benevolent- The Grace House,2024-05,0.0,-4782.0,-1.0
Alto C.H. Church Benevolent- The Grace House,2024-06,0.0,0.0,0.0
Alto C.H. Church Benevolent- The Grace House,2024-07,4874.0,4874.0,inf
Alto C.H. Church Benevolent- The Grace House,2024-08,0.0,-4874.0,-1.0
Alto C.H. Church Benevolent- The Grace House,2024-09,0.0,0.0,0.0
Alto C.H. Church Benevolent- The Grace House,2024-10,0.0,0.0,0.0
Alto C.H. Church Benevolent- The Grace House,2024-11,6361.0,6361.0,inf
Alto C.H. Church Benevolent- The Grace House,2024-12,0.0,-6361.0,-1.0
Alto C.H. Church Benevolent- The Grace House,2025-01,0.0,0.0,0.0
Alto C.H. Church Benevolent- The Grace House,2025-02,0.0,0.0,0.0
Alto C.H. Church Benevolent- The Grace House,2025-03,4976.0,4976.0,inf
Alto C.H. Church Benevolent- The Grace House,2025-04,0.0,-4976.0,-1.0
Alto C.H. Church Benevolent- The Grace House,2025-05,4752.0,4752.0,inf
Alto C.H. Church Benevolent- The Grace House,2025-06,0.0,-4752.0,-1.0
"Banks County Family Connection, Inc.",2022-07,0.0,0.0,
"Banks County Family Connection, Inc.",2022-08,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2022-09,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2022-10,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2022-11,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2022-12,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2023-01,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2023-02,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2023-03,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2023-04,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2023-05,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2023-06,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2023-07,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2023-08,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2023-09,0.0,0.0,0.0
"Banks County Family Connection, Inc.",2023-10,124.0,124.0,inf
"Banks County Family Connection, Inc.",2023-11,226.0,102.0,0.8225806451612904
"Banks County Family Connection, Inc.",2023-12,76.0,-150.0,-0.6637168141592921
"Banks County Family Connection, Inc.",2024-01,624.0,548.0,7.2105263157894735
"Banks County Family Connection, Inc.",2024-02,1189.0,565.0,0.905448717948718
"Banks County Family Connection, Inc.",2024-03,1152.0,-37.0,-0.031118587047939444
"Banks County Family Connection, Inc.",2024-04,436.0,-716.0,-0.6215277777777778
"Banks County Family Connection, Inc.",2024-05,1688.0,1252.0,2.871559633027523
"Banks County Family Connection, Inc.",2024-06,0.0,-1688.0,-1.0
"Banks County Family Connection, Inc.",2024-07,0.0,0.0,0.0
