Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
1025 Church,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11913.0
Auburn First Baptist Church,3114.0,3544.0,3432.0,4684.0,2922.0,2828.0,4125.0,3647.0,4484.0,3241.0,3062.0,5386.0,4285.0,3697.0,4406.0,3756.0,4044.0,4914.0,4288.0,4665.0,4868.0,3311.0,5439.0,2704.0,2460.0,4251.0,2898.0,3102.0,3018.0,2291.0,3835.0,2280.0,2344.0,3255.0,3360.0,2233.0,430.0,-112.0,1252.0,-1762.0,-94.0,1297.0,-478.0,837.0,-1243.0,-179.0,2324.0,-1101.0,-588.0,709.0,-650.0,288.0,870.0,-626.0,377.0,203.0,-1557.0,2128.0,-2735.0,-244.0,1791.0,-1353.0,204.0,-84.0,-727.0,1544.0,-1555.0,64.0,911.0,105.0,-1127.0
Barrow County Food Pantry,29301.0,31505.0,28147.0,37625.0,29128.0,43777.0,24043.0,26655.0,25240.0,36395.0,19983.0,23029.0,28662.0,41545.0,31354.0,35146.0,39350.0,59677.0,39217.0,30928.0,40706.0,42821.0,41183.0,46022.0,60301.0,48402.0,55950.0,53602.0,58579.0,60072.0,43495.0,37919.0,40361.0,52920.0,33050.0,10971.0,2204.0,-3358.0,9478.0,-8497.0,14649.0,-19734.0,2612.0,-1415.0,11155.0,-16412.0,3046.0,5633.0,12883.0,-10191.0,3792.0,4204.0,20327.0,-20460.0,-8289.0,9778.0,2115.0,-1638.0,4839.0,14279.0,-11899.0,7548.0,-2348.0,4977.0,1493.0,-16577.0,-5576.0,2442.0,12559.0,-19870.0,-22079.0
Barrow County MedLink Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11607.0,-11607.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barrow: STYGE Senior Staples Program,1138.0,0.0,1300.0,1010.0,1413.0,980.0,0.0,360.0,0.0,1616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1138.0,1300.0,-290.0,403.0,-433.0,-980.0,360.0,-360.0,1616.0,-1616.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,-330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barrow: Winder Freelife Church Senior Staples Program,314.0,0.0,548.0,607.0,1236.0,0.0,531.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,124.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-314.0,548.0,59.0,629.0,-1236.0,531.0,-68.0,-463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,6.0,-26.0,-98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bear Creek First Baptist Church,0.0,15914.0,0.0,16490.0,0.0,0.0,0.0,0.0,5280.0,10833.0,0.0,17502.0,0.0,0.0,0.0,0.0,20352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11900.0,0.0,0.0,0.0,0.0,11880.0,0.0,0.0,0.0,15914.0,-15914.0,16490.0,-16490.0,0.0,0.0,0.0,5280.0,5553.0,-10833.0,17502.0,-17502.0,0.0,0.0,0.0,20352.0,-20352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11900.0,-11900.0,0.0,0.0,0.0,11880.0,-11880.0,0.0,0.0
Bethlehem FUMC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3897.0,999.0,2084.0,2534.0,1853.0,3192.0,2330.0,3556.0,2915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3897.0,-2898.0,1085.0,450.0,-681.0,1339.0,-862.0,1226.0,-641.0
"Called to Serve Georgia, Inc",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4254.0,3084.0,0.0,1927.0,2597.0,1446.0,949.0,0.0,0.0,4051.0,2422.0,2972.0,3644.0,2198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4254.0,-1170.0,-3084.0,1927.0,670.0,-1151.0,-497.0,-949.0,0.0,4051.0,-1629.0,550.0,672.0,-1446.0
Christ The King Ghana Methodist,1471.0,0.0,0.0,0.0,2407.0,1165.0,1782.0,1296.0,2588.0,2376.0,3339.0,3683.0,3031.0,4170.0,2573.0,3737.0,6415.0,3960.0,6732.0,4832.0,4657.0,3479.0,4914.0,1133.0,3340.0,5797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1471.0,0.0,0.0,2407.0,-1242.0,617.0,-486.0,1292.0,-212.0,963.0,344.0,-652.0,1139.0,-1597.0,1164.0,2678.0,-2455.0,2772.0,-1900.0,-175.0,-1178.0,1435.0,-3781.0,2207.0,2457.0,-5797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
