Agency,Time,dist_volume,delta,pct_change
1025 Church,2022-07 to 2025-05,0.0,0.0,0.0
1025 Church,2025-06,11913.0,11913.0,inf
Auburn First Baptist Church,2022-07,3114.0,0.0,0.0
Auburn First Baptist Church,2022-08,3544.0,430.0,0.138
Auburn First Baptist Church,2022-09,3432.0,-112.0,-0.032
Auburn First Baptist Church,2022-10,4684.0,1252.0,0.365
Auburn First Baptist Church,2022-11,2922.0,-1762.0,-0.376
Auburn First Baptist Church,2022-12,2828.0,-94.0,-0.032
Auburn First Baptist Church,2023-01,4125.0,1297.0,0.459
Auburn First Baptist Church,2023-02,3647.0,-478.0,-0.116
Auburn First Baptist Church,2023-03,4484.0,837.0,0.23
Auburn First Baptist Church,2023-04,3241.0,-1243.0,-0.277
Auburn First Baptist Church,2023-05,3062.0,-179.0,-0.055
Auburn First Baptist Church,2023-06,5386.0,2324.0,0.759
Auburn First Baptist Church,2023-07,4285.0,-1101.0,-0.204
Auburn First Baptist Church,2023-08,3697.0,-588.0,-0.137
Auburn First Baptist Church,2023-09,4406.0,709.0,0.192
Auburn First Baptist Church,2023-10,3756.0,-650.0,-0.148
Auburn First Baptist Church,2023-11,4044.0,288.0,0.077
Auburn First Baptist Church,2023-12,4914.0,870.0,0.215
Auburn First Baptist Church,2024-01,4288.0,-626.0,-0.127
Auburn First Baptist Church,2024-02,4665.0,377.0,0.088
Auburn First Baptist Church,2024-03,4868.0,203.0,0.044
Auburn First Baptist Church,2024-04,3311.0,-1557.0,-0.32
Auburn First Baptist Church,2024-05,5439.0,2128.0,0.643
Auburn First Baptist Church,2024-06,2704.0,-2735.0,-0.503
Auburn First Baptist Church,2024-07,2460.0,-244.0,-0.09
Auburn First Baptist Church,2024-08,4251.0,1791.0,0.728
Auburn First Baptist Church,2024-09,2898.0,-1353.0,-0.318
Auburn First Baptist Church,2024-10,3102.0,204.0,0.07
Auburn First Baptist Church,2024-11,3018.0,-84.0,-0.027
Auburn First Baptist Church,2024-12,2291.0,-727.0,-0.241
Auburn First Baptist Church,2025-01,3835.0,1544.0,0.674
Auburn First Baptist Church,2025-02,2280.0,-1555.0,-0.405
Auburn First Baptist Church,2025-03,2344.0,64.0,0.028
Auburn First Baptist Church,2025-04,3255.0,911.0,0.389
Auburn First Baptist Church,2025-05,3360.0,105.0,0.032
Auburn First Baptist Church,2025-06,2233.0,-1127.0,-0.335
Barrow County Food Pantry,2022-07,29301.0,0.0,0.0
Barrow County Food Pantry,2022-08,31505.0,2204.0,0.075
Barrow County Food Pantry,2022-09,28147.0,-3358.0,-0.107
Barrow County Food Pantry,2022-10,37625.0,9478.0,0.337
Barrow County Food Pantry,2022-11,29128.0,-8497.0,-0.226
Barrow County Food Pantry,2022-12,43777.0,14649.0,0.503
Barrow County Food Pantry,2023-01,24043.0,-19734.0,-0.451
Barrow County Food Pantry,2023-02,26655.0,2612.0,0.109
Barrow County Food Pantry,2023-03,25240.0,-1415.0,-0.053
Barrow County Food Pantry,2023-04,36395.0,11155.0,0.442
Barrow County Food Pantry,2023-05,19983.0,-16412.0,-0.451
Barrow County Food Pantry,2023-06,23029.0,3046.0,0.152
Barrow County Food Pantry,2023-07,28662.0,5633.0,0.245
Barrow County Food Pantry,2023-08,41545.0,12883.0,0.449
Barrow County Food Pantry,2023-09,31354.0,-10191.0,-0.245
Barrow County Food Pantry,2023-10,35146.0,3792.0,0.121
Barrow County Food Pantry,2023-11,39350.0,4204.0,0.12
Barrow County Food Pantry,2023-12,59677.0,20327.0,0.517
