Agency,Time,dist_volume,delta,pct_change
1025 Church,2022-07,0.0,0.0,
1025 Church,2022-08,0.0,0.0,0.0
1025 Church,2022-09,0.0,0.0,0.0
1025 Church,2022-10,0.0,0.0,0.0
1025 Church,2022-11,0.0,0.0,0.0
1025 Church,2022-12,0.0,0.0,0.0
1025 Church,2023-01,0.0,0.0,0.0
1025 Church,2023-02,0.0,0.0,0.0
1025 Church,2023-03,0.0,0.0,0.0
1025 Church,2023-04,0.0,0.0,0.0
1025 Church,2023-05,0.0,0.0,0.0
1025 Church,2023-06,0.0,0.0,0.0
1025 Church,2023-07,0.0,0.0,0.0
1025 Church,2023-08,0.0,0.0,0.0
1025 Church,2023-09,0.0,0.0,0.0
1025 Church,2023-10,0.0,0.0,0.0
1025 Church,2023-11,0.0,0.0,0.0
1025 Church,2023-12,0.0,0.0,0.0
1025 Church,2024-01,0.0,0.0,0.0
1025 Church,2024-02,0.0,0.0,0.0
1025 Church,2024-03,0.0,0.0,0.0
1025 Church,2024-04,0.0,0.0,0.0
1025 Church,2024-05,0.0,0.0,0.0
1025 Church,2024-06,0.0,0.0,0.0
1025 Church,2024-07,0.0,0.0,0.0
1025 Church,2024-08,0.0,0.0,0.0
1025 Church,2024-09,0.0,0.0,0.0
1025 Church,2024-10,0.0,0.0,0.0
1025 Church,2024-11,0.0,0.0,0.0
1025 Church,2024-12,0.0,0.0,0.0
1025 Church,2025-01,0.0,0.0,0.0
1025 Church,2025-02,0.0,0.0,0.0
1025 Church,2025-03,0.0,0.0,0.0
1025 Church,2025-04,0.0,0.0,0.0
1025 Church,2025-05,0.0,0.0,0.0
1025 Church,2025-06,11913.0,11913.0,inf
Auburn First Baptist Church,2022-07,3114.0,0.0,
Auburn First Baptist Church,2022-08,3544.0,430.0,0.13808606294155426
Auburn First Baptist Church,2022-09,3432.0,-112.0,-0.03160270880361174
Auburn First Baptist Church,2022-10,4684.0,1252.0,0.36480186480186483
Auburn First Baptist Church,2022-11,2922.0,-1762.0,-0.37617421007685736
Auburn First Baptist Church,2022-12,2828.0,-94.0,-0.03216974674880219
Auburn First Baptist Church,2023-01,4125.0,1297.0,0.4586280056577086
Auburn First Baptist Church,2023-02,3647.0,-478.0,-0.11587878787878787
Auburn First Baptist Church,2023-03,4484.0,837.0,0.2295037016726076
Auburn First Baptist Church,2023-04,3241.0,-1243.0,-0.2772078501338091
Auburn First Baptist Church,2023-05,3062.0,-179.0,-0.05522986732489972
Auburn First Baptist Church,2023-06,5386.0,2324.0,0.75898105813194
Auburn First Baptist Church,2023-07,4285.0,-1101.0,-0.20441886372075752
Auburn First Baptist Church,2023-08,3697.0,-588.0,-0.13722287047841306
Auburn First Baptist Church,2023-09,4406.0,709.0,0.19177711658101163
Auburn First Baptist Church,2023-10,3756.0,-650.0,-0.147526100771675
Auburn First Baptist Church,2023-11,4044.0,288.0,0.07667731629392971
Auburn First Baptist Church,2023-12,4914.0,870.0,0.21513353115727002
Auburn First Baptist Church,2024-01,4288.0,-626.0,-0.1273911273911274
Auburn First Baptist Church,2024-02,4665.0,377.0,0.08791977611940298
Auburn First Baptist Church,2024-03,4868.0,203.0,0.043515541264737403
