Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
1st Step Program,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,580.0,670.0,0.0,0.0,0.0,2031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,-51.0,0.0,580.0,90.0,-670.0,0.0,0.0,2031.0,-2031.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIDS Athens (Live Forward),480.0,0.0,0.0,0.0,0.0,545.0,687.0,399.0,320.0,319.0,389.0,0.0,391.0,0.0,616.0,540.0,520.0,393.0,0.0,0.0,0.0,0.0,0.0,708.0,0.0,524.0,481.0,376.0,0.0,756.0,0.0,699.0,485.0,411.0,0.0,0.0,-480.0,0.0,0.0,0.0,545.0,142.0,-288.0,-79.0,-1.0,70.0,-389.0,391.0,-391.0,616.0,-76.0,-20.0,-127.0,-393.0,0.0,0.0,0.0,0.0,708.0,-708.0,524.0,-43.0,-105.0,-376.0,756.0,-756.0,699.0,-214.0,-74.0,-411.0,0.0
Acceptance Recovery Center Inc.,1761.0,3304.0,1329.0,1878.0,1259.0,1352.0,2257.0,1603.0,2328.0,2066.0,2035.0,2051.0,1516.0,2063.0,1119.0,1716.0,2419.0,1457.0,1937.0,4228.0,1617.0,2605.0,2184.0,1304.0,1875.0,3872.0,3149.0,3075.0,2043.0,1967.0,3807.0,2023.0,3354.0,4328.0,3604.0,2729.4,1543.0,-1975.0,549.0,-619.0,93.0,905.0,-654.0,725.0,-262.0,-31.0,16.0,-535.0,547.0,-944.0,597.0,703.0,-962.0,480.0,2291.0,-2611.0,988.0,-421.0,-880.0,571.0,1997.0,-723.0,-74.0,-1032.0,-76.0,1840.0,-1784.0,1331.0,974.0,-724.0,-874.5999999999999
Acceptance Recovery Inc. Men's,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1934.0
Advantage Behavioral Health System - Homeless Day Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0,0.0,651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0,-685.0,651.0,-651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Advantage Behavioral Health System - Women's Services,0.0,0.0,0.0,582.0,0.0,0.0,0.0,259.0,391.0,0.0,0.0,0.0,263.0,500.0,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.0,654.0,537.0,432.0,796.0,594.0,414.0,2846.0,6330.0,2035.0,6508.0,2938.2,0.0,0.0,582.0,-582.0,0.0,0.0,259.0,132.0,-391.0,0.0,0.0,263.0,237.0,-223.0,-277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.0,-484.0,-117.0,-105.0,364.0,-202.0,-180.0,2432.0,3484.0,-4295.0,4473.0,-3569.8
Angels in Motion Learning Center,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5270.0,11926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5270.0,6656.0
Athena Athletic F.K.A Gladiator Football Foundation,574.0,4634.0,1083.0,877.0,1873.0,202.0,2150.0,1209.0,329.0,1212.0,364.0,650.0,420.0,3163.0,596.0,1060.0,1586.0,1329.0,2675.0,3354.0,209.0,321.0,0.0,0.0,0.0,1422.0,1053.0,2506.0,3190.0,2890.0,1910.0,2515.0,2384.0,605.0,488.0,163.0,4060.0,-3551.0,-206.0,996.0,-1671.0,1948.0,-941.0,-880.0,883.0,-848.0,286.0,-230.0,2743.0,-2567.0,464.0,526.0,-257.0,1346.0,679.0,-3145.0,112.0,-321.0,0.0,0.0,1422.0,-369.0,1453.0,684.0,-300.0,-980.0,605.0,-131.0,-1779.0,-117.0,-325.0
Athens Area Asa Philip Randolph Institute,1723.0,2292.0,2992.0,2010.0,1693.0,1603.0,2263.0,916.0,805.0,2600.0,3431.0,1072.0,4191.0,1984.0,1021.0,2936.0,4134.0,5678.0,1948.0,1479.0,759.0,869.0,1364.0,242.0,2162.0,2244.0,3806.0,35472.0,3676.0,1753.0,1057.0,993.0,1113.0,2101.0,1915.0,2418.0,569.0,700.0,-982.0,-317.0,-90.0,660.0,-1347.0,-111.0,1795.0,831.0,-2359.0,3119.0,-2207.0,-963.0,1915.0,1198.0,1544.0,-3730.0,-469.0,-720.0,110.0,495.0,-1122.0,1920.0,82.0,1562.0,31666.0,-31796.0,-1923.0,-696.0,-64.0,120.0,988.0,-186.0,503.0
Athens Area Homeless Shelter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,72.0,105.0,53.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.0,-783.0,0.0,0.0,0.0,0.0,150.0,-150.0,0.0,72.0,33.0,-52.0,128.0,-181.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,-118.0,0.0
Athens Area Humane Society,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,1014.0,0.0,1098.0,0.0,0.0,0.0,12488.0,0.0,15399.0,0.0,0.0,0.0,228.0,1358.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.0,5.0,-1014.0,1098.0,-1098.0,0.0,0.0,12488.0,-12488.0,15399.0,-15399.0,0.0,0.0,228.0,1130.0,-710.0,-648.0,0.0
Athens Community Council on Aging,1420.0,10929.0,1963.0,13132.0,576.0,0.0,12608.0,11561.0,608.0,8750.0,1965.0,7416.0,2570.0,5894.0,670.0,4207.0,1391.0,827.0,12508.0,11442.0,4250.0,12423.0,1964.0,14435.0,5860.0,14145.0,0.0,13489.0,4033.0,4039.0,16289.0,17773.0,4996.0,15483.0,6791.0,19269.2,9509.0,-8966.0,11169.0,-12556.0,-576.0,12608.0,-1047.0,-10953.0,8142.0,-6785.0,5451.0,-4846.0,3324.0,-5224.0,3537.0,-2816.0,-564.0,11681.0,-1066.0,-7192.0,8173.0,-10459.0,12471.0,-8575.0,8285.0,-14145.0,13489.0,-9456.0,6.0,12250.0,1484.0,-12777.0,10487.0,-8692.0,12478.2
