Agency,Time,dist_volume,delta,pct_change
1st Step Program,2022-07 to 2023-01,0.0,0.0,0.0
1st Step Program,2023-02,51.0,51.0,inf
1st Step Program,2023-03,0.0,-51.0,-1.0
1st Step Program,2023-04,0.0,0.0,0.0
1st Step Program,2023-05,580.0,580.0,inf
1st Step Program,2023-06,670.0,90.0,0.155
1st Step Program,2023-07,0.0,-670.0,-1.0
1st Step Program,2023-08 to 2023-09,0.0,0.0,0.0
1st Step Program,2023-10,2031.0,2031.0,inf
1st Step Program,2023-11,0.0,-2031.0,-1.0
1st Step Program,2023-12 to 2025-06,0.0,0.0,0.0
AIDS Athens (Live Forward),2022-07,480.0,0.0,0.0
AIDS Athens (Live Forward),2022-08,0.0,-480.0,-1.0
AIDS Athens (Live Forward),2022-09 to 2022-11,0.0,0.0,0.0
AIDS Athens (Live Forward),2022-12,545.0,545.0,inf
AIDS Athens (Live Forward),2023-01,687.0,142.0,0.261
AIDS Athens (Live Forward),2023-02,399.0,-288.0,-0.419
AIDS Athens (Live Forward),2023-03,320.0,-79.0,-0.198
AIDS Athens (Live Forward),2023-04,319.0,-1.0,-0.003
AIDS Athens (Live Forward),2023-05,389.0,70.0,0.219
AIDS Athens (Live Forward),2023-06,0.0,-389.0,-1.0
AIDS Athens (Live Forward),2023-07,391.0,391.0,inf
AIDS Athens (Live Forward),2023-08,0.0,-391.0,-1.0
AIDS Athens (Live Forward),2023-09,616.0,616.0,inf
AIDS Athens (Live Forward),2023-10,540.0,-76.0,-0.123
AIDS Athens (Live Forward),2023-11,520.0,-20.0,-0.037
AIDS Athens (Live Forward),2023-12,393.0,-127.0,-0.244
AIDS Athens (Live Forward),2024-01,0.0,-393.0,-1.0
AIDS Athens (Live Forward),2024-02 to 2024-05,0.0,0.0,0.0
AIDS Athens (Live Forward),2024-06,708.0,708.0,inf
AIDS Athens (Live Forward),2024-07,0.0,-708.0,-1.0
AIDS Athens (Live Forward),2024-08,524.0,524.0,inf
AIDS Athens (Live Forward),2024-09,481.0,-43.0,-0.082
AIDS Athens (Live Forward),2024-10,376.0,-105.0,-0.218
AIDS Athens (Live Forward),2024-11,0.0,-376.0,-1.0
AIDS Athens (Live Forward),2024-12,756.0,756.0,inf
AIDS Athens (Live Forward),2025-01,0.0,-756.0,-1.0
AIDS Athens (Live Forward),2025-02,699.0,699.0,inf
AIDS Athens (Live Forward),2025-03,485.0,-214.0,-0.306
AIDS Athens (Live Forward),2025-04,411.0,-74.0,-0.153
AIDS Athens (Live Forward),2025-05,0.0,-411.0,-1.0
AIDS Athens (Live Forward),2025-06,0.0,0.0,0.0
Acceptance Recovery Center Inc.,2022-07,1761.0,0.0,0.0
Acceptance Recovery Center Inc.,2022-08,3304.0,1543.0,0.876
Acceptance Recovery Center Inc.,2022-09,1329.0,-1975.0,-0.598
Acceptance Recovery Center Inc.,2022-10,1878.0,549.0,0.413
Acceptance Recovery Center Inc.,2022-11,1259.0,-619.0,-0.33
Acceptance Recovery Center Inc.,2022-12,1352.0,93.0,0.074
Acceptance Recovery Center Inc.,2023-01,2257.0,905.0,0.669
Acceptance Recovery Center Inc.,2023-02,1603.0,-654.0,-0.29
Acceptance Recovery Center Inc.,2023-03,2328.0,725.0,0.452
Acceptance Recovery Center Inc.,2023-04,2066.0,-262.0,-0.113
Acceptance Recovery Center Inc.,2023-05,2035.0,-31.0,-0.015
Acceptance Recovery Center Inc.,2023-06,2051.0,16.0,0.008
Acceptance Recovery Center Inc.,2023-07,1516.0,-535.0,-0.261
Acceptance Recovery Center Inc.,2023-08,2063.0,547.0,0.361
Acceptance Recovery Center Inc.,2023-09,1119.0,-944.0,-0.458
Acceptance Recovery Center Inc.,2023-10,1716.0,597.0,0.534
Acceptance Recovery Center Inc.,2023-11,2419.0,703.0,0.41
Acceptance Recovery Center Inc.,2023-12,1457.0,-962.0,-0.398
Acceptance Recovery Center Inc.,2024-01,1937.0,480.0,0.329
Acceptance Recovery Center Inc.,2024-02,4228.0,2291.0,1.183
Acceptance Recovery Center Inc.,2024-03,1617.0,-2611.0,-0.618
Acceptance Recovery Center Inc.,2024-04,2605.0,988.0,0.611
Acceptance Recovery Center Inc.,2024-05,2184.0,-421.0,-0.162
Acceptance Recovery Center Inc.,2024-06,1304.0,-880.0,-0.403
Acceptance Recovery Center Inc.,2024-07,1875.0,571.0,0.438
Acceptance Recovery Center Inc.,2024-08,3872.0,1997.0,1.065
Acceptance Recovery Center Inc.,2024-09,3149.0,-723.0,-0.187
Acceptance Recovery Center Inc.,2024-10,3075.0,-74.0,-0.023
Acceptance Recovery Center Inc.,2024-11,2043.0,-1032.0,-0.336
Acceptance Recovery Center Inc.,2024-12,1967.0,-76.0,-0.037
Acceptance Recovery Center Inc.,2025-01,3807.0,1840.0,0.935
Acceptance Recovery Center Inc.,2025-02,2023.0,-1784.0,-0.469
Acceptance Recovery Center Inc.,2025-03,3354.0,1331.0,0.658
Acceptance Recovery Center Inc.,2025-04,4328.0,974.0,0.29
Acceptance Recovery Center Inc.,2025-05,3604.0,-724.0,-0.167
Acceptance Recovery Center Inc.,2025-06,2729.4,-874.5999999999999,-0.243
Acceptance Recovery Inc. Men's,2022-07 to 2025-05,0.0,0.0,0.0
Acceptance Recovery Inc. Men's,2025-06,1934.0,1934.0,inf
Advantage Behavioral Health System - Homeless Day Center,2022-07 to 2024-01,0.0,0.0,0.0
Advantage Behavioral Health System - Homeless Day Center,2024-02,685.0,685.0,inf
Advantage Behavioral Health System - Homeless Day Center,2024-03,0.0,-685.0,-1.0
Advantage Behavioral Health System - Homeless Day Center,2024-04,651.0,651.0,inf
Advantage Behavioral Health System - Homeless Day Center,2024-05,0.0,-651.0,-1.0
Advantage Behavioral Health System - Homeless Day Center,2024-06 to 2025-06,0.0,0.0,0.0
Advantage Behavioral Health System - Women's Services,2022-07 to 2022-09,0.0,0.0,0.0
Advantage Behavioral Health System - Women's Services,2022-10,582.0,582.0,inf
Advantage Behavioral Health System - Women's Services,2022-11,0.0,-582.0,-1.0
Advantage Behavioral Health System - Women's Services,2022-12 to 2023-01,0.0,0.0,0.0
Advantage Behavioral Health System - Women's Services,2023-02,259.0,259.0,inf
Advantage Behavioral Health System - Women's Services,2023-03,391.0,132.0,0.51
Advantage Behavioral Health System - Women's Services,2023-04,0.0,-391.0,-1.0
Advantage Behavioral Health System - Women's Services,2023-05 to 2023-06,0.0,0.0,0.0
Advantage Behavioral Health System - Women's Services,2023-07,263.0,263.0,inf
