Agency,Time,dist_volume,delta,pct_change
1st Step Program,2022-07,0.0,0.0,
1st Step Program,2022-08,0.0,0.0,0.0
1st Step Program,2022-09,0.0,0.0,0.0
1st Step Program,2022-10,0.0,0.0,0.0
1st Step Program,2022-11,0.0,0.0,0.0
1st Step Program,2022-12,0.0,0.0,0.0
1st Step Program,2023-01,0.0,0.0,0.0
1st Step Program,2023-02,51.0,51.0,inf
1st Step Program,2023-03,0.0,-51.0,-1.0
1st Step Program,2023-04,0.0,0.0,0.0
1st Step Program,2023-05,580.0,580.0,inf
1st Step Program,2023-06,670.0,90.0,0.15517241379310345
1st Step Program,2023-07,0.0,-670.0,-1.0
1st Step Program,2023-08,0.0,0.0,0.0
1st Step Program,2023-09,0.0,0.0,0.0
1st Step Program,2023-10,2031.0,2031.0,inf
1st Step Program,2023-11,0.0,-2031.0,-1.0
1st Step Program,2023-12,0.0,0.0,0.0
1st Step Program,2024-01,0.0,0.0,0.0
1st Step Program,2024-02,0.0,0.0,0.0
1st Step Program,2024-03,0.0,0.0,0.0
1st Step Program,2024-04,0.0,0.0,0.0
1st Step Program,2024-05,0.0,0.0,0.0
1st Step Program,2024-06,0.0,0.0,0.0
1st Step Program,2024-07,0.0,0.0,0.0
1st Step Program,2024-08,0.0,0.0,0.0
1st Step Program,2024-09,0.0,0.0,0.0
1st Step Program,2024-10,0.0,0.0,0.0
1st Step Program,2024-11,0.0,0.0,0.0
1st Step Program,2024-12,0.0,0.0,0.0
1st Step Program,2025-01,0.0,0.0,0.0
1st Step Program,2025-02,0.0,0.0,0.0
1st Step Program,2025-03,0.0,0.0,0.0
1st Step Program,2025-04,0.0,0.0,0.0
1st Step Program,2025-05,0.0,0.0,0.0
1st Step Program,2025-06,0.0,0.0,0.0
AIDS Athens (Live Forward),2022-07,480.0,0.0,
AIDS Athens (Live Forward),2022-08,0.0,-480.0,-1.0
AIDS Athens (Live Forward),2022-09,0.0,0.0,0.0
AIDS Athens (Live Forward),2022-10,0.0,0.0,0.0
AIDS Athens (Live Forward),2022-11,0.0,0.0,0.0
AIDS Athens (Live Forward),2022-12,545.0,545.0,inf
AIDS Athens (Live Forward),2023-01,687.0,142.0,0.26055045871559634
AIDS Athens (Live Forward),2023-02,399.0,-288.0,-0.4192139737991266
AIDS Athens (Live Forward),2023-03,320.0,-79.0,-0.19799498746867167
AIDS Athens (Live Forward),2023-04,319.0,-1.0,-0.003125
AIDS Athens (Live Forward),2023-05,389.0,70.0,0.219435736677116
AIDS Athens (Live Forward),2023-06,0.0,-389.0,-1.0
AIDS Athens (Live Forward),2023-07,391.0,391.0,inf
AIDS Athens (Live Forward),2023-08,0.0,-391.0,-1.0
AIDS Athens (Live Forward),2023-09,616.0,616.0,inf
AIDS Athens (Live Forward),2023-10,540.0,-76.0,-0.12337662337662338
AIDS Athens (Live Forward),2023-11,520.0,-20.0,-0.037037037037037035
AIDS Athens (Live Forward),2023-12,393.0,-127.0,-0.24423076923076922
AIDS Athens (Live Forward),2024-01,0.0,-393.0,-1.0
AIDS Athens (Live Forward),2024-02,0.0,0.0,0.0
AIDS Athens (Live Forward),2024-03,0.0,0.0,0.0
AIDS Athens (Live Forward),2024-04,0.0,0.0,0.0
AIDS Athens (Live Forward),2024-05,0.0,0.0,0.0
AIDS Athens (Live Forward),2024-06,708.0,708.0,inf
AIDS Athens (Live Forward),2024-07,0.0,-708.0,-1.0
AIDS Athens (Live Forward),2024-08,524.0,524.0,inf
AIDS Athens (Live Forward),2024-09,481.0,-43.0,-0.08206106870229007
AIDS Athens (Live Forward),2024-10,376.0,-105.0,-0.2182952182952183
AIDS Athens (Live Forward),2024-11,0.0,-376.0,-1.0
AIDS Athens (Live Forward),2024-12,756.0,756.0,inf
AIDS Athens (Live Forward),2025-01,0.0,-756.0,-1.0
AIDS Athens (Live Forward),2025-02,699.0,699.0,inf
AIDS Athens (Live Forward),2025-03,485.0,-214.0,-0.3061516452074392
AIDS Athens (Live Forward),2025-04,411.0,-74.0,-0.15257731958762888
AIDS Athens (Live Forward),2025-05,0.0,-411.0,-1.0
AIDS Athens (Live Forward),2025-06,0.0,0.0,0.0
Acceptance Recovery Center Inc.,2022-07,1761.0,0.0,
Acceptance Recovery Center Inc.,2022-08,3304.0,1543.0,0.8762067007382169
Acceptance Recovery Center Inc.,2022-09,1329.0,-1975.0,-0.5977602905569007
Acceptance Recovery Center Inc.,2022-10,1878.0,549.0,0.41309255079006774
Acceptance Recovery Center Inc.,2022-11,1259.0,-619.0,-0.32960596379126733
Acceptance Recovery Center Inc.,2022-12,1352.0,93.0,0.07386814932486101
Acceptance Recovery Center Inc.,2023-01,2257.0,905.0,0.6693786982248521
Acceptance Recovery Center Inc.,2023-02,1603.0,-654.0,-0.2897651750110766
Acceptance Recovery Center Inc.,2023-03,2328.0,725.0,0.45227698066126015
Acceptance Recovery Center Inc.,2023-04,2066.0,-262.0,-0.11254295532646048
Acceptance Recovery Center Inc.,2023-05,2035.0,-31.0,-0.015004840271055178
Acceptance Recovery Center Inc.,2023-06,2051.0,16.0,0.007862407862407862
Acceptance Recovery Center Inc.,2023-07,1516.0,-535.0,-0.26084836665041444
Acceptance Recovery Center Inc.,2023-08,2063.0,547.0,0.3608179419525066
Acceptance Recovery Center Inc.,2023-09,1119.0,-944.0,-0.4575860397479399
Acceptance Recovery Center Inc.,2023-10,1716.0,597.0,0.5335120643431636
Acceptance Recovery Center Inc.,2023-11,2419.0,703.0,0.40967365967365965
Acceptance Recovery Center Inc.,2023-12,1457.0,-962.0,-0.39768499379909056
Acceptance Recovery Center Inc.,2024-01,1937.0,480.0,0.32944406314344543
Acceptance Recovery Center Inc.,2024-02,4228.0,2291.0,1.1827568404749613
Acceptance Recovery Center Inc.,2024-03,1617.0,-2611.0,-0.6175496688741722
Acceptance Recovery Center Inc.,2024-04,2605.0,988.0,0.6110080395794681
Acceptance Recovery Center Inc.,2024-05,2184.0,-421.0,-0.1616122840690979
Acceptance Recovery Center Inc.,2024-06,1304.0,-880.0,-0.40293040293040294
Acceptance Recovery Center Inc.,2024-07,1875.0,571.0,0.4378834355828221
Acceptance Recovery Center Inc.,2024-08,3872.0,1997.0,1.0650666666666666
Acceptance Recovery Center Inc.,2024-09,3149.0,-723.0,-0.18672520661157024
Acceptance Recovery Center Inc.,2024-10,3075.0,-74.0,-0.023499523658304225
Acceptance Recovery Center Inc.,2024-11,2043.0,-1032.0,-0.335609756097561
Acceptance Recovery Center Inc.,2024-12,1967.0,-76.0,-0.03720019579050416
Acceptance Recovery Center Inc.,2025-01,3807.0,1840.0,0.9354346720894764
Acceptance Recovery Center Inc.,2025-02,2023.0,-1784.0,-0.46861045442605725
Acceptance Recovery Center Inc.,2025-03,3354.0,1331.0,0.6579337617399901
Acceptance Recovery Center Inc.,2025-04,4328.0,974.0,0.29039952295766247
Acceptance Recovery Center Inc.,2025-05,3604.0,-724.0,-0.16728280961182995
Acceptance Recovery Center Inc.,2025-06,2729.4,-874.5999999999999,-0.24267480577136513
Acceptance Recovery Inc. Men's,2022-07,0.0,0.0,
