Agency,Time,dist_volume,delta,pct_change
Bowman United Methodist Church,2024-10,764.0,0.0,0.0
Bowman United Methodist Church,2024-11,1252.0,488.0,0.639
Bowman United Methodist Church,2024-12,0.0,-1252.0,-1.0
Bowman United Methodist Church,2025-01,1492.0,1492.0,inf
Bowman United Methodist Church,2025-02,0.0,-1492.0,-1.0
Bowman United Methodist Church,2025-03,1912.0,1912.0,inf
Bowman United Methodist Church,2025-04,1266.0,-646.0,-0.338
Bowman United Methodist Church,2025-05,0.0,-1266.0,-1.0
Bowman United Methodist Church,2025-06,718.0,718.0,inf
Elbert County UMC Food Ministry,2024-10,3068.0,0.0,0.0
Elbert County UMC Food Ministry,2024-11,13209.0,10141.0,3.305
Elbert County UMC Food Ministry,2024-12,12880.0,-329.0,-0.025
Elbert County UMC Food Ministry,2025-01,12186.0,-694.0,-0.054
Elbert County UMC Food Ministry,2025-02,12678.0,492.0,0.04
Elbert County UMC Food Ministry,2025-03,7799.0,-4879.0,-0.385
Elbert County UMC Food Ministry,2025-04,9396.0,1597.0,0.205
Elbert County UMC Food Ministry,2025-05,3562.0,-5834.0,-0.621
Elbert County UMC Food Ministry,2025-06,8176.0,4614.0,1.295
Pleasant Grove Baptist Church,2024-10,2064.0,0.0,0.0
Pleasant Grove Baptist Church,2024-11,1018.0,-1046.0,-0.507
Pleasant Grove Baptist Church,2024-12,2747.0,1729.0,1.698
Pleasant Grove Baptist Church,2025-01,1437.0,-1310.0,-0.477
Pleasant Grove Baptist Church,2025-02,0.0,-1437.0,-1.0
Pleasant Grove Baptist Church,2025-03,0.0,0.0,0.0
Pleasant Grove Baptist Church,2025-04,910.0,910.0,inf
Pleasant Grove Baptist Church,2025-05,688.0,-222.0,-0.244
Pleasant Grove Baptist Church,2025-06,1150.0,462.0,0.672
SafeHouse Ministries,2024-10,11340.0,0.0,0.0
SafeHouse Ministries,2024-11,24903.0,13563.0,1.196
SafeHouse Ministries,2024-12,323.0,-24580.0,-0.987
SafeHouse Ministries,2025-01,22883.0,22560.0,69.845
SafeHouse Ministries,2025-02,9897.0,-12986.0,-0.567
SafeHouse Ministries,2025-03,8841.0,-1056.0,-0.107
SafeHouse Ministries,2025-04,7905.0,-936.0,-0.106
SafeHouse Ministries,2025-05,10101.0,2196.0,0.278
SafeHouse Ministries,2025-06,15475.5,5374.5,0.532
Sharing and Caring - Bowman,2024-10,3901.0,0.0,0.0
Sharing and Caring - Bowman,2024-11,2480.0,-1421.0,-0.364
Sharing and Caring - Bowman,2024-12,2979.0,499.0,0.201
Sharing and Caring - Bowman,2025-01,3767.0,788.0,0.265
Sharing and Caring - Bowman,2025-02,69.0,-3698.0,-0.982
Sharing and Caring - Bowman,2025-03,3720.0,3651.0,52.913
Sharing and Caring - Bowman,2025-04,2070.0,-1650.0,-0.444
Sharing and Caring - Bowman,2025-05,750.0,-1320.0,-0.638
Sharing and Caring - Bowman,2025-06,2009.0,1259.0,1.679
