Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Connections for Special Parents (CSP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2423.0,1964.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2423.0,-458.9200000000001
Decal Grant Franklin Head Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1661.0,0.0,0.0,0.0,8752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1661.0,-1661.0,0.0,0.0,8752.0,-8752.0,0.0
F2K 360 Franklin,0.0,2625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2625.0,-2625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food to Kids Franklin County,0.0,0.0,0.0,468.0,624.0,780.0,468.0,624.0,624.0,936.0,468.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,156.0,156.0,-312.0,156.0,0.0,312.0,-468.0,156.0,-624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franklin County MedLink Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8758.0,-8758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franklin Springs Baptist Church,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0,-2500.0
Franklin: Step of Faith Senior Staples Program,606.0,0.0,0.0,551.0,1637.0,0.0,531.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-606.0,0.0,551.0,1086.0,-1637.0,531.0,-68.0,-463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,-57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lavonia Church of God,17206.0,9132.0,11568.0,13541.0,8948.0,12276.0,13940.0,11323.0,8782.0,7992.0,9104.0,11885.0,13350.0,10464.0,16113.0,14599.0,11087.0,11930.0,11784.0,11929.0,11837.0,12684.0,13051.0,14329.0,12555.0,11365.0,12025.0,12459.0,12791.0,12393.0,0.0,13015.0,12985.0,12746.0,12017.0,11384.0,-8074.0,2436.0,1973.0,-4593.0,3328.0,1664.0,-2617.0,-2541.0,-790.0,1112.0,2781.0,1465.0,-2886.0,5649.0,-1514.0,-3512.0,843.0,-146.0,145.0,-92.0,847.0,367.0,1278.0,-1774.0,-1190.0,660.0,434.0,332.0,-398.0,-12393.0,13015.0,-30.0,-239.0,-729.0,-633.0
Lavonia Presbyterian Church,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Beginnings Ministry,3152.0,4647.0,4826.0,1519.0,4998.0,3580.0,3918.0,2719.0,5176.0,3096.0,3066.0,3240.0,1139.0,2592.0,4956.0,3275.0,7341.0,3751.0,3200.0,1526.0,5855.0,9297.0,9330.0,2832.0,8189.0,0.0,3649.0,0.0,7890.0,3119.0,6054.0,6085.0,3685.0,2605.0,3227.0,3310.0,1495.0,179.0,-3307.0,3479.0,-1418.0,338.0,-1199.0,2457.0,-2080.0,-30.0,174.0,-2101.0,1453.0,2364.0,-1681.0,4066.0,-3590.0,-551.0,-1674.0,4329.0,3442.0,33.0,-6498.0,5357.0,-8189.0,3649.0,-3649.0,7890.0,-4771.0,2935.0,31.0,-2400.0,-1080.0,622.0,83.0
Oasis Community Outreach,0.0,0.0,1295.0,1728.0,0.0,5379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1295.0,433.0,-1728.0,5379.0,-5379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rainbow Pantry,10317.0,8433.0,6050.0,5549.0,5797.0,4839.0,13486.0,2748.0,8503.0,7649.0,5693.0,7759.0,4202.0,8595.0,19012.0,5324.0,12665.0,4476.0,3838.0,8299.0,16964.0,7278.0,7337.0,13319.7,11043.0,12288.0,13486.0,15666.0,19478.0,16047.0,17100.0,17457.0,19980.0,15085.0,19146.0,17922.0,-1884.0,-2383.0,-501.0,248.0,-958.0,8647.0,-10738.0,5755.0,-854.0,-1956.0,2066.0,-3557.0,4393.0,10417.0,-13688.0,7341.0,-8189.0,-638.0,4461.0,8665.0,-9686.0,59.0,5982.700000000001,-2276.7000000000007,1245.0,1198.0,2180.0,3812.0,-3431.0,1053.0,357.0,2523.0,-4895.0,4061.0,-1224.0
Royston Housing Authority,640.0,109.0,314.0,722.0,4085.0,284.0,726.0,421.0,1194.0,869.0,1176.0,544.0,599.0,760.0,742.0,834.0,1855.0,245.0,1892.0,871.0,2881.0,3352.0,1818.0,1886.0,2331.0,1781.0,1183.0,6251.0,4287.0,769.0,0.0,0.0,0.0,0.0,0.0,0.0,-531.0,205.0,408.0,3363.0,-3801.0,442.0,-305.0,773.0,-325.0,307.0,-632.0,55.0,161.0,-18.0,92.0,1021.0,-1610.0,1647.0,-1021.0,2010.0,471.0,-1534.0,68.0,445.0,-550.0,-598.0,5068.0,-1964.0,-3518.0,-769.0,0.0,0.0,0.0,0.0,0.0
"Step of Faith Outreach, INC",1203.0,176.0,2019.0,347.0,2231.0,6290.0,0.0,0.0,0.0,0.0,132.0,1416.0,2842.0,69.0,4277.0,0.0,3921.0,0.0,724.0,896.0,874.0,949.0,5817.0,0.0,1649.0,929.0,1009.0,1736.0,1075.0,1158.0,349.0,1400.0,5684.0,2237.0,8337.0,4835.0,-1027.0,1843.0,-1672.0,1884.0,4059.0,-6290.0,0.0,0.0,0.0,132.0,1284.0,1426.0,-2773.0,4208.0,-4277.0,3921.0,-3921.0,724.0,172.0,-22.0,75.0,4868.0,-5817.0,1649.0,-720.0,80.0,727.0,-661.0,83.0,-809.0,1051.0,4284.0,-3447.0,6100.0,-3502.0
The Grace Foundation: Family Transformation ,0.0,0.0,0.0,0.0,0.0,0.0,1081.0,0.0,1458.0,507.0,396.0,1909.0,1535.0,717.0,1217.0,1973.0,939.0,0.0,29798.0,12717.0,1923.0,12320.0,1638.0,3131.0,21037.0,9154.0,9187.0,2363.0,6367.0,716.0,2203.0,6683.0,1983.0,7574.0,5477.0,0.0,0.0,0.0,0.0,0.0,0.0,1081.0,-1081.0,1458.0,-951.0,-111.0,1513.0,-374.0,-818.0,500.0,756.0,-1034.0,-939.0,29798.0,-17081.0,-10794.0,10397.0,-10682.0,1493.0,17906.0,-11883.0,33.0,-6824.0,4004.0,-5651.0,1487.0,4480.0,-4700.0,5591.0,-2097.0,-5477.0
