Agency,Time,dist_volume,delta,pct_change
Connections for Special Parents (CSP),2022-07 to 2025-04,0.0,0.0,0.0
Connections for Special Parents (CSP),2025-05,2423.0,2423.0,inf
Connections for Special Parents (CSP),2025-06,1964.08,-458.9200000000001,-0.189
Decal Grant Franklin Head Start,2022-07 to 2024-11,0.0,0.0,0.0
Decal Grant Franklin Head Start,2024-12,1661.0,1661.0,inf
Decal Grant Franklin Head Start,2025-01,0.0,-1661.0,-1.0
Decal Grant Franklin Head Start,2025-02 to 2025-03,0.0,0.0,0.0
Decal Grant Franklin Head Start,2025-04,8752.0,8752.0,inf
Decal Grant Franklin Head Start,2025-05,0.0,-8752.0,-1.0
Decal Grant Franklin Head Start,2025-06,0.0,0.0,0.0
F2K 360 Franklin,2022-07,0.0,0.0,0.0
F2K 360 Franklin,2022-08,2625.0,2625.0,inf
F2K 360 Franklin,2022-09,0.0,-2625.0,-1.0
F2K 360 Franklin,2022-10 to 2025-06,0.0,0.0,0.0
Food to Kids Franklin County,2022-07 to 2022-09,0.0,0.0,0.0
Food to Kids Franklin County,2022-10,468.0,468.0,inf
Food to Kids Franklin County,2022-11,624.0,156.0,0.333
Food to Kids Franklin County,2022-12,780.0,156.0,0.25
Food to Kids Franklin County,2023-01,468.0,-312.0,-0.4
Food to Kids Franklin County,2023-02,624.0,156.0,0.333
Food to Kids Franklin County,2023-03,624.0,0.0,0.0
Food to Kids Franklin County,2023-04,936.0,312.0,0.5
Food to Kids Franklin County,2023-05,468.0,-468.0,-0.5
Food to Kids Franklin County,2023-06,624.0,156.0,0.333
Food to Kids Franklin County,2023-07,0.0,-624.0,-1.0
Food to Kids Franklin County,2023-08 to 2025-06,0.0,0.0,0.0
Franklin County MedLink Georgia,2022-07 to 2024-04,0.0,0.0,0.0
Franklin County MedLink Georgia,2024-05,8758.0,8758.0,inf
Franklin County MedLink Georgia,2024-06,0.0,-8758.0,-1.0
Franklin County MedLink Georgia,2024-07 to 2025-06,0.0,0.0,0.0
Franklin Springs Baptist Church,2022-07 to 2025-04,0.0,0.0,0.0
Franklin Springs Baptist Church,2025-05,2500.0,2500.0,inf
Franklin Springs Baptist Church,2025-06,0.0,-2500.0,-1.0
Franklin: Step of Faith Senior Staples Program,2022-07,606.0,0.0,0.0
Franklin: Step of Faith Senior Staples Program,2022-08,0.0,-606.0,-1.0
Franklin: Step of Faith Senior Staples Program,2022-09,0.0,0.0,0.0
Franklin: Step of Faith Senior Staples Program,2022-10,551.0,551.0,inf
Franklin: Step of Faith Senior Staples Program,2022-11,1637.0,1086.0,1.971
Franklin: Step of Faith Senior Staples Program,2022-12,0.0,-1637.0,-1.0
Franklin: Step of Faith Senior Staples Program,2023-01,531.0,531.0,inf
Franklin: Step of Faith Senior Staples Program,2023-02,463.0,-68.0,-0.128
