Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Ballew House Outreach,453.0,297.0,343.0,391.0,312.0,156.0,195.0,348.0,383.0,311.0,0.0,262.0,283.0,177.0,275.0,209.0,193.0,202.0,152.0,423.0,242.0,391.0,307.0,314.0,150.0,482.0,201.0,493.0,983.0,451.0,411.0,774.0,495.0,417.0,260.0,0.0,-156.0,46.0,48.0,-79.0,-156.0,39.0,153.0,35.0,-72.0,-311.0,262.0,21.0,-106.0,98.0,-66.0,-16.0,9.0,-50.0,271.0,-181.0,149.0,-84.0,7.0,-164.0,332.0,-281.0,292.0,490.0,-532.0,-40.0,363.0,-279.0,-78.0,-157.0,-260.0
Breaking Chains Ministries d.b.a Freedom Hill,1104.0,1195.0,1174.0,0.0,1087.0,186.0,810.0,1037.0,651.0,191.0,149.0,0.0,1377.0,3635.0,814.0,0.0,0.0,961.0,943.0,0.0,321.0,0.0,555.0,930.0,1421.0,1960.0,1101.0,0.0,6228.0,1080.0,846.0,2778.0,0.0,1140.0,0.0,328.0,91.0,-21.0,-1174.0,1087.0,-901.0,624.0,227.0,-386.0,-460.0,-42.0,-149.0,1377.0,2258.0,-2821.0,-814.0,0.0,961.0,-18.0,-943.0,321.0,-321.0,555.0,375.0,491.0,539.0,-859.0,-1101.0,6228.0,-5148.0,-234.0,1932.0,-2778.0,1140.0,-1140.0,328.0
Circle of Hope,487.0,653.0,105.0,0.0,238.0,123.0,0.0,645.0,606.0,146.0,270.0,197.0,548.0,655.0,79.0,472.0,59.0,115.0,488.0,395.0,306.0,352.0,896.0,128.0,658.0,754.0,143.0,307.0,464.0,224.0,226.0,0.0,296.0,314.0,0.0,604.0,166.0,-548.0,-105.0,238.0,-115.0,-123.0,645.0,-39.0,-460.0,124.0,-73.0,351.0,107.0,-576.0,393.0,-413.0,56.0,373.0,-93.0,-89.0,46.0,544.0,-768.0,530.0,96.0,-611.0,164.0,157.0,-240.0,2.0,-226.0,296.0,18.0,-314.0,604.0
Clarkesville Church of God,2164.0,2150.0,2668.0,1775.0,3096.0,1810.0,2819.0,2179.0,3581.0,1495.0,2280.0,4000.0,4283.0,5864.0,3961.0,3295.0,3991.0,3618.0,4745.0,4293.0,4087.0,3698.0,5982.0,4157.0,7498.09,4420.0,2294.0,4842.0,4352.0,4624.0,3083.0,4645.0,4528.0,4986.0,3527.0,4524.0,-14.0,518.0,-893.0,1321.0,-1286.0,1009.0,-640.0,1402.0,-2086.0,785.0,1720.0,283.0,1581.0,-1903.0,-666.0,696.0,-373.0,1127.0,-452.0,-206.0,-389.0,2284.0,-1825.0,3341.09,-3078.09,-2126.0,2548.0,-490.0,272.0,-1541.0,1562.0,-117.0,458.0,-1459.0,997.0
Clarkesville Soup Kitchen,1094.0,679.0,775.0,920.0,1309.0,880.0,1190.0,784.0,1685.0,1220.0,847.0,1360.0,657.0,2083.0,1032.0,2114.0,1326.0,783.0,1058.0,1409.0,939.0,1315.0,1174.0,849.0,1160.0,733.0,703.0,1079.0,1427.0,994.0,601.0,1462.0,365.0,1015.0,678.0,258.0,-415.0,96.0,145.0,389.0,-429.0,310.0,-406.0,901.0,-465.0,-373.0,513.0,-703.0,1426.0,-1051.0,1082.0,-788.0,-543.0,275.0,351.0,-470.0,376.0,-141.0,-325.0,311.0,-427.0,-30.0,376.0,348.0,-433.0,-393.0,861.0,-1097.0,650.0,-337.0,-420.0
Cornelia United Methodist Church,1642.0,2039.0,1219.0,2336.0,2668.0,1997.0,1935.0,2234.0,3059.0,1292.0,2253.0,962.0,892.0,2919.0,856.0,1924.0,2085.0,1492.0,2836.0,1607.0,1791.0,2472.0,2139.0,347.0,2229.0,1882.0,1795.0,2690.0,1239.0,2278.0,2984.0,2295.0,2376.0,2567.0,2041.0,1297.0,397.0,-820.0,1117.0,332.0,-671.0,-62.0,299.0,825.0,-1767.0,961.0,-1291.0,-70.0,2027.0,-2063.0,1068.0,161.0,-593.0,1344.0,-1229.0,184.0,681.0,-333.0,-1792.0,1882.0,-347.0,-87.0,895.0,-1451.0,1039.0,706.0,-689.0,81.0,191.0,-526.0,-744.0
Demorest Baptist Church,0.0,0.0,0.0,0.0,0.0,0.0,7590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7600.0,0.0,0.0,0.0,0.0,0.0,27960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7590.0,-7590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7600.0,-7600.0,0.0,0.0,0.0,0.0,27960.0,-27960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
First Presbyterian Church of Cornelia,8000.0,6000.0,8400.0,8000.0,8760.0,7000.0,8500.0,8200.0,12865.0,0.0,8000.0,6840.0,8172.0,9000.0,8000.0,6500.0,9300.0,8410.0,16765.0,7707.0,0.0,8418.0,15697.0,0.0,14646.0,0.0,7425.0,7703.0,8000.0,9600.0,15277.0,8658.0,0.0,8992.0,7497.0,9191.0,-2000.0,2400.0,-400.0,760.0,-1760.0,1500.0,-300.0,4665.0,-12865.0,8000.0,-1160.0,1332.0,828.0,-1000.0,-1500.0,2800.0,-890.0,8355.0,-9058.0,-7707.0,8418.0,7279.0,-15697.0,14646.0,-14646.0,7425.0,278.0,297.0,1600.0,5677.0,-6619.0,-8658.0,8992.0,-1495.0,1694.0
First Presbyterian of Cornelia F2K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2291.0,493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2291.0,-1798.0,-493.0,0.0,0.0,0.0,0.0
First Presbyterian of Cornelia-Piedmont University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,1077.0,517.0,2414.0,498.0,1469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,337.0,-560.0,1897.0,-1916.0,971.0
