Agency,Time,dist_volume,delta,pct_change
Ballew House Outreach,2022-07,453.0,0.0,0.0
Ballew House Outreach,2022-08,297.0,-156.0,-0.344
Ballew House Outreach,2022-09,343.0,46.0,0.155
Ballew House Outreach,2022-10,391.0,48.0,0.14
Ballew House Outreach,2022-11,312.0,-79.0,-0.202
Ballew House Outreach,2022-12,156.0,-156.0,-0.5
Ballew House Outreach,2023-01,195.0,39.0,0.25
Ballew House Outreach,2023-02,348.0,153.0,0.785
Ballew House Outreach,2023-03,383.0,35.0,0.101
Ballew House Outreach,2023-04,311.0,-72.0,-0.188
Ballew House Outreach,2023-05,0.0,-311.0,-1.0
Ballew House Outreach,2023-06,262.0,262.0,inf
Ballew House Outreach,2023-07,283.0,21.0,0.08
Ballew House Outreach,2023-08,177.0,-106.0,-0.375
Ballew House Outreach,2023-09,275.0,98.0,0.554
Ballew House Outreach,2023-10,209.0,-66.0,-0.24
Ballew House Outreach,2023-11,193.0,-16.0,-0.077
Ballew House Outreach,2023-12,202.0,9.0,0.047
Ballew House Outreach,2024-01,152.0,-50.0,-0.248
Ballew House Outreach,2024-02,423.0,271.0,1.783
Ballew House Outreach,2024-03,242.0,-181.0,-0.428
Ballew House Outreach,2024-04,391.0,149.0,0.616
Ballew House Outreach,2024-05,307.0,-84.0,-0.215
Ballew House Outreach,2024-06,314.0,7.0,0.023
Ballew House Outreach,2024-07,150.0,-164.0,-0.522
Ballew House Outreach,2024-08,482.0,332.0,2.213
Ballew House Outreach,2024-09,201.0,-281.0,-0.583
Ballew House Outreach,2024-10,493.0,292.0,1.453
Ballew House Outreach,2024-11,983.0,490.0,0.994
Ballew House Outreach,2024-12,451.0,-532.0,-0.541
Ballew House Outreach,2025-01,411.0,-40.0,-0.089
Ballew House Outreach,2025-02,774.0,363.0,0.883
Ballew House Outreach,2025-03,495.0,-279.0,-0.36
Ballew House Outreach,2025-04,417.0,-78.0,-0.158
Ballew House Outreach,2025-05,260.0,-157.0,-0.376
Ballew House Outreach,2025-06,0.0,-260.0,-1.0
Breaking Chains Ministries d.b.a Freedom Hill,2022-07,1104.0,0.0,0.0
Breaking Chains Ministries d.b.a Freedom Hill,2022-08,1195.0,91.0,0.082
Breaking Chains Ministries d.b.a Freedom Hill,2022-09,1174.0,-21.0,-0.018
Breaking Chains Ministries d.b.a Freedom Hill,2022-10,0.0,-1174.0,-1.0
Breaking Chains Ministries d.b.a Freedom Hill,2022-11,1087.0,1087.0,inf
Breaking Chains Ministries d.b.a Freedom Hill,2022-12,186.0,-901.0,-0.829
Breaking Chains Ministries d.b.a Freedom Hill,2023-01,810.0,624.0,3.355
Breaking Chains Ministries d.b.a Freedom Hill,2023-02,1037.0,227.0,0.28
Breaking Chains Ministries d.b.a Freedom Hill,2023-03,651.0,-386.0,-0.372
Breaking Chains Ministries d.b.a Freedom Hill,2023-04,191.0,-460.0,-0.707
Breaking Chains Ministries d.b.a Freedom Hill,2023-05,149.0,-42.0,-0.22
Breaking Chains Ministries d.b.a Freedom Hill,2023-06,0.0,-149.0,-1.0
Breaking Chains Ministries d.b.a Freedom Hill,2023-07,1377.0,1377.0,inf
Breaking Chains Ministries d.b.a Freedom Hill,2023-08,3635.0,2258.0,1.64
Breaking Chains Ministries d.b.a Freedom Hill,2023-09,814.0,-2821.0,-0.776
Breaking Chains Ministries d.b.a Freedom Hill,2023-10,0.0,-814.0,-1.0
Breaking Chains Ministries d.b.a Freedom Hill,2023-11,0.0,0.0,0.0
Breaking Chains Ministries d.b.a Freedom Hill,2023-12,961.0,961.0,inf
Breaking Chains Ministries d.b.a Freedom Hill,2024-01,943.0,-18.0,-0.019
Breaking Chains Ministries d.b.a Freedom Hill,2024-02,0.0,-943.0,-1.0
Breaking Chains Ministries d.b.a Freedom Hill,2024-03,321.0,321.0,inf
Breaking Chains Ministries d.b.a Freedom Hill,2024-04,0.0,-321.0,-1.0
Breaking Chains Ministries d.b.a Freedom Hill,2024-05,555.0,555.0,inf
Breaking Chains Ministries d.b.a Freedom Hill,2024-06,930.0,375.0,0.676
Breaking Chains Ministries d.b.a Freedom Hill,2024-07,1421.0,491.0,0.528
Breaking Chains Ministries d.b.a Freedom Hill,2024-08,1960.0,539.0,0.379
Breaking Chains Ministries d.b.a Freedom Hill,2024-09,1101.0,-859.0,-0.438
Breaking Chains Ministries d.b.a Freedom Hill,2024-10,0.0,-1101.0,-1.0
Breaking Chains Ministries d.b.a Freedom Hill,2024-11,6228.0,6228.0,inf
Breaking Chains Ministries d.b.a Freedom Hill,2024-12,1080.0,-5148.0,-0.827
Breaking Chains Ministries d.b.a Freedom Hill,2025-01,846.0,-234.0,-0.217
Breaking Chains Ministries d.b.a Freedom Hill,2025-02,2778.0,1932.0,2.284
Breaking Chains Ministries d.b.a Freedom Hill,2025-03,0.0,-2778.0,-1.0
Breaking Chains Ministries d.b.a Freedom Hill,2025-04,1140.0,1140.0,inf
Breaking Chains Ministries d.b.a Freedom Hill,2025-05,0.0,-1140.0,-1.0
Breaking Chains Ministries d.b.a Freedom Hill,2025-06,328.0,328.0,inf
Circle of Hope,2022-07,487.0,0.0,0.0
Circle of Hope,2022-08,653.0,166.0,0.341
Circle of Hope,2022-09,105.0,-548.0,-0.839
Circle of Hope,2022-10,0.0,-105.0,-1.0
Circle of Hope,2022-11,238.0,238.0,inf
Circle of Hope,2022-12,123.0,-115.0,-0.483
Circle of Hope,2023-01,0.0,-123.0,-1.0
Circle of Hope,2023-02,645.0,645.0,inf
Circle of Hope,2023-03,606.0,-39.0,-0.06
Circle of Hope,2023-04,146.0,-460.0,-0.759
Circle of Hope,2023-05,270.0,124.0,0.849
Circle of Hope,2023-06,197.0,-73.0,-0.27
Circle of Hope,2023-07,548.0,351.0,1.782
Circle of Hope,2023-08,655.0,107.0,0.195
Circle of Hope,2023-09,79.0,-576.0,-0.879
Circle of Hope,2023-10,472.0,393.0,4.975
Circle of Hope,2023-11,59.0,-413.0,-0.875
Circle of Hope,2023-12,115.0,56.0,0.949
Circle of Hope,2024-01,488.0,373.0,3.243
Circle of Hope,2024-02,395.0,-93.0,-0.191
Circle of Hope,2024-03,306.0,-89.0,-0.225
Circle of Hope,2024-04,352.0,46.0,0.15
Circle of Hope,2024-05,896.0,544.0,1.545
Circle of Hope,2024-06,128.0,-768.0,-0.857
Circle of Hope,2024-07,658.0,530.0,4.141
Circle of Hope,2024-08,754.0,96.0,0.146
Circle of Hope,2024-09,143.0,-611.0,-0.81
Circle of Hope,2024-10,307.0,164.0,1.147
Circle of Hope,2024-11,464.0,157.0,0.511
Circle of Hope,2024-12,224.0,-240.0,-0.517
Circle of Hope,2025-01,226.0,2.0,0.009
Circle of Hope,2025-02,0.0,-226.0,-1.0
Circle of Hope,2025-03,296.0,296.0,inf
Circle of Hope,2025-04,314.0,18.0,0.061
Circle of Hope,2025-05,0.0,-314.0,-1.0
Circle of Hope,2025-06,604.0,604.0,inf
Clarkesville Church of God,2022-07,2164.0,0.0,0.0
Clarkesville Church of God,2022-08,2150.0,-14.0,-0.006
Clarkesville Church of God,2022-09,2668.0,518.0,0.241
Clarkesville Church of God,2022-10,1775.0,-893.0,-0.335
Clarkesville Church of God,2022-11,3096.0,1321.0,0.744
Clarkesville Church of God,2022-12,1810.0,-1286.0,-0.415
Clarkesville Church of God,2023-01,2819.0,1009.0,0.557
Clarkesville Church of God,2023-02,2179.0,-640.0,-0.227
Clarkesville Church of God,2023-03,3581.0,1402.0,0.643
Clarkesville Church of God,2023-04,1495.0,-2086.0,-0.583
Clarkesville Church of God,2023-05,2280.0,785.0,0.525
Clarkesville Church of God,2023-06,4000.0,1720.0,0.754
Clarkesville Church of God,2023-07,4283.0,283.0,0.071
Clarkesville Church of God,2023-08,5864.0,1581.0,0.369
Clarkesville Church of God,2023-09,3961.0,-1903.0,-0.325
Clarkesville Church of God,2023-10,3295.0,-666.0,-0.168
Clarkesville Church of God,2023-11,3991.0,696.0,0.211
Clarkesville Church of God,2023-12,3618.0,-373.0,-0.093
Clarkesville Church of God,2024-01,4745.0,1127.0,0.311
Clarkesville Church of God,2024-02,4293.0,-452.0,-0.095
Clarkesville Church of God,2024-03,4087.0,-206.0,-0.048
Clarkesville Church of God,2024-04,3698.0,-389.0,-0.095
Clarkesville Church of God,2024-05,5982.0,2284.0,0.618
Clarkesville Church of God,2024-06,4157.0,-1825.0,-0.305
Clarkesville Church of God,2024-07,7498.09,3341.09,0.804
Clarkesville Church of God,2024-08,4420.0,-3078.09,-0.411
Clarkesville Church of God,2024-09,2294.0,-2126.0,-0.481
Clarkesville Church of God,2024-10,4842.0,2548.0,1.111
Clarkesville Church of God,2024-11,4352.0,-490.0,-0.101
Clarkesville Church of God,2024-12,4624.0,272.0,0.062
Clarkesville Church of God,2025-01,3083.0,-1541.0,-0.333
Clarkesville Church of God,2025-02,4645.0,1562.0,0.507
Clarkesville Church of God,2025-03,4528.0,-117.0,-0.025
Clarkesville Church of God,2025-04,4986.0,458.0,0.101
Clarkesville Church of God,2025-05,3527.0,-1459.0,-0.293
Clarkesville Church of God,2025-06,4524.0,997.0,0.283
Clarkesville Soup Kitchen,2022-07,1094.0,0.0,0.0
Clarkesville Soup Kitchen,2022-08,679.0,-415.0,-0.379
Clarkesville Soup Kitchen,2022-09,775.0,96.0,0.141
Clarkesville Soup Kitchen,2022-10,920.0,145.0,0.187
Clarkesville Soup Kitchen,2022-11,1309.0,389.0,0.423
Clarkesville Soup Kitchen,2022-12,880.0,-429.0,-0.328
Clarkesville Soup Kitchen,2023-01,1190.0,310.0,0.352
Clarkesville Soup Kitchen,2023-02,784.0,-406.0,-0.341
Clarkesville Soup Kitchen,2023-03,1685.0,901.0,1.149
Clarkesville Soup Kitchen,2023-04,1220.0,-465.0,-0.276
Clarkesville Soup Kitchen,2023-05,847.0,-373.0,-0.306
Clarkesville Soup Kitchen,2023-06,1360.0,513.0,0.606
Clarkesville Soup Kitchen,2023-07,657.0,-703.0,-0.517
Clarkesville Soup Kitchen,2023-08,2083.0,1426.0,2.17
Clarkesville Soup Kitchen,2023-09,1032.0,-1051.0,-0.505
