Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Anointed Hands Outreach Ministry Inc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8686.0,1950.0,1315.0,1117.0,503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8686.0,-6736.0,-635.0,-198.0,-614.0
Bethany Baptist Church,0.0,0.0,0.0,525.0,1418.0,1145.0,631.0,673.0,1179.0,766.0,550.0,538.0,365.0,501.0,799.0,1450.0,921.0,879.0,956.0,1539.0,963.0,649.0,1242.0,333.0,816.0,893.0,756.0,1007.0,0.0,0.0,845.0,1244.0,907.0,175.0,774.0,856.0,0.0,0.0,525.0,893.0,-273.0,-514.0,42.0,506.0,-413.0,-216.0,-12.0,-173.0,136.0,298.0,651.0,-529.0,-42.0,77.0,583.0,-576.0,-314.0,593.0,-909.0,483.0,77.0,-137.0,251.0,-1007.0,0.0,845.0,399.0,-337.0,-732.0,599.0,82.0
"Christian Worship Assembly, INC",0.0,0.0,5412.0,0.0,0.0,0.0,8331.0,0.0,4304.0,0.0,0.0,0.0,0.0,11484.0,0.0,15066.0,11226.0,0.0,9562.0,0.0,0.0,11188.0,1420.0,1258.0,17239.0,15765.0,0.0,2664.0,12078.0,4850.0,14785.0,7883.0,0.0,17236.0,2796.0,3097.0,0.0,5412.0,-5412.0,0.0,0.0,8331.0,-8331.0,4304.0,-4304.0,0.0,0.0,0.0,11484.0,-11484.0,15066.0,-3840.0,-11226.0,9562.0,-9562.0,0.0,11188.0,-9768.0,-162.0,15981.0,-1474.0,-15765.0,2664.0,9414.0,-7228.0,9935.0,-6902.0,-7883.0,17236.0,-14440.0,301.0
Cornerstone Baptist Church,8639.0,8168.0,8438.0,8714.0,8360.0,7680.0,7195.0,7731.0,5607.0,8569.0,8387.0,6622.0,7994.0,6874.0,6386.0,8753.0,8071.0,5883.0,8109.0,6902.0,9089.0,8625.0,8555.0,8308.0,7720.0,7528.0,7422.0,7261.0,7254.0,5908.0,8005.0,7873.0,10372.0,7725.0,8123.0,0.0,-471.0,270.0,276.0,-354.0,-680.0,-485.0,536.0,-2124.0,2962.0,-182.0,-1765.0,1372.0,-1120.0,-488.0,2367.0,-682.0,-2188.0,2226.0,-1207.0,2187.0,-464.0,-70.0,-247.0,-588.0,-192.0,-106.0,-161.0,-7.0,-1346.0,2097.0,-132.0,2499.0,-2647.0,398.0,-8123.0
Decal Grant Hart Head Start,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0,684.0,1848.0,746.0,2008.0,2329.0,714.0,765.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703.0,-19.0,1164.0,-1102.0,1262.0,321.0,-1615.0,51.0,-765.0,0.0
Food 2 Kids Hart County,0.0,0.0,567.0,2873.0,1768.0,2945.0,1742.0,2509.0,2548.0,3822.0,1899.0,2522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,567.0,2306.0,-1105.0,1177.0,-1203.0,767.0,39.0,1274.0,-1923.0,623.0,-2522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hart County ALC/MSFP,0.0,0.0,2369.0,664.0,2644.0,793.0,1111.0,905.0,479.0,1762.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5189.0,2641.0,7832.0,5252.0,4692.0,6186.0,4779.0,3677.0,3102.0,10048.0,0.0,2369.0,-1705.0,1980.0,-1851.0,318.0,-206.0,-426.0,1283.0,-502.0,-1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5189.0,-2548.0,5191.0,-2580.0,-560.0,1494.0,-1407.0,-1102.0,-575.0,6946.0
"Hart County Clothes Closet Food Pantry, Inc",350.0,442.0,485.0,515.0,804.0,572.0,551.0,1342.0,478.0,0.0,590.0,237.0,289.0,465.0,1041.0,607.0,1686.0,1330.0,0.0,647.0,1191.0,201.0,2793.0,2188.0,2477.0,2504.0,2712.0,2578.0,4311.0,3422.0,2764.0,2597.0,1680.0,4264.0,1071.0,1485.0,92.0,43.0,30.0,289.0,-232.0,-21.0,791.0,-864.0,-478.0,590.0,-353.0,52.0,176.0,576.0,-434.0,1079.0,-356.0,-1330.0,647.0,544.0,-990.0,2592.0,-605.0,289.0,27.0,208.0,-134.0,1733.0,-889.0,-658.0,-167.0,-917.0,2584.0,-3193.0,414.0
Hart County Cupboard,8806.0,5740.0,8651.0,16695.0,0.0,0.0,6951.0,7355.0,12546.0,0.0,8096.0,7810.0,5327.0,0.0,0.0,0.0,0.0,0.0,11371.0,19853.0,13213.0,3854.0,14364.0,12522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3066.0,2911.0,8044.0,-16695.0,0.0,6951.0,404.0,5191.0,-12546.0,8096.0,-286.0,-2483.0,-5327.0,0.0,0.0,0.0,0.0,11371.0,8482.0,-6640.0,-9359.0,10510.0,-1842.0,-12522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hart Youth Development Resource Association (HYDRA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.0
