Agency,Time,dist_volume,delta,pct_change
Anointed Hands Outreach Ministry Inc,2022-07 to 2025-01,0.0,0.0,0.0
Anointed Hands Outreach Ministry Inc,2025-02,8686.0,8686.0,inf
Anointed Hands Outreach Ministry Inc,2025-03,1950.0,-6736.0,-0.776
Anointed Hands Outreach Ministry Inc,2025-04,1315.0,-635.0,-0.326
Anointed Hands Outreach Ministry Inc,2025-05,1117.0,-198.0,-0.151
Anointed Hands Outreach Ministry Inc,2025-06,503.0,-614.0,-0.55
Bethany Baptist Church,2022-07 to 2022-09,0.0,0.0,0.0
Bethany Baptist Church,2022-10,525.0,525.0,inf
Bethany Baptist Church,2022-11,1418.0,893.0,1.701
Bethany Baptist Church,2022-12,1145.0,-273.0,-0.193
Bethany Baptist Church,2023-01,631.0,-514.0,-0.449
Bethany Baptist Church,2023-02,673.0,42.0,0.067
Bethany Baptist Church,2023-03,1179.0,506.0,0.752
Bethany Baptist Church,2023-04,766.0,-413.0,-0.35
Bethany Baptist Church,2023-05,550.0,-216.0,-0.282
Bethany Baptist Church,2023-06,538.0,-12.0,-0.022
Bethany Baptist Church,2023-07,365.0,-173.0,-0.322
Bethany Baptist Church,2023-08,501.0,136.0,0.373
Bethany Baptist Church,2023-09,799.0,298.0,0.595
Bethany Baptist Church,2023-10,1450.0,651.0,0.815
Bethany Baptist Church,2023-11,921.0,-529.0,-0.365
Bethany Baptist Church,2023-12,879.0,-42.0,-0.046
Bethany Baptist Church,2024-01,956.0,77.0,0.088
Bethany Baptist Church,2024-02,1539.0,583.0,0.61
Bethany Baptist Church,2024-03,963.0,-576.0,-0.374
Bethany Baptist Church,2024-04,649.0,-314.0,-0.326
Bethany Baptist Church,2024-05,1242.0,593.0,0.914
Bethany Baptist Church,2024-06,333.0,-909.0,-0.732
Bethany Baptist Church,2024-07,816.0,483.0,1.45
Bethany Baptist Church,2024-08,893.0,77.0,0.094
Bethany Baptist Church,2024-09,756.0,-137.0,-0.153
Bethany Baptist Church,2024-10,1007.0,251.0,0.332
Bethany Baptist Church,2024-11,0.0,-1007.0,-1.0
Bethany Baptist Church,2024-12,0.0,0.0,0.0
Bethany Baptist Church,2025-01,845.0,845.0,inf
Bethany Baptist Church,2025-02,1244.0,399.0,0.472
Bethany Baptist Church,2025-03,907.0,-337.0,-0.271
Bethany Baptist Church,2025-04,175.0,-732.0,-0.807
Bethany Baptist Church,2025-05,774.0,599.0,3.423
Bethany Baptist Church,2025-06,856.0,82.0,0.106
"Christian Worship Assembly, INC",2022-07 to 2022-08,0.0,0.0,0.0
"Christian Worship Assembly, INC",2022-09,5412.0,5412.0,inf
"Christian Worship Assembly, INC",2022-10,0.0,-5412.0,-1.0
"Christian Worship Assembly, INC",2022-11 to 2022-12,0.0,0.0,0.0
"Christian Worship Assembly, INC",2023-01,8331.0,8331.0,inf
"Christian Worship Assembly, INC",2023-02,0.0,-8331.0,-1.0
"Christian Worship Assembly, INC",2023-03,4304.0,4304.0,inf
"Christian Worship Assembly, INC",2023-04,0.0,-4304.0,-1.0
"Christian Worship Assembly, INC",2023-05 to 2023-07,0.0,0.0,0.0
"Christian Worship Assembly, INC",2023-08,11484.0,11484.0,inf
"Christian Worship Assembly, INC",2023-09,0.0,-11484.0,-1.0
"Christian Worship Assembly, INC",2023-10,15066.0,15066.0,inf
"Christian Worship Assembly, INC",2023-11,11226.0,-3840.0,-0.255
"Christian Worship Assembly, INC",2023-12,0.0,-11226.0,-1.0
"Christian Worship Assembly, INC",2024-01,9562.0,9562.0,inf
"Christian Worship Assembly, INC",2024-02,0.0,-9562.0,-1.0
"Christian Worship Assembly, INC",2024-03,0.0,0.0,0.0
"Christian Worship Assembly, INC",2024-04,11188.0,11188.0,inf
"Christian Worship Assembly, INC",2024-05,1420.0,-9768.0,-0.873
"Christian Worship Assembly, INC",2024-06,1258.0,-162.0,-0.114
"Christian Worship Assembly, INC",2024-07,17239.0,15981.0,12.703
"Christian Worship Assembly, INC",2024-08,15765.0,-1474.0,-0.086
"Christian Worship Assembly, INC",2024-09,0.0,-15765.0,-1.0
"Christian Worship Assembly, INC",2024-10,2664.0,2664.0,inf
"Christian Worship Assembly, INC",2024-11,12078.0,9414.0,3.534
"Christian Worship Assembly, INC",2024-12,4850.0,-7228.0,-0.598
"Christian Worship Assembly, INC",2025-01,14785.0,9935.0,2.048
"Christian Worship Assembly, INC",2025-02,7883.0,-6902.0,-0.467
"Christian Worship Assembly, INC",2025-03,0.0,-7883.0,-1.0
"Christian Worship Assembly, INC",2025-04,17236.0,17236.0,inf
"Christian Worship Assembly, INC",2025-05,2796.0,-14440.0,-0.838
"Christian Worship Assembly, INC",2025-06,3097.0,301.0,0.108
Cornerstone Baptist Church,2022-07,8639.0,0.0,0.0
Cornerstone Baptist Church,2022-08,8168.0,-471.0,-0.055
Cornerstone Baptist Church,2022-09,8438.0,270.0,0.033
Cornerstone Baptist Church,2022-10,8714.0,276.0,0.033
Cornerstone Baptist Church,2022-11,8360.0,-354.0,-0.041
Cornerstone Baptist Church,2022-12,7680.0,-680.0,-0.081
Cornerstone Baptist Church,2023-01,7195.0,-485.0,-0.063
Cornerstone Baptist Church,2023-02,7731.0,536.0,0.074
Cornerstone Baptist Church,2023-03,5607.0,-2124.0,-0.275
Cornerstone Baptist Church,2023-04,8569.0,2962.0,0.528
Cornerstone Baptist Church,2023-05,8387.0,-182.0,-0.021
Cornerstone Baptist Church,2023-06,6622.0,-1765.0,-0.21
Cornerstone Baptist Church,2023-07,7994.0,1372.0,0.207
Cornerstone Baptist Church,2023-08,6874.0,-1120.0,-0.14
Cornerstone Baptist Church,2023-09,6386.0,-488.0,-0.071
Cornerstone Baptist Church,2023-10,8753.0,2367.0,0.371
Cornerstone Baptist Church,2023-11,8071.0,-682.0,-0.078
Cornerstone Baptist Church,2023-12,5883.0,-2188.0,-0.271
Cornerstone Baptist Church,2024-01,8109.0,2226.0,0.378
Cornerstone Baptist Church,2024-02,6902.0,-1207.0,-0.149
Cornerstone Baptist Church,2024-03,9089.0,2187.0,0.317
Cornerstone Baptist Church,2024-04,8625.0,-464.0,-0.051
Cornerstone Baptist Church,2024-05,8555.0,-70.0,-0.008
Cornerstone Baptist Church,2024-06,8308.0,-247.0,-0.029
Cornerstone Baptist Church,2024-07,7720.0,-588.0,-0.071
Cornerstone Baptist Church,2024-08,7528.0,-192.0,-0.025
Cornerstone Baptist Church,2024-09,7422.0,-106.0,-0.014
Cornerstone Baptist Church,2024-10,7261.0,-161.0,-0.022
Cornerstone Baptist Church,2024-11,7254.0,-7.0,-0.001
Cornerstone Baptist Church,2024-12,5908.0,-1346.0,-0.186
Cornerstone Baptist Church,2025-01,8005.0,2097.0,0.355
Cornerstone Baptist Church,2025-02,7873.0,-132.0,-0.016
Cornerstone Baptist Church,2025-03,10372.0,2499.0,0.317
Cornerstone Baptist Church,2025-04,7725.0,-2647.0,-0.255
Cornerstone Baptist Church,2025-05,8123.0,398.0,0.052
Cornerstone Baptist Church,2025-06,0.0,-8123.0,-1.0
Decal Grant Hart Head Start,2022-07 to 2024-08,0.0,0.0,0.0
Decal Grant Hart Head Start,2024-09,703.0,703.0,inf
Decal Grant Hart Head Start,2024-10,684.0,-19.0,-0.027
Decal Grant Hart Head Start,2024-11,1848.0,1164.0,1.702
Decal Grant Hart Head Start,2024-12,746.0,-1102.0,-0.596
Decal Grant Hart Head Start,2025-01,2008.0,1262.0,1.692
Decal Grant Hart Head Start,2025-02,2329.0,321.0,0.16
Decal Grant Hart Head Start,2025-03,714.0,-1615.0,-0.693
Decal Grant Hart Head Start,2025-04,765.0,51.0,0.071
Decal Grant Hart Head Start,2025-05,0.0,-765.0,-1.0
Decal Grant Hart Head Start,2025-06,0.0,0.0,0.0
Food 2 Kids Hart County,2022-07 to 2022-08,0.0,0.0,0.0
Food 2 Kids Hart County,2022-09,567.0,567.0,inf
Food 2 Kids Hart County,2022-10,2873.0,2306.0,4.067
Food 2 Kids Hart County,2022-11,1768.0,-1105.0,-0.385
Food 2 Kids Hart County,2022-12,2945.0,1177.0,0.666
Food 2 Kids Hart County,2023-01,1742.0,-1203.0,-0.408
Food 2 Kids Hart County,2023-02,2509.0,767.0,0.44
Food 2 Kids Hart County,2023-03,2548.0,39.0,0.016
Food 2 Kids Hart County,2023-04,3822.0,1274.0,0.5
Food 2 Kids Hart County,2023-05,1899.0,-1923.0,-0.503
Food 2 Kids Hart County,2023-06,2522.0,623.0,0.328
Food 2 Kids Hart County,2023-07,0.0,-2522.0,-1.0
Food 2 Kids Hart County,2023-08 to 2025-06,0.0,0.0,0.0
Hart County ALC/MSFP,2022-07 to 2022-08,0.0,0.0,0.0
Hart County ALC/MSFP,2022-09,2369.0,2369.0,inf
Hart County ALC/MSFP,2022-10,664.0,-1705.0,-0.72
Hart County ALC/MSFP,2022-11,2644.0,1980.0,2.982
Hart County ALC/MSFP,2022-12,793.0,-1851.0,-0.7
Hart County ALC/MSFP,2023-01,1111.0,318.0,0.401
Hart County ALC/MSFP,2023-02,905.0,-206.0,-0.185
Hart County ALC/MSFP,2023-03,479.0,-426.0,-0.471
Hart County ALC/MSFP,2023-04,1762.0,1283.0,2.678
Hart County ALC/MSFP,2023-05,1260.0,-502.0,-0.285
Hart County ALC/MSFP,2023-06,0.0,-1260.0,-1.0
Hart County ALC/MSFP,2023-07 to 2024-08,0.0,0.0,0.0
Hart County ALC/MSFP,2024-09,5189.0,5189.0,inf
Hart County ALC/MSFP,2024-10,2641.0,-2548.0,-0.491
Hart County ALC/MSFP,2024-11,7832.0,5191.0,1.966
Hart County ALC/MSFP,2024-12,5252.0,-2580.0,-0.329
Hart County ALC/MSFP,2025-01,4692.0,-560.0,-0.107
Hart County ALC/MSFP,2025-02,6186.0,1494.0,0.318
Hart County ALC/MSFP,2025-03,4779.0,-1407.0,-0.227
Hart County ALC/MSFP,2025-04,3677.0,-1102.0,-0.231
Hart County ALC/MSFP,2025-05,3102.0,-575.0,-0.156
Hart County ALC/MSFP,2025-06,10048.0,6946.0,2.239
"Hart County Clothes Closet Food Pantry, Inc",2022-07,350.0,0.0,0.0
"Hart County Clothes Closet Food Pantry, Inc",2022-08,442.0,92.0,0.263
"Hart County Clothes Closet Food Pantry, Inc",2022-09,485.0,43.0,0.097
"Hart County Clothes Closet Food Pantry, Inc",2022-10,515.0,30.0,0.062
"Hart County Clothes Closet Food Pantry, Inc",2022-11,804.0,289.0,0.561
"Hart County Clothes Closet Food Pantry, Inc",2022-12,572.0,-232.0,-0.289
"Hart County Clothes Closet Food Pantry, Inc",2023-01,551.0,-21.0,-0.037
