Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Banks Jackson Food Bank,4727.0,7018.0,10264.0,4563.0,5739.0,6280.0,2384.0,2828.0,2772.0,4665.0,5369.0,4389.0,4892.0,4567.0,4894.0,5224.0,9277.0,1997.0,5628.0,5956.0,3324.0,7463.0,3861.0,440.0,3870.9,3835.0,9373.0,4941.0,613.0,5829.0,5302.0,5668.0,4850.0,4540.0,6311.0,0.0,2291.0,3246.0,-5701.0,1176.0,541.0,-3896.0,444.0,-56.0,1893.0,704.0,-980.0,503.0,-325.0,327.0,330.0,4053.0,-7280.0,3631.0,328.0,-2632.0,4139.0,-3602.0,-3421.0,3430.9,-35.90000000000009,5538.0,-4432.0,-4328.0,5216.0,-527.0,366.0,-818.0,-310.0,1771.0,-6311.0
Center United Methodist Church (Center UMC),0.0,11810.0,1099.0,787.0,13361.0,1583.0,10578.0,2189.0,11393.0,2584.0,439.0,11698.0,1019.0,0.0,1387.0,5037.0,3169.0,2246.0,5084.0,168.0,683.0,532.0,1091.0,1405.0,1351.0,1043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11810.0,-10711.0,-312.0,12574.0,-11778.0,8995.0,-8389.0,9204.0,-8809.0,-2145.0,11259.0,-10679.0,-1019.0,1387.0,3650.0,-1868.0,-923.0,2838.0,-4916.0,515.0,-151.0,559.0,314.0,-54.0,-308.0,-1043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Christian Outreach Ministries, INC",0.0,4392.0,0.0,2255.0,4274.0,1254.0,1579.0,1114.0,0.0,658.0,0.0,1497.0,0.0,0.0,0.0,2153.0,0.0,0.0,0.0,0.0,1320.0,541.0,0.0,0.0,331.0,384.0,3234.0,935.0,1873.0,0.0,0.0,320.0,923.0,1643.0,1153.0,292.0,4392.0,-4392.0,2255.0,2019.0,-3020.0,325.0,-465.0,-1114.0,658.0,-658.0,1497.0,-1497.0,0.0,0.0,2153.0,-2153.0,0.0,0.0,0.0,1320.0,-779.0,-541.0,0.0,331.0,53.0,2850.0,-2299.0,938.0,-1873.0,0.0,320.0,603.0,720.0,-490.0,-861.0
Church of God of Prophecy - Braselton,0.0,4517.0,0.0,0.0,0.0,794.0,0.0,1054.0,0.0,0.0,0.0,0.0,0.0,1917.0,0.0,0.0,1842.0,0.0,0.0,0.0,0.0,0.0,1334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,4517.0,-4517.0,0.0,0.0,794.0,-794.0,1054.0,-1054.0,0.0,0.0,0.0,0.0,1917.0,-1917.0,0.0,1842.0,-1842.0,0.0,0.0,0.0,0.0,1334.0,-1334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,-140.0
Church of God of Prophecy - Hoschton,4289.0,3755.0,3953.0,4301.0,4600.0,3209.0,5219.0,3624.0,4876.0,2995.0,2540.0,1773.0,2346.0,5716.0,2772.0,3002.0,3282.0,2955.0,3072.0,28428.0,5646.0,7103.0,13950.0,11824.0,6733.0,12022.0,6882.0,16898.0,8873.0,17461.0,17715.0,16605.0,17716.0,12542.0,36412.0,13855.0,-534.0,198.0,348.0,299.0,-1391.0,2010.0,-1595.0,1252.0,-1881.0,-455.0,-767.0,573.0,3370.0,-2944.0,230.0,280.0,-327.0,117.0,25356.0,-22782.0,1457.0,6847.0,-2126.0,-5091.0,5289.0,-5140.0,10016.0,-8025.0,8588.0,254.0,-1110.0,1111.0,-5174.0,23870.0,-22557.0
Crossroads Worship Center Church of Christ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7299.0,0.0,0.0,0.0,0.0,0.0,17200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7299.0,-7299.0,0.0,0.0,0.0,0.0,17200.0,-17200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2K360 Jackson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,8513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,-600.0,8513.0,-8513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOOD BANK OF NORTHEAST GEORGIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13553.0,-13553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Favor House,3841.0,3743.0,2882.0,3057.0,2095.0,1150.0,2079.0,1145.0,1258.0,1484.0,1289.0,419.0,342.0,496.0,400.0,455.0,354.0,363.0,891.0,778.0,706.0,401.0,902.0,171.0,697.0,729.0,845.0,958.0,1407.0,1275.0,1646.0,1508.0,717.0,1435.0,918.0,951.0,-98.0,-861.0,175.0,-962.0,-945.0,929.0,-934.0,113.0,226.0,-195.0,-870.0,-77.0,154.0,-96.0,55.0,-101.0,9.0,528.0,-113.0,-72.0,-305.0,501.0,-731.0,526.0,32.0,116.0,113.0,449.0,-132.0,371.0,-138.0,-791.0,718.0,-517.0,33.0
First Baptist Church of Jefferson,10010.0,0.0,8093.0,0.0,9835.0,0.0,0.0,463.0,4020.0,0.0,0.0,5385.0,0.0,8095.0,350.0,5170.0,0.0,0.0,7474.0,0.0,0.0,6645.0,760.0,0.0,8219.0,0.0,0.0,10008.0,0.0,680.0,7910.0,0.0,0.0,2912.0,0.0,6060.0,-10010.0,8093.0,-8093.0,9835.0,-9835.0,0.0,463.0,3557.0,-4020.0,0.0,5385.0,-5385.0,8095.0,-7745.0,4820.0,-5170.0,0.0,7474.0,-7474.0,0.0,6645.0,-5885.0,-760.0,8219.0,-8219.0,0.0,10008.0,-10008.0,680.0,7230.0,-7910.0,0.0,2912.0,-2912.0,6060.0
