Agency,Time,dist_volume,delta,pct_change
Banks Jackson Food Bank,2022-07,4727.0,0.0,
Banks Jackson Food Bank,2022-08,7018.0,2291.0,0.48466257668711654
Banks Jackson Food Bank,2022-09,10264.0,3246.0,0.4625249358791679
Banks Jackson Food Bank,2022-10,4563.0,-5701.0,-0.5554364770070148
Banks Jackson Food Bank,2022-11,5739.0,1176.0,0.2577251808021039
Banks Jackson Food Bank,2022-12,6280.0,541.0,0.09426729395365047
Banks Jackson Food Bank,2023-01,2384.0,-3896.0,-0.6203821656050955
Banks Jackson Food Bank,2023-02,2828.0,444.0,0.18624161073825504
Banks Jackson Food Bank,2023-03,2772.0,-56.0,-0.019801980198019802
Banks Jackson Food Bank,2023-04,4665.0,1893.0,0.6829004329004329
Banks Jackson Food Bank,2023-05,5369.0,704.0,0.15091103965702035
Banks Jackson Food Bank,2023-06,4389.0,-980.0,-0.18252933507170796
Banks Jackson Food Bank,2023-07,4892.0,503.0,0.11460469355206197
Banks Jackson Food Bank,2023-08,4567.0,-325.0,-0.06643499591169257
Banks Jackson Food Bank,2023-09,4894.0,327.0,0.07160061309393474
Banks Jackson Food Bank,2023-10,5224.0,330.0,0.06742950551695955
Banks Jackson Food Bank,2023-11,9277.0,4053.0,0.7758422664624809
Banks Jackson Food Bank,2023-12,1997.0,-7280.0,-0.7847364449714347
Banks Jackson Food Bank,2024-01,5628.0,3631.0,1.8182273410115173
Banks Jackson Food Bank,2024-02,5956.0,328.0,0.05828002842928216
Banks Jackson Food Bank,2024-03,3324.0,-2632.0,-0.4419073203492277
Banks Jackson Food Bank,2024-04,7463.0,4139.0,1.2451865222623346
Banks Jackson Food Bank,2024-05,3861.0,-3602.0,-0.4826477287953906
Banks Jackson Food Bank,2024-06,440.0,-3421.0,-0.886039886039886
Banks Jackson Food Bank,2024-07,3870.9,3430.9,7.7975
Banks Jackson Food Bank,2024-08,3835.0,-35.90000000000009,-0.00927432896742362
Banks Jackson Food Bank,2024-09,9373.0,5538.0,1.4440677966101696
Banks Jackson Food Bank,2024-10,4941.0,-4432.0,-0.47284754080870584
Banks Jackson Food Bank,2024-11,613.0,-4328.0,-0.8759360453349524
Banks Jackson Food Bank,2024-12,5829.0,5216.0,8.508972267536704
Banks Jackson Food Bank,2025-01,5302.0,-527.0,-0.09041001887116143
Banks Jackson Food Bank,2025-02,5668.0,366.0,0.06903055450773293
Banks Jackson Food Bank,2025-03,4850.0,-818.0,-0.14431898376852506
Banks Jackson Food Bank,2025-04,4540.0,-310.0,-0.06391752577319587
Banks Jackson Food Bank,2025-05,6311.0,1771.0,0.39008810572687225
Banks Jackson Food Bank,2025-06,0.0,-6311.0,-1.0
Center United Methodist Church (Center UMC),2022-07,0.0,0.0,
Center United Methodist Church (Center UMC),2022-08,11810.0,11810.0,inf
Center United Methodist Church (Center UMC),2022-09,1099.0,-10711.0,-0.9069432684165961
Center United Methodist Church (Center UMC),2022-10,787.0,-312.0,-0.28389444949954507
Center United Methodist Church (Center UMC),2022-11,13361.0,12574.0,15.97712833545108
Center United Methodist Church (Center UMC),2022-12,1583.0,-11778.0,-0.881520844248185
Center United Methodist Church (Center UMC),2023-01,10578.0,8995.0,5.682248894504106
Center United Methodist Church (Center UMC),2023-02,2189.0,-8389.0,-0.7930610701455851
