Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Camp Maranatha,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1714.0,887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,192.0,677.0,1045.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,-242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1714.0,-827.0,-887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,-50.0,192.0,485.0,368.0,-560.0,-485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2360.0
Cedar Grove Baptist Church,13836.0,228.0,490.0,513.0,731.0,252.0,802.0,424.0,1646.0,273.0,634.0,690.0,15303.0,525.0,603.0,442.0,448.0,577.0,807.0,650.0,849.0,476.0,802.0,0.0,510.0,1052.0,1443.0,506.0,16722.0,0.0,847.0,719.0,733.0,649.0,562.0,123.2,-13608.0,262.0,23.0,218.0,-479.0,550.0,-378.0,1222.0,-1373.0,361.0,56.0,14613.0,-14778.0,78.0,-161.0,6.0,129.0,230.0,-157.0,199.0,-373.0,326.0,-802.0,510.0,542.0,391.0,-937.0,16216.0,-16722.0,847.0,-128.0,14.0,-84.0,-87.0,-438.8
Colbert First Baptist Church,0.0,1124.0,631.0,1841.0,0.0,0.0,590.0,862.0,466.0,336.0,580.0,450.0,1380.0,1492.0,492.0,1944.0,772.0,1380.0,1002.0,1176.0,1318.0,1146.0,0.0,0.0,1562.0,1443.0,650.0,1542.0,1056.0,1425.0,0.0,843.0,328.0,1270.0,1657.0,518.0,1124.0,-493.0,1210.0,-1841.0,0.0,590.0,272.0,-396.0,-130.0,244.0,-130.0,930.0,112.0,-1000.0,1452.0,-1172.0,608.0,-378.0,174.0,142.0,-172.0,-1146.0,0.0,1562.0,-119.0,-793.0,892.0,-486.0,369.0,-1425.0,843.0,-515.0,942.0,387.0,-1139.0
Colbert Living Waters Holiness Church,0.0,614.0,927.0,1727.0,1253.0,0.0,1627.0,2278.0,386.0,0.0,0.0,3041.0,0.0,0.0,1738.0,0.0,2547.0,0.0,0.0,2311.0,1071.0,0.0,1954.0,724.0,772.0,3047.0,0.0,1587.0,407.0,0.0,1955.0,0.0,0.0,2158.0,0.0,0.0,614.0,313.0,800.0,-474.0,-1253.0,1627.0,651.0,-1892.0,-386.0,0.0,3041.0,-3041.0,0.0,1738.0,-1738.0,2547.0,-2547.0,0.0,2311.0,-1240.0,-1071.0,1954.0,-1230.0,48.0,2275.0,-3047.0,1587.0,-1180.0,-407.0,1955.0,-1955.0,0.0,2158.0,-2158.0,0.0
Colbert Methodist Church,2904.0,1307.0,1181.0,2059.0,1442.0,2065.0,1334.0,1161.0,1969.0,1147.0,1293.0,1043.0,2713.0,2957.0,2125.0,1049.0,3095.0,992.0,2207.0,2949.0,3453.0,3994.0,3072.0,2467.0,2138.0,1997.0,1766.0,2197.0,2396.0,2141.0,3007.0,2746.0,2832.0,2309.0,2628.0,2633.0,-1597.0,-126.0,878.0,-617.0,623.0,-731.0,-173.0,808.0,-822.0,146.0,-250.0,1670.0,244.0,-832.0,-1076.0,2046.0,-2103.0,1215.0,742.0,504.0,541.0,-922.0,-605.0,-329.0,-141.0,-231.0,431.0,199.0,-255.0,866.0,-261.0,86.0,-523.0,319.0,5.0
Colbert Methodist Church INTHEMIDDLEMEALS,330.0,151.0,857.0,313.0,149.0,198.0,87.0,0.0,0.0,0.0,0.0,0.0,402.0,1789.0,655.0,168.0,0.0,0.0,350.0,251.0,121.0,0.0,0.0,454.0,253.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,-179.0,706.0,-544.0,-164.0,49.0,-111.0,-87.0,0.0,0.0,0.0,0.0,402.0,1387.0,-1134.0,-487.0,-168.0,0.0,350.0,-99.0,-130.0,-121.0,0.0,454.0,-201.0,-253.0,0.0,0.0,0.0,120.0,-120.0,0.0,0.0,0.0,0.0,0.0
Divine Healing Ministry of Recovery Inc.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0,730.0,586.0,562.0,468.0,295.0,548.0,752.0,711.0,1035.0,2004.0,1626.0,1813.0,4241.0,993.0,2375.0,2070.0,1878.0,3356.0,1713.0,2163.0,1904.0,3496.0,3964.0,3290.0,4481.0,6195.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,822.0,-92.0,-144.0,-24.0,-94.0,-173.0,253.0,204.0,-41.0,324.0,969.0,-378.0,187.0,2428.0,-3248.0,1382.0,-305.0,-192.0,1478.0,-1643.0,450.0,-259.0,1592.0,468.0,-674.0,1191.0,1714.3999999999996
Evangelical Methodist Church - Danielsville,268.0,673.0,173.0,560.0,212.0,414.0,1984.0,567.0,972.0,543.0,778.0,294.0,866.0,1391.0,636.0,1821.0,2115.0,157.0,307.0,1628.0,800.0,2112.0,1155.0,963.0,1708.0,1840.0,1234.0,1790.0,2604.0,1687.0,923.0,1550.0,1978.0,2926.0,1842.0,1634.0,405.0,-500.0,387.0,-348.0,202.0,1570.0,-1417.0,405.0,-429.0,235.0,-484.0,572.0,525.0,-755.0,1185.0,294.0,-1958.0,150.0,1321.0,-828.0,1312.0,-957.0,-192.0,745.0,132.0,-606.0,556.0,814.0,-917.0,-764.0,627.0,428.0,948.0,-1084.0,-208.0
FOOD BANK OF NORTHEAST GEORGIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.0,-494.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food 2 Kids Madison County,0.0,750.0,547.0,3738.0,2158.0,3614.0,2431.0,3107.0,3068.0,4602.0,2301.0,3068.0,0.0,1547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.0,-203.0,3191.0,-1580.0,1456.0,-1183.0,676.0,-39.0,1534.0,-2301.0,767.0,-3068.0,1547.0,-1547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
