Agency,Time,dist_volume,delta,pct_change
Camp Maranatha,2022-07,242.0,0.0,0.0
Camp Maranatha,2022-08,0.0,-242.0,-1.0
Camp Maranatha,2022-09 to 2023-05,0.0,0.0,0.0
Camp Maranatha,2023-06,1714.0,1714.0,inf
Camp Maranatha,2023-07,887.0,-827.0,-0.482
Camp Maranatha,2023-08,0.0,-887.0,-1.0
Camp Maranatha,2023-09 to 2024-03,0.0,0.0,0.0
Camp Maranatha,2024-04,50.0,50.0,inf
Camp Maranatha,2024-05,0.0,-50.0,-1.0
Camp Maranatha,2024-06,192.0,192.0,inf
Camp Maranatha,2024-07,677.0,485.0,2.526
Camp Maranatha,2024-08,1045.0,368.0,0.544
Camp Maranatha,2024-09,485.0,-560.0,-0.536
Camp Maranatha,2024-10,0.0,-485.0,-1.0
Camp Maranatha,2024-11 to 2025-05,0.0,0.0,0.0
Camp Maranatha,2025-06,2360.0,2360.0,inf
Cedar Grove Baptist Church,2022-07,13836.0,0.0,0.0
Cedar Grove Baptist Church,2022-08,228.0,-13608.0,-0.984
Cedar Grove Baptist Church,2022-09,490.0,262.0,1.149
Cedar Grove Baptist Church,2022-10,513.0,23.0,0.047
Cedar Grove Baptist Church,2022-11,731.0,218.0,0.425
Cedar Grove Baptist Church,2022-12,252.0,-479.0,-0.655
Cedar Grove Baptist Church,2023-01,802.0,550.0,2.183
Cedar Grove Baptist Church,2023-02,424.0,-378.0,-0.471
Cedar Grove Baptist Church,2023-03,1646.0,1222.0,2.882
Cedar Grove Baptist Church,2023-04,273.0,-1373.0,-0.834
Cedar Grove Baptist Church,2023-05,634.0,361.0,1.322
Cedar Grove Baptist Church,2023-06,690.0,56.0,0.088
Cedar Grove Baptist Church,2023-07,15303.0,14613.0,21.178
Cedar Grove Baptist Church,2023-08,525.0,-14778.0,-0.966
Cedar Grove Baptist Church,2023-09,603.0,78.0,0.149
Cedar Grove Baptist Church,2023-10,442.0,-161.0,-0.267
Cedar Grove Baptist Church,2023-11,448.0,6.0,0.014
Cedar Grove Baptist Church,2023-12,577.0,129.0,0.288
Cedar Grove Baptist Church,2024-01,807.0,230.0,0.399
Cedar Grove Baptist Church,2024-02,650.0,-157.0,-0.195
Cedar Grove Baptist Church,2024-03,849.0,199.0,0.306
Cedar Grove Baptist Church,2024-04,476.0,-373.0,-0.439
