Agency,Time,dist_volume,delta,pct_change
Camp Maranatha,2022-07,242.0,0.0,
Camp Maranatha,2022-08,0.0,-242.0,-1.0
Camp Maranatha,2022-09,0.0,0.0,0.0
Camp Maranatha,2022-10,0.0,0.0,0.0
Camp Maranatha,2022-11,0.0,0.0,0.0
Camp Maranatha,2022-12,0.0,0.0,0.0
Camp Maranatha,2023-01,0.0,0.0,0.0
Camp Maranatha,2023-02,0.0,0.0,0.0
Camp Maranatha,2023-03,0.0,0.0,0.0
Camp Maranatha,2023-04,0.0,0.0,0.0
Camp Maranatha,2023-05,0.0,0.0,0.0
Camp Maranatha,2023-06,1714.0,1714.0,inf
Camp Maranatha,2023-07,887.0,-827.0,-0.4824970828471412
Camp Maranatha,2023-08,0.0,-887.0,-1.0
Camp Maranatha,2023-09,0.0,0.0,0.0
Camp Maranatha,2023-10,0.0,0.0,0.0
Camp Maranatha,2023-11,0.0,0.0,0.0
Camp Maranatha,2023-12,0.0,0.0,0.0
Camp Maranatha,2024-01,0.0,0.0,0.0
Camp Maranatha,2024-02,0.0,0.0,0.0
Camp Maranatha,2024-03,0.0,0.0,0.0
Camp Maranatha,2024-04,50.0,50.0,inf
Camp Maranatha,2024-05,0.0,-50.0,-1.0
Camp Maranatha,2024-06,192.0,192.0,inf
Camp Maranatha,2024-07,677.0,485.0,2.5260416666666665
Camp Maranatha,2024-08,1045.0,368.0,0.5435745937961596
Camp Maranatha,2024-09,485.0,-560.0,-0.5358851674641149
Camp Maranatha,2024-10,0.0,-485.0,-1.0
Camp Maranatha,2024-11,0.0,0.0,0.0
Camp Maranatha,2024-12,0.0,0.0,0.0
Camp Maranatha,2025-01,0.0,0.0,0.0
Camp Maranatha,2025-02,0.0,0.0,0.0
Camp Maranatha,2025-03,0.0,0.0,0.0
Camp Maranatha,2025-04,0.0,0.0,0.0
Camp Maranatha,2025-05,0.0,0.0,0.0
Camp Maranatha,2025-06,2360.0,2360.0,inf
Cedar Grove Baptist Church,2022-07,13836.0,0.0,
Cedar Grove Baptist Church,2022-08,228.0,-13608.0,-0.9835212489158717
Cedar Grove Baptist Church,2022-09,490.0,262.0,1.1491228070175439
Cedar Grove Baptist Church,2022-10,513.0,23.0,0.04693877551020408
Cedar Grove Baptist Church,2022-11,731.0,218.0,0.4249512670565302
Cedar Grove Baptist Church,2022-12,252.0,-479.0,-0.655266757865937
Cedar Grove Baptist Church,2023-01,802.0,550.0,2.1825396825396823
Cedar Grove Baptist Church,2023-02,424.0,-378.0,-0.4713216957605985
Cedar Grove Baptist Church,2023-03,1646.0,1222.0,2.8820754716981134
Cedar Grove Baptist Church,2023-04,273.0,-1373.0,-0.8341433778857837
Cedar Grove Baptist Church,2023-05,634.0,361.0,1.3223443223443223
Cedar Grove Baptist Church,2023-06,690.0,56.0,0.08832807570977919
Cedar Grove Baptist Church,2023-07,15303.0,14613.0,21.178260869565218
Cedar Grove Baptist Church,2023-08,525.0,-14778.0,-0.96569300137228
Cedar Grove Baptist Church,2023-09,603.0,78.0,0.14857142857142858
Cedar Grove Baptist Church,2023-10,442.0,-161.0,-0.2669983416252073
Cedar Grove Baptist Church,2023-11,448.0,6.0,0.013574660633484163
Cedar Grove Baptist Church,2023-12,577.0,129.0,0.28794642857142855
Cedar Grove Baptist Church,2024-01,807.0,230.0,0.3986135181975737
Cedar Grove Baptist Church,2024-02,650.0,-157.0,-0.19454770755885997
Cedar Grove Baptist Church,2024-03,849.0,199.0,0.30615384615384617
Cedar Grove Baptist Church,2024-04,476.0,-373.0,-0.43934040047114253
Cedar Grove Baptist Church,2024-05,802.0,326.0,0.6848739495798319
Cedar Grove Baptist Church,2024-06,0.0,-802.0,-1.0
Cedar Grove Baptist Church,2024-07,510.0,510.0,inf
Cedar Grove Baptist Church,2024-08,1052.0,542.0,1.0627450980392157
Cedar Grove Baptist Church,2024-09,1443.0,391.0,0.37167300380228135
Cedar Grove Baptist Church,2024-10,506.0,-937.0,-0.6493416493416494
Cedar Grove Baptist Church,2024-11,16722.0,16216.0,32.047430830039524
Cedar Grove Baptist Church,2024-12,0.0,-16722.0,-1.0
Cedar Grove Baptist Church,2025-01,847.0,847.0,inf
Cedar Grove Baptist Church,2025-02,719.0,-128.0,-0.1511216056670602
Cedar Grove Baptist Church,2025-03,733.0,14.0,0.019471488178025034
Cedar Grove Baptist Church,2025-04,649.0,-84.0,-0.1145975443383356
Cedar Grove Baptist Church,2025-05,562.0,-87.0,-0.13405238828967642
Cedar Grove Baptist Church,2025-06,123.2,-438.8,-0.7807829181494662
Colbert First Baptist Church,2022-07,0.0,0.0,
Colbert First Baptist Church,2022-08,1124.0,1124.0,inf
Colbert First Baptist Church,2022-09,631.0,-493.0,-0.4386120996441281
Colbert First Baptist Church,2022-10,1841.0,1210.0,1.9175911251980982
Colbert First Baptist Church,2022-11,0.0,-1841.0,-1.0
Colbert First Baptist Church,2022-12,0.0,0.0,0.0
Colbert First Baptist Church,2023-01,590.0,590.0,inf
Colbert First Baptist Church,2023-02,862.0,272.0,0.4610169491525424
Colbert First Baptist Church,2023-03,466.0,-396.0,-0.4593967517401392
Colbert First Baptist Church,2023-04,336.0,-130.0,-0.27896995708154504
Colbert First Baptist Church,2023-05,580.0,244.0,0.7261904761904762
Colbert First Baptist Church,2023-06,450.0,-130.0,-0.22413793103448276
Colbert First Baptist Church,2023-07,1380.0,930.0,2.066666666666667
Colbert First Baptist Church,2023-08,1492.0,112.0,0.08115942028985507
Colbert First Baptist Church,2023-09,492.0,-1000.0,-0.6702412868632708
Colbert First Baptist Church,2023-10,1944.0,1452.0,2.951219512195122
Colbert First Baptist Church,2023-11,772.0,-1172.0,-0.602880658436214
Colbert First Baptist Church,2023-12,1380.0,608.0,0.7875647668393783
Colbert First Baptist Church,2024-01,1002.0,-378.0,-0.27391304347826084
Colbert First Baptist Church,2024-02,1176.0,174.0,0.17365269461077845
Colbert First Baptist Church,2024-03,1318.0,142.0,0.12074829931972789
Colbert First Baptist Church,2024-04,1146.0,-172.0,-0.13050075872534142
Colbert First Baptist Church,2024-05,0.0,-1146.0,-1.0
Colbert First Baptist Church,2024-06,0.0,0.0,0.0
Colbert First Baptist Church,2024-07,1562.0,1562.0,inf
Colbert First Baptist Church,2024-08,1443.0,-119.0,-0.0761843790012804
Colbert First Baptist Church,2024-09,650.0,-793.0,-0.5495495495495496
Colbert First Baptist Church,2024-10,1542.0,892.0,1.3723076923076922
Colbert First Baptist Church,2024-11,1056.0,-486.0,-0.3151750972762646
Colbert First Baptist Church,2024-12,1425.0,369.0,0.3494318181818182
Colbert First Baptist Church,2025-01,0.0,-1425.0,-1.0
Colbert First Baptist Church,2025-02,843.0,843.0,inf
Colbert First Baptist Church,2025-03,328.0,-515.0,-0.6109134045077106
Colbert First Baptist Church,2025-04,1270.0,942.0,2.8719512195121952
Colbert First Baptist Church,2025-05,1657.0,387.0,0.3047244094488189
Colbert First Baptist Church,2025-06,518.0,-1139.0,-0.6873868436934218
Colbert Living Waters Holiness Church,2022-07,0.0,0.0,
Colbert Living Waters Holiness Church,2022-08,614.0,614.0,inf
Colbert Living Waters Holiness Church,2022-09,927.0,313.0,0.509771986970684
Colbert Living Waters Holiness Church,2022-10,1727.0,800.0,0.8629989212513485
Colbert Living Waters Holiness Church,2022-11,1253.0,-474.0,-0.2744643891140706
Colbert Living Waters Holiness Church,2022-12,0.0,-1253.0,-1.0
Colbert Living Waters Holiness Church,2023-01,1627.0,1627.0,inf
Colbert Living Waters Holiness Church,2023-02,2278.0,651.0,0.40012292562999385
Colbert Living Waters Holiness Church,2023-03,386.0,-1892.0,-0.8305531167690957
Colbert Living Waters Holiness Church,2023-04,0.0,-386.0,-1.0
Colbert Living Waters Holiness Church,2023-05,0.0,0.0,0.0
Colbert Living Waters Holiness Church,2023-06,3041.0,3041.0,inf
Colbert Living Waters Holiness Church,2023-07,0.0,-3041.0,-1.0
Colbert Living Waters Holiness Church,2023-08,0.0,0.0,0.0
Colbert Living Waters Holiness Church,2023-09,1738.0,1738.0,inf
Colbert Living Waters Holiness Church,2023-10,0.0,-1738.0,-1.0
Colbert Living Waters Holiness Church,2023-11,2547.0,2547.0,inf
Colbert Living Waters Holiness Church,2023-12,0.0,-2547.0,-1.0
Colbert Living Waters Holiness Church,2024-01,0.0,0.0,0.0
Colbert Living Waters Holiness Church,2024-02,2311.0,2311.0,inf
Colbert Living Waters Holiness Church,2024-03,1071.0,-1240.0,-0.5365642578970142
Colbert Living Waters Holiness Church,2024-04,0.0,-1071.0,-1.0
Colbert Living Waters Holiness Church,2024-05,1954.0,1954.0,inf
Colbert Living Waters Holiness Church,2024-06,724.0,-1230.0,-0.6294779938587513
Colbert Living Waters Holiness Church,2024-07,772.0,48.0,0.06629834254143646
Colbert Living Waters Holiness Church,2024-08,3047.0,2275.0,2.9468911917098444
Colbert Living Waters Holiness Church,2024-09,0.0,-3047.0,-1.0
Colbert Living Waters Holiness Church,2024-10,1587.0,1587.0,inf
Colbert Living Waters Holiness Church,2024-11,407.0,-1180.0,-0.7435412728418399
Colbert Living Waters Holiness Church,2024-12,0.0,-407.0,-1.0
Colbert Living Waters Holiness Church,2025-01,1955.0,1955.0,inf
Colbert Living Waters Holiness Church,2025-02,0.0,-1955.0,-1.0
Colbert Living Waters Holiness Church,2025-03,0.0,0.0,0.0
Colbert Living Waters Holiness Church,2025-04,2158.0,2158.0,inf
Colbert Living Waters Holiness Church,2025-05,0.0,-2158.0,-1.0
Colbert Living Waters Holiness Church,2025-06,0.0,0.0,0.0
Colbert Methodist Church,2022-07,2904.0,0.0,
Colbert Methodist Church,2022-08,1307.0,-1597.0,-0.5499311294765841
Colbert Methodist Church,2022-09,1181.0,-126.0,-0.09640397857689365
Colbert Methodist Church,2022-10,2059.0,878.0,0.7434377646062659
Colbert Methodist Church,2022-11,1442.0,-617.0,-0.2996600291403594
Colbert Methodist Church,2022-12,2065.0,623.0,0.4320388349514563
Colbert Methodist Church,2023-01,1334.0,-731.0,-0.3539951573849879
Colbert Methodist Church,2023-02,1161.0,-173.0,-0.12968515742128936
Colbert Methodist Church,2023-03,1969.0,808.0,0.6959517657192076
Colbert Methodist Church,2023-04,1147.0,-822.0,-0.4174707973590655
Colbert Methodist Church,2023-05,1293.0,146.0,0.12728857890148212
Colbert Methodist Church,2023-06,1043.0,-250.0,-0.19334880123743234
Colbert Methodist Church,2023-07,2713.0,1670.0,1.601150527325024
Colbert Methodist Church,2023-08,2957.0,244.0,0.08993733873940288
Colbert Methodist Church,2023-09,2125.0,-832.0,-0.28136624957727424
Colbert Methodist Church,2023-10,1049.0,-1076.0,-0.5063529411764706
Colbert Methodist Church,2023-11,3095.0,2046.0,1.9504289799809342
Colbert Methodist Church,2023-12,992.0,-2103.0,-0.6794830371567043
Colbert Methodist Church,2024-01,2207.0,1215.0,1.2247983870967742
Colbert Methodist Church,2024-02,2949.0,742.0,0.33620299048482105
Colbert Methodist Church,2024-03,3453.0,504.0,0.17090539165818922
Colbert Methodist Church,2024-04,3994.0,541.0,0.15667535476397335
Colbert Methodist Church,2024-05,3072.0,-922.0,-0.23084626940410616
Colbert Methodist Church,2024-06,2467.0,-605.0,-0.19694010416666666
Colbert Methodist Church,2024-07,2138.0,-329.0,-0.1333603567085529
Colbert Methodist Church,2024-08,1997.0,-141.0,-0.06594948550046772
Colbert Methodist Church,2024-09,1766.0,-231.0,-0.1156735102653981
Colbert Methodist Church,2024-10,2197.0,431.0,0.24405436013590034
Colbert Methodist Church,2024-11,2396.0,199.0,0.09057806099226218
Colbert Methodist Church,2024-12,2141.0,-255.0,-0.10642737896494157
Colbert Methodist Church,2025-01,3007.0,866.0,0.4044838860345633
Colbert Methodist Church,2025-02,2746.0,-261.0,-0.08679747256401729
Colbert Methodist Church,2025-03,2832.0,86.0,0.031318281136198105
Colbert Methodist Church,2025-04,2309.0,-523.0,-0.18467514124293785
Colbert Methodist Church,2025-05,2628.0,319.0,0.13815504547423127
Colbert Methodist Church,2025-06,2633.0,5.0,0.001902587519025875
Colbert Methodist Church INTHEMIDDLEMEALS,2022-07,330.0,0.0,
Colbert Methodist Church INTHEMIDDLEMEALS,2022-08,151.0,-179.0,-0.5424242424242425
Colbert Methodist Church INTHEMIDDLEMEALS,2022-09,857.0,706.0,4.675496688741722
Colbert Methodist Church INTHEMIDDLEMEALS,2022-10,313.0,-544.0,-0.6347724620770129
Colbert Methodist Church INTHEMIDDLEMEALS,2022-11,149.0,-164.0,-0.5239616613418531
Colbert Methodist Church INTHEMIDDLEMEALS,2022-12,198.0,49.0,0.3288590604026846
Colbert Methodist Church INTHEMIDDLEMEALS,2023-01,87.0,-111.0,-0.5606060606060606
Colbert Methodist Church INTHEMIDDLEMEALS,2023-02,0.0,-87.0,-1.0
Colbert Methodist Church INTHEMIDDLEMEALS,2023-03,0.0,0.0,0.0
Colbert Methodist Church INTHEMIDDLEMEALS,2023-04,0.0,0.0,0.0
Colbert Methodist Church INTHEMIDDLEMEALS,2023-05,0.0,0.0,0.0
Colbert Methodist Church INTHEMIDDLEMEALS,2023-06,0.0,0.0,0.0
Colbert Methodist Church INTHEMIDDLEMEALS,2023-07,402.0,402.0,inf
Colbert Methodist Church INTHEMIDDLEMEALS,2023-08,1789.0,1387.0,3.4502487562189055
