Agency,Time,dist_volume,delta,pct_change
Browns Chapel Baptist Church,2022-07,0.0,0.0,
Browns Chapel Baptist Church,2022-08,0.0,0.0,0.0
Browns Chapel Baptist Church,2022-09,0.0,0.0,0.0
Browns Chapel Baptist Church,2022-10,0.0,0.0,0.0
Browns Chapel Baptist Church,2022-11,0.0,0.0,0.0
Browns Chapel Baptist Church,2022-12,0.0,0.0,0.0
Browns Chapel Baptist Church,2023-01,0.0,0.0,0.0
Browns Chapel Baptist Church,2023-02,0.0,0.0,0.0
Browns Chapel Baptist Church,2023-03,0.0,0.0,0.0
Browns Chapel Baptist Church,2023-04,0.0,0.0,0.0
Browns Chapel Baptist Church,2023-05,0.0,0.0,0.0
Browns Chapel Baptist Church,2023-06,0.0,0.0,0.0
Browns Chapel Baptist Church,2023-07,0.0,0.0,0.0
Browns Chapel Baptist Church,2023-08,0.0,0.0,0.0
Browns Chapel Baptist Church,2023-09,0.0,0.0,0.0
Browns Chapel Baptist Church,2023-10,0.0,0.0,0.0
Browns Chapel Baptist Church,2023-11,0.0,0.0,0.0
Browns Chapel Baptist Church,2023-12,0.0,0.0,0.0
Browns Chapel Baptist Church,2024-01,0.0,0.0,0.0
Browns Chapel Baptist Church,2024-02,0.0,0.0,0.0
Browns Chapel Baptist Church,2024-03,0.0,0.0,0.0
Browns Chapel Baptist Church,2024-04,0.0,0.0,0.0
Browns Chapel Baptist Church,2024-05,0.0,0.0,0.0
Browns Chapel Baptist Church,2024-06,0.0,0.0,0.0
Browns Chapel Baptist Church,2024-07,0.0,0.0,0.0
Browns Chapel Baptist Church,2024-08,10148.0,10148.0,inf
Browns Chapel Baptist Church,2024-09,0.0,-10148.0,-1.0
Browns Chapel Baptist Church,2024-10,0.0,0.0,0.0
Browns Chapel Baptist Church,2024-11,0.0,0.0,0.0
Browns Chapel Baptist Church,2024-12,0.0,0.0,0.0
Browns Chapel Baptist Church,2025-01,0.0,0.0,0.0
Browns Chapel Baptist Church,2025-02,0.0,0.0,0.0
Browns Chapel Baptist Church,2025-03,0.0,0.0,0.0
Browns Chapel Baptist Church,2025-04,0.0,0.0,0.0
Browns Chapel Baptist Church,2025-05,0.0,0.0,0.0
Browns Chapel Baptist Church,2025-06,0.0,0.0,0.0
Churches Homes Foundation,2022-07,435.0,0.0,
Churches Homes Foundation,2022-08,313.0,-122.0,-0.28045977011494255
Churches Homes Foundation,2022-09,305.0,-8.0,-0.025559105431309903
Churches Homes Foundation,2022-10,373.0,68.0,0.22295081967213115
Churches Homes Foundation,2022-11,388.0,15.0,0.040214477211796246
Churches Homes Foundation,2022-12,286.0,-102.0,-0.26288659793814434
Churches Homes Foundation,2023-01,212.0,-74.0,-0.25874125874125875
Churches Homes Foundation,2023-02,290.0,78.0,0.36792452830188677
Churches Homes Foundation,2023-03,267.0,-23.0,-0.07931034482758621
Churches Homes Foundation,2023-04,473.0,206.0,0.7715355805243446
Churches Homes Foundation,2023-05,311.0,-162.0,-0.34249471458773784
Churches Homes Foundation,2023-06,331.0,20.0,0.06430868167202572
Churches Homes Foundation,2023-07,342.0,11.0,0.03323262839879154
Churches Homes Foundation,2023-08,664.0,322.0,0.9415204678362573
Churches Homes Foundation,2023-09,586.0,-78.0,-0.11746987951807229
Churches Homes Foundation,2023-10,528.0,-58.0,-0.09897610921501707
Churches Homes Foundation,2023-11,645.0,117.0,0.2215909090909091
Churches Homes Foundation,2023-12,209.0,-436.0,-0.6759689922480621
Churches Homes Foundation,2024-01,157.0,-52.0,-0.24880382775119617
Churches Homes Foundation,2024-02,0.0,-157.0,-1.0
Churches Homes Foundation,2024-03,0.0,0.0,0.0
Churches Homes Foundation,2024-04,0.0,0.0,0.0
Churches Homes Foundation,2024-05,0.0,0.0,0.0
Churches Homes Foundation,2024-06,0.0,0.0,0.0
Churches Homes Foundation,2024-07,0.0,0.0,0.0
Churches Homes Foundation,2024-08,0.0,0.0,0.0
Churches Homes Foundation,2024-09,0.0,0.0,0.0
Churches Homes Foundation,2024-10,0.0,0.0,0.0
Churches Homes Foundation,2024-11,0.0,0.0,0.0
Churches Homes Foundation,2024-12,0.0,0.0,0.0
Churches Homes Foundation,2025-01,0.0,0.0,0.0
Churches Homes Foundation,2025-02,0.0,0.0,0.0
Churches Homes Foundation,2025-03,0.0,0.0,0.0
Churches Homes Foundation,2025-04,0.0,0.0,0.0
Churches Homes Foundation,2025-05,0.0,0.0,0.0
Churches Homes Foundation,2025-06,0.0,0.0,0.0
Extra Special People (ESP),2022-07,0.0,0.0,
Extra Special People (ESP),2022-08,0.0,0.0,0.0
Extra Special People (ESP),2022-09,0.0,0.0,0.0
Extra Special People (ESP),2022-10,76.0,76.0,inf
Extra Special People (ESP),2022-11,69.0,-7.0,-0.09210526315789473
Extra Special People (ESP),2022-12,0.0,-69.0,-1.0
Extra Special People (ESP),2023-01,21.0,21.0,inf
Extra Special People (ESP),2023-02,0.0,-21.0,-1.0
Extra Special People (ESP),2023-03,0.0,0.0,0.0
Extra Special People (ESP),2023-04,37.0,37.0,inf
Extra Special People (ESP),2023-05,0.0,-37.0,-1.0
Extra Special People (ESP),2023-06,0.0,0.0,0.0
Extra Special People (ESP),2023-07,0.0,0.0,0.0
Extra Special People (ESP),2023-08,0.0,0.0,0.0
Extra Special People (ESP),2023-09,0.0,0.0,0.0
Extra Special People (ESP),2023-10,0.0,0.0,0.0
Extra Special People (ESP),2023-11,0.0,0.0,0.0
Extra Special People (ESP),2023-12,0.0,0.0,0.0
Extra Special People (ESP),2024-01,0.0,0.0,0.0
Extra Special People (ESP),2024-02,0.0,0.0,0.0
Extra Special People (ESP),2024-03,0.0,0.0,0.0
Extra Special People (ESP),2024-04,0.0,0.0,0.0
Extra Special People (ESP),2024-05,0.0,0.0,0.0
Extra Special People (ESP),2024-06,0.0,0.0,0.0
