Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Burt's United Methodist Church,1809.0,1077.0,2000.0,969.0,1576.0,768.0,2111.0,889.0,1634.0,1482.0,1381.0,746.0,1065.0,2312.0,2952.0,448.0,1341.0,2419.0,2046.0,202.0,2578.0,2581.0,2218.0,221.18,2973.45,1345.0,2932.0,2623.0,2657.0,3387.0,2316.0,4613.0,3203.0,3712.0,3159.0,5491.44,-732.0,923.0,-1031.0,607.0,-808.0,1343.0,-1222.0,745.0,-152.0,-101.0,-635.0,319.0,1247.0,640.0,-2504.0,893.0,1078.0,-373.0,-1844.0,2376.0,3.0,-363.0,-1996.82,2752.27,-1628.4499999999998,1587.0,-309.0,34.0,730.0,-1071.0,2297.0,-1410.0,509.0,-553.0,2332.4399999999996
Community Christmas of Oglethorpe County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7926.0,10257.0,9224.0,6765.0,9543.0,11814.0,11708.0,0.0,6725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7926.0,2331.0,-1033.0,-2459.0,2778.0,2271.0,-106.0,-11708.0,6725.0,-6725.0
Crawford Pentecostal Church,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0,2561.0,0.0,0.0,0.0,0.0,0.0,2785.0,0.0,1129.0,0.0,0.0,0.0,2019.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892.0,-892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794.0,1767.0,-2561.0,0.0,0.0,0.0,0.0,2785.0,-2785.0,1129.0,-1129.0,0.0,0.0,2019.8
Food 2 Kids Oglethorpe County,0.0,1350.0,892.0,4329.0,3608.0,4570.0,923.0,3692.0,3692.0,5538.0,2769.0,4340.0,0.0,0.0,5633.0,0.0,8180.0,10581.0,0.0,0.0,5203.0,8480.0,194.0,0.0,3692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,-458.0,3437.0,-721.0,962.0,-3647.0,2769.0,0.0,1846.0,-2769.0,1571.0,-4340.0,0.0,5633.0,-5633.0,8180.0,2401.0,-10581.0,0.0,5203.0,3277.0,-8286.0,-194.0,3692.0,-3692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Bank of NEGA Oglethorpe Community Partner,0.0,10517.0,0.0,0.0,0.0,0.0,0.0,0.0,10264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10517.0,-10517.0,0.0,0.0,0.0,0.0,0.0,10264.0,-10264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lexington Baptist Church,13566.0,12230.0,13863.0,15097.0,14102.0,10723.0,14603.0,12204.0,12999.0,10288.0,15155.0,14821.0,17137.0,13369.0,14872.0,11382.0,13047.0,14456.0,15833.0,13656.0,14460.0,14087.0,14984.0,13134.18,18506.0,13113.0,12598.0,12195.0,11731.0,11977.0,12434.0,13469.0,15074.0,11753.0,12489.0,13423.0,-1336.0,1633.0,1234.0,-995.0,-3379.0,3880.0,-2399.0,795.0,-2711.0,4867.0,-334.0,2316.0,-3768.0,1503.0,-3490.0,1665.0,1409.0,1377.0,-2177.0,804.0,-373.0,897.0,-1849.8199999999997,5371.82,-5393.0,-515.0,-403.0,-464.0,246.0,457.0,1035.0,1605.0,-3321.0,736.0,934.0
Oconee Baptist Church ,1592.0,784.0,4341.0,3139.0,2655.0,2370.0,2177.0,3317.0,4593.0,2254.0,2293.0,2274.0,3001.0,1429.0,1734.0,3131.0,3559.0,2591.0,2214.0,4594.0,5526.0,7172.0,867.0,3761.0,2730.0,5100.0,3512.0,4826.0,11043.0,6065.0,4473.0,8701.0,17668.0,19184.0,10568.0,9031.4,-808.0,3557.0,-1202.0,-484.0,-285.0,-193.0,1140.0,1276.0,-2339.0,39.0,-19.0,727.0,-1572.0,305.0,1397.0,428.0,-968.0,-377.0,2380.0,932.0,1646.0,-6305.0,2894.0,-1031.0,2370.0,-1588.0,1314.0,6217.0,-4978.0,-1592.0,4228.0,8967.0,1516.0,-8616.0,-1536.6000000000004
Oglethorpe County Senior Center,1994.0,2305.0,0.0,420.0,0.0,0.0,1965.0,548.0,0.0,192.0,0.0,653.0,324.0,0.0,375.0,6846.0,356.0,632.0,3304.0,76.0,1440.0,809.0,4221.0,980.0,947.18,809.0,716.0,604.0,752.0,735.0,1115.0,9399.0,3196.0,779.0,1730.0,1622.0,311.0,-2305.0,420.0,-420.0,0.0,1965.0,-1417.0,-548.0,192.0,-192.0,653.0,-329.0,-324.0,375.0,6471.0,-6490.0,276.0,2672.0,-3228.0,1364.0,-631.0,3412.0,-3241.0,-32.82000000000005,-138.17999999999995,-93.0,-112.0,148.0,-17.0,380.0,8284.0,-6203.0,-2417.0,951.0,-108.0
Oglethorpe Fellowship Church,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,359.0,474.0,0.0,0.0,307.0,685.0,679.0,1465.0,609.0,985.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,-182.0,115.0,-474.0,0.0,307.0,378.0,-6.0,786.0,-856.0,376.0
Oglethorpe School Food Pantry,0.0,2573.0,4971.0,736.0,3693.0,1811.0,2389.0,3046.0,920.0,2078.0,1845.0,3664.0,0.0,1428.0,1088.0,3776.0,0.0,0.0,0.0,0.0,0.0,0.0,6957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2573.0,2398.0,-4235.0,2957.0,-1882.0,578.0,657.0,-2126.0,1158.0,-233.0,1819.0,-3664.0,1428.0,-340.0,2688.0,-3776.0,0.0,0.0,0.0,0.0,0.0,6957.0,-6957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
