Agency,Time,dist_volume,delta,pct_change
Burt's United Methodist Church,2022-07,1809.0,0.0,
Burt's United Methodist Church,2022-08,1077.0,-732.0,-0.4046434494195688
Burt's United Methodist Church,2022-09,2000.0,923.0,0.8570102135561746
Burt's United Methodist Church,2022-10,969.0,-1031.0,-0.5155
Burt's United Methodist Church,2022-11,1576.0,607.0,0.6264189886480909
Burt's United Methodist Church,2022-12,768.0,-808.0,-0.5126903553299492
Burt's United Methodist Church,2023-01,2111.0,1343.0,1.7486979166666667
Burt's United Methodist Church,2023-02,889.0,-1222.0,-0.5788725722406443
Burt's United Methodist Church,2023-03,1634.0,745.0,0.8380202474690663
Burt's United Methodist Church,2023-04,1482.0,-152.0,-0.09302325581395349
Burt's United Methodist Church,2023-05,1381.0,-101.0,-0.06815114709851552
Burt's United Methodist Church,2023-06,746.0,-635.0,-0.45981173062997827
Burt's United Methodist Church,2023-07,1065.0,319.0,0.42761394101876676
Burt's United Methodist Church,2023-08,2312.0,1247.0,1.1708920187793428
Burt's United Methodist Church,2023-09,2952.0,640.0,0.2768166089965398
Burt's United Methodist Church,2023-10,448.0,-2504.0,-0.8482384823848238
Burt's United Methodist Church,2023-11,1341.0,893.0,1.9933035714285714
Burt's United Methodist Church,2023-12,2419.0,1078.0,0.8038777032065623
Burt's United Methodist Church,2024-01,2046.0,-373.0,-0.1541959487391484
Burt's United Methodist Church,2024-02,202.0,-1844.0,-0.9012707722385142
Burt's United Methodist Church,2024-03,2578.0,2376.0,11.762376237623762
Burt's United Methodist Church,2024-04,2581.0,3.0,0.0011636927851047323
Burt's United Methodist Church,2024-05,2218.0,-363.0,-0.14064316156528478
Burt's United Methodist Church,2024-06,221.18,-1996.82,-0.9002795311091073
Burt's United Methodist Church,2024-07,2973.45,2752.27,12.443575368478163
Burt's United Methodist Church,2024-08,1345.0,-1628.4499999999998,-0.5476634885402478
Burt's United Methodist Church,2024-09,2932.0,1587.0,1.1799256505576208
Burt's United Methodist Church,2024-10,2623.0,-309.0,-0.10538881309686221
Burt's United Methodist Church,2024-11,2657.0,34.0,0.012962256957682043
Burt's United Methodist Church,2024-12,3387.0,730.0,0.2747459540835529
Burt's United Methodist Church,2025-01,2316.0,-1071.0,-0.31620903454384414
Burt's United Methodist Church,2025-02,4613.0,2297.0,0.9917962003454232
Burt's United Methodist Church,2025-03,3203.0,-1410.0,-0.3056579232603512
Burt's United Methodist Church,2025-04,3712.0,509.0,0.15891351857633468
Burt's United Methodist Church,2025-05,3159.0,-553.0,-0.1489762931034483
Burt's United Methodist Church,2025-06,5491.44,2332.4399999999996,0.7383475783475782
Community Christmas of Oglethorpe County,2022-07,0.0,0.0,
Community Christmas of Oglethorpe County,2022-08,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2022-09,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2022-10,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2022-11,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2022-12,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2023-01,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2023-02,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2023-03,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2023-04,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2023-05,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2023-06,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2023-07,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2023-08,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2023-09,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2023-10,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2023-11,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2023-12,0.0,0.0,0.0
Community Christmas of Oglethorpe County,2024-01,0.0,0.0,0.0
