Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Clayton First United Methodist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,-334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fight Abuse in the Home (FAITH),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,575.0,1821.0,1428.0,538.0,1840.0,1206.0,1105.0,1152.0,488.0,446.0,551.0,1822.0,3426.0,3630.0,2968.0,1809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,-73.0,0.0,0.0,0.0,114.0,-114.0,0.0,0.0,0.0,575.0,1246.0,-393.0,-890.0,1302.0,-634.0,-101.0,47.0,-664.0,-42.0,105.0,1271.0,1604.0,204.0,-662.0,-1159.0
Flat Creek Baptist Church,0.0,1271.0,0.0,786.0,233.0,0.0,0.0,1302.0,404.0,0.0,0.0,0.0,0.0,2215.0,0.0,629.0,0.0,25.0,956.0,0.0,0.0,0.0,0.0,1608.0,616.0,128.0,637.0,0.0,0.0,297.0,0.0,3022.0,0.0,1171.0,1261.0,459.0,1271.0,-1271.0,786.0,-553.0,-233.0,0.0,1302.0,-898.0,-404.0,0.0,0.0,0.0,2215.0,-2215.0,629.0,-629.0,25.0,931.0,-956.0,0.0,0.0,0.0,1608.0,-992.0,-488.0,509.0,-637.0,0.0,297.0,-297.0,3022.0,-3022.0,1171.0,90.0,-802.0
Food 2 Kids Rabun County,0.0,3000.0,21.0,630.0,1170.0,1424.0,839.0,1020.0,1014.0,1522.0,760.0,1015.0,0.0,443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,-2979.0,609.0,540.0,254.0,-585.0,181.0,-6.0,508.0,-762.0,255.0,-1015.0,443.0,-443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Bank of Northeast Georgia Rabun,44722.0,25663.0,28154.0,8567.0,15655.0,6328.0,134394.0,5548.0,12918.0,22261.0,6653.0,16526.0,16023.0,24311.0,35234.0,11204.0,21384.0,14489.0,17267.0,18909.0,25949.0,19152.0,43669.0,21542.0,34629.0,16438.0,3528.0,15181.0,5059.0,42523.0,7408.0,18260.0,13623.0,2804.0,17410.0,8905.0,-19059.0,2491.0,-19587.0,7088.0,-9327.0,128066.0,-128846.0,7370.0,9343.0,-15608.0,9873.0,-503.0,8288.0,10923.0,-24030.0,10180.0,-6895.0,2778.0,1642.0,7040.0,-6797.0,24517.0,-22127.0,13087.0,-18191.0,-12910.0,11653.0,-10122.0,37464.0,-35115.0,10852.0,-4637.0,-10819.0,14606.0,-8505.0
Freedom Ministries Lighthouse,2072.0,1601.0,494.0,791.0,769.0,795.0,1232.0,1791.0,824.0,604.0,1548.0,904.0,1435.0,2067.0,833.0,1006.0,373.0,1717.0,1371.0,1094.0,1063.0,2010.0,1978.0,2100.0,2087.0,483.0,2334.0,2047.0,2007.0,2113.0,1493.0,2050.0,2261.0,2111.0,1511.0,2532.0,-471.0,-1107.0,297.0,-22.0,26.0,437.0,559.0,-967.0,-220.0,944.0,-644.0,531.0,632.0,-1234.0,173.0,-633.0,1344.0,-346.0,-277.0,-31.0,947.0,-32.0,122.0,-13.0,-1604.0,1851.0,-287.0,-40.0,106.0,-620.0,557.0,211.0,-150.0,-600.0,1021.0
Mountain Grove Baptist Church,1595.0,928.0,671.0,379.0,662.0,579.0,1263.0,931.0,906.0,645.0,598.0,232.0,242.0,506.0,658.0,761.0,649.0,512.0,503.0,436.0,397.0,1230.0,461.0,435.0,527.0,648.0,438.0,442.0,822.0,463.0,497.0,617.0,678.0,444.0,690.0,502.0,-667.0,-257.0,-292.0,283.0,-83.0,684.0,-332.0,-25.0,-261.0,-47.0,-366.0,10.0,264.0,152.0,103.0,-112.0,-137.0,-9.0,-67.0,-39.0,833.0,-769.0,-26.0,92.0,121.0,-210.0,4.0,380.0,-359.0,34.0,120.0,61.0,-234.0,246.0,-188.0
Persimmon Baptist Church,536.0,865.0,696.0,669.0,264.0,350.0,393.0,381.0,450.0,208.0,517.0,412.0,513.0,323.0,229.0,913.0,422.0,232.0,398.0,429.0,609.0,672.0,307.0,0.0,214.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,-169.0,-27.0,-405.0,86.0,43.0,-12.0,69.0,-242.0,309.0,-105.0,101.0,-190.0,-94.0,684.0,-491.0,-190.0,166.0,31.0,180.0,63.0,-365.0,-307.0,214.0,334.0,-548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Place of Hope NGA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,107.0,66.0,90.0,106.0,73.0,243.0,0.0,83.0,0.0,0.0,0.0,157.0,0.0,134.0,0.0,0.0,129.0,101.0,0.0,225.0,0.0,196.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0,-86.0,-41.0,24.0,16.0,-33.0,170.0,-243.0,83.0,-83.0,0.0,0.0,157.0,-157.0,134.0,-134.0,0.0,129.0,-28.0,-101.0,225.0,-225.0,196.0,-196.0,0.0,0.0,0.0,86.0,-86.0
Rabun Christian Food Ministry,1394.0,2815.0,2871.0,3310.0,2634.0,3571.0,3596.0,3366.0,3048.0,2345.0,3998.0,2993.0,3336.0,2858.0,3546.0,2552.0,2271.0,2984.0,2009.0,2628.0,2343.0,2565.0,2063.0,2756.0,1997.0,3028.0,3309.0,2667.0,3131.0,2869.0,2884.0,2980.0,2370.0,3164.0,2285.0,2965.0,1421.0,56.0,439.0,-676.0,937.0,25.0,-230.0,-318.0,-703.0,1653.0,-1005.0,343.0,-478.0,688.0,-994.0,-281.0,713.0,-975.0,619.0,-285.0,222.0,-502.0,693.0,-759.0,1031.0,281.0,-642.0,464.0,-262.0,15.0,96.0,-610.0,794.0,-879.0,680.0
Rabun County Family Connection,319.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,83.0,0.0,0.0,566.0,416.0,0.0,0.0,0.0,344.0,0.0,0.0,0.0,324.0,0.0,3770.0,582.0,0.0,0.0,0.0,470.0,0.0,45.0,20.0,30.0,1334.0,78.0,256.0,462.0,-319.0,0.0,0.0,0.0,34.0,-34.0,0.0,83.0,-83.0,0.0,566.0,-150.0,-416.0,0.0,0.0,344.0,-344.0,0.0,0.0,324.0,-324.0,3770.0,-3188.0,-582.0,0.0,0.0,470.0,-470.0,45.0,-25.0,10.0,1304.0,-1256.0,178.0,206.0
Rabun County Family Connection F2K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,752.0,0.0,533.0,1455.0,0.0,792.0,1186.0,357.0,559.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,-273.0,-752.0,533.0,922.0,-1455.0,792.0,394.0,-829.0,202.0,-559.0
Rabun County MedLink Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5222.0,-5222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rabun Gap Presbyterian Church,53866.0,42611.0,50664.0,66469.0,39523.0,49199.0,42032.0,48251.0,43401.0,57694.0,46686.0,50850.0,67389.0,50570.0,61566.0,58088.0,54276.0,44578.0,47772.0,57028.0,79893.0,46694.0,54660.0,51167.0,48239.0,57133.0,37529.0,82319.0,47514.0,39675.0,50075.0,40311.0,48248.0,42800.0,45603.0,35030.4,-11255.0,8053.0,15805.0,-26946.0,9676.0,-7167.0,6219.0,-4850.0,14293.0,-11008.0,4164.0,16539.0,-16819.0,10996.0,-3478.0,-3812.0,-9698.0,3194.0,9256.0,22865.0,-33199.0,7966.0,-3493.0,-2928.0,8894.0,-19604.0,44790.0,-34805.0,-7839.0,10400.0,-9764.0,7937.0,-5448.0,2803.0,-10572.599999999999
SKYE BURGERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOS Ministry of NE GA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,784.0,450.0,0.0,725.0,95.0,571.0,1374.0,1377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.0,35.0,-334.0,-450.0,725.0,-630.0,476.0,803.0,3.0
