Agency,Time,dist_volume,delta,pct_change
Clayton First United Methodist,2022-07 to 2023-07,0.0,0.0,0.0
Clayton First United Methodist,2023-08,334.0,334.0,inf
Clayton First United Methodist,2023-09,0.0,-334.0,-1.0
Clayton First United Methodist,2023-10 to 2025-06,0.0,0.0,0.0
Fight Abuse in the Home (FAITH),2022-07 to 2023-04,0.0,0.0,0.0
Fight Abuse in the Home (FAITH),2023-05,73.0,73.0,inf
Fight Abuse in the Home (FAITH),2023-06,0.0,-73.0,-1.0
Fight Abuse in the Home (FAITH),2023-07 to 2023-09,0.0,0.0,0.0
Fight Abuse in the Home (FAITH),2023-10,114.0,114.0,inf
Fight Abuse in the Home (FAITH),2023-11,0.0,-114.0,-1.0
Fight Abuse in the Home (FAITH),2023-12 to 2024-02,0.0,0.0,0.0
Fight Abuse in the Home (FAITH),2024-03,575.0,575.0,inf
Fight Abuse in the Home (FAITH),2024-04,1821.0,1246.0,2.167
Fight Abuse in the Home (FAITH),2024-05,1428.0,-393.0,-0.216
Fight Abuse in the Home (FAITH),2024-06,538.0,-890.0,-0.623
Fight Abuse in the Home (FAITH),2024-07,1840.0,1302.0,2.42
Fight Abuse in the Home (FAITH),2024-08,1206.0,-634.0,-0.345
Fight Abuse in the Home (FAITH),2024-09,1105.0,-101.0,-0.084
Fight Abuse in the Home (FAITH),2024-10,1152.0,47.0,0.043
Fight Abuse in the Home (FAITH),2024-11,488.0,-664.0,-0.576
Fight Abuse in the Home (FAITH),2024-12,446.0,-42.0,-0.086
Fight Abuse in the Home (FAITH),2025-01,551.0,105.0,0.235
Fight Abuse in the Home (FAITH),2025-02,1822.0,1271.0,2.307
Fight Abuse in the Home (FAITH),2025-03,3426.0,1604.0,0.88
Fight Abuse in the Home (FAITH),2025-04,3630.0,204.0,0.06
Fight Abuse in the Home (FAITH),2025-05,2968.0,-662.0,-0.182
Fight Abuse in the Home (FAITH),2025-06,1809.0,-1159.0,-0.39
Flat Creek Baptist Church,2022-07,0.0,0.0,0.0
Flat Creek Baptist Church,2022-08,1271.0,1271.0,inf
Flat Creek Baptist Church,2022-09,0.0,-1271.0,-1.0
Flat Creek Baptist Church,2022-10,786.0,786.0,inf
Flat Creek Baptist Church,2022-11,233.0,-553.0,-0.704
Flat Creek Baptist Church,2022-12,0.0,-233.0,-1.0
Flat Creek Baptist Church,2023-01,0.0,0.0,0.0
Flat Creek Baptist Church,2023-02,1302.0,1302.0,inf
Flat Creek Baptist Church,2023-03,404.0,-898.0,-0.69
Flat Creek Baptist Church,2023-04,0.0,-404.0,-1.0
