Agency,Time,dist_volume,delta,pct_change
Clayton First United Methodist,2022-07,0.0,0.0,
Clayton First United Methodist,2022-08,0.0,0.0,0.0
Clayton First United Methodist,2022-09,0.0,0.0,0.0
Clayton First United Methodist,2022-10,0.0,0.0,0.0
Clayton First United Methodist,2022-11,0.0,0.0,0.0
Clayton First United Methodist,2022-12,0.0,0.0,0.0
Clayton First United Methodist,2023-01,0.0,0.0,0.0
Clayton First United Methodist,2023-02,0.0,0.0,0.0
Clayton First United Methodist,2023-03,0.0,0.0,0.0
Clayton First United Methodist,2023-04,0.0,0.0,0.0
Clayton First United Methodist,2023-05,0.0,0.0,0.0
Clayton First United Methodist,2023-06,0.0,0.0,0.0
Clayton First United Methodist,2023-07,0.0,0.0,0.0
Clayton First United Methodist,2023-08,334.0,334.0,inf
Clayton First United Methodist,2023-09,0.0,-334.0,-1.0
Clayton First United Methodist,2023-10,0.0,0.0,0.0
Clayton First United Methodist,2023-11,0.0,0.0,0.0
Clayton First United Methodist,2023-12,0.0,0.0,0.0
Clayton First United Methodist,2024-01,0.0,0.0,0.0
Clayton First United Methodist,2024-02,0.0,0.0,0.0
Clayton First United Methodist,2024-03,0.0,0.0,0.0
Clayton First United Methodist,2024-04,0.0,0.0,0.0
Clayton First United Methodist,2024-05,0.0,0.0,0.0
Clayton First United Methodist,2024-06,0.0,0.0,0.0
Clayton First United Methodist,2024-07,0.0,0.0,0.0
Clayton First United Methodist,2024-08,0.0,0.0,0.0
Clayton First United Methodist,2024-09,0.0,0.0,0.0
Clayton First United Methodist,2024-10,0.0,0.0,0.0
Clayton First United Methodist,2024-11,0.0,0.0,0.0
Clayton First United Methodist,2024-12,0.0,0.0,0.0
Clayton First United Methodist,2025-01,0.0,0.0,0.0
Clayton First United Methodist,2025-02,0.0,0.0,0.0
Clayton First United Methodist,2025-03,0.0,0.0,0.0
Clayton First United Methodist,2025-04,0.0,0.0,0.0
Clayton First United Methodist,2025-05,0.0,0.0,0.0
Clayton First United Methodist,2025-06,0.0,0.0,0.0
Fight Abuse in the Home (FAITH),2022-07,0.0,0.0,
Fight Abuse in the Home (FAITH),2022-08,0.0,0.0,0.0
Fight Abuse in the Home (FAITH),2022-09,0.0,0.0,0.0
Fight Abuse in the Home (FAITH),2022-10,0.0,0.0,0.0
Fight Abuse in the Home (FAITH),2022-11,0.0,0.0,0.0
Fight Abuse in the Home (FAITH),2022-12,0.0,0.0,0.0
