Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Boys and Girls Club Toccoa,197.0,63.0,0.0,334.0,0.0,0.0,0.0,129.0,0.0,286.0,205.0,0.0,0.0,100.0,0.0,126.0,137.0,0.0,407.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-134.0,-63.0,334.0,-334.0,0.0,0.0,129.0,-129.0,286.0,-81.0,-205.0,0.0,100.0,-100.0,126.0,11.0,-137.0,407.0,-407.0,117.0,-117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camp Toccoa (Camp Fire GA),520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,204.0,38.0,0.0,0.0,0.0,116.0,244.0,367.0,158.0,142.0,393.0,102.0,309.0,58.0,0.0,131.0,0.0,208.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-520.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,-7.0,-166.0,-38.0,0.0,0.0,116.0,128.0,123.0,-209.0,-16.0,251.0,-291.0,207.0,-251.0,-58.0,131.0,-131.0,208.0,-163.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Circle of Hope Transitional Housing,0.0,0.0,0.0,89.0,79.0,185.0,287.0,263.0,193.0,338.0,97.0,128.0,72.0,89.0,139.0,116.0,329.0,265.0,28.0,254.0,936.0,861.0,52.0,0.0,96.0,0.0,0.0,0.0,706.0,124.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,89.0,-10.0,106.0,102.0,-24.0,-70.0,145.0,-241.0,31.0,-56.0,17.0,50.0,-23.0,213.0,-64.0,-237.0,226.0,682.0,-75.0,-809.0,-52.0,96.0,-96.0,0.0,0.0,706.0,-582.0,-124.0,0.0,0.0,52.0,-52.0,0.0
Faith Restoration Ministries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416.0,3461.0,1427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416.0,2045.0,-2034.0
First Baptist Church Toccoa,0.0,0.0,0.0,0.0,0.0,11475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12410.0,0.0,0.0,0.0,0.0,11375.0,0.0,0.0,0.0,0.0,0.0,0.0,11475.0,-11475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12410.0,-12410.0,0.0,0.0,0.0,11375.0,-11375.0,0.0
Food 2 Kids Stephens County,0.0,0.0,853.0,5220.0,4628.0,5785.0,2795.0,4654.0,4719.0,6975.0,3463.0,5238.0,0.0,3471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.0,4367.0,-592.0,1157.0,-2990.0,1859.0,65.0,2256.0,-3512.0,1775.0,-5238.0,3471.0,-3471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7040.0,-7040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food 2 Tots-Stephens County,0.0,0.0,0.0,1092.0,1092.0,910.0,546.0,910.0,728.0,729.0,546.0,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092.0,0.0,-182.0,-364.0,364.0,-182.0,1.0,-183.0,1.0,-547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food Bank NEGA Stephens County MP,0.0,0.0,0.0,0.0,7752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7752.0,-7752.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Full Gospel Baptist Church,2333.0,502.0,1473.0,1219.0,1243.0,1088.0,1069.0,612.0,520.0,0.0,625.0,688.0,761.0,297.0,602.0,9182.0,436.0,468.0,532.0,486.0,709.0,549.0,1023.0,1157.0,0.0,853.0,385.0,1054.0,1242.0,264.0,355.0,848.0,1403.0,1360.0,1399.0,1140.0,-1831.0,971.0,-254.0,24.0,-155.0,-19.0,-457.0,-92.0,-520.0,625.0,63.0,73.0,-464.0,305.0,8580.0,-8746.0,32.0,64.0,-46.0,223.0,-160.0,474.0,134.0,-1157.0,853.0,-468.0,669.0,188.0,-978.0,91.0,493.0,555.0,-43.0,39.0,-259.0
"Greater Hearts Outreach Ministries, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13950.0,5765.0,2113.0,41059.0,3270.0,10761.0,11193.0,12098.0,7819.0,10485.0,9953.0,13428.0,11132.0,20916.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13950.0,-8185.0,-3652.0,38946.0,-37789.0,7491.0,432.0,905.0,-4279.0,2666.0,-532.0,3475.0,-2296.0,9784.580000000002
