Agency,Time,dist_volume,delta,pct_change
Boys and Girls Club Toccoa,2022-07,197.0,0.0,0.0
Boys and Girls Club Toccoa,2022-08,63.0,-134.0,-0.68
Boys and Girls Club Toccoa,2022-09,0.0,-63.0,-1.0
Boys and Girls Club Toccoa,2022-10,334.0,334.0,inf
Boys and Girls Club Toccoa,2022-11,0.0,-334.0,-1.0
Boys and Girls Club Toccoa,2022-12 to 2023-01,0.0,0.0,0.0
Boys and Girls Club Toccoa,2023-02,129.0,129.0,inf
Boys and Girls Club Toccoa,2023-03,0.0,-129.0,-1.0
Boys and Girls Club Toccoa,2023-04,286.0,286.0,inf
Boys and Girls Club Toccoa,2023-05,205.0,-81.0,-0.283
Boys and Girls Club Toccoa,2023-06,0.0,-205.0,-1.0
Boys and Girls Club Toccoa,2023-07,0.0,0.0,0.0
Boys and Girls Club Toccoa,2023-08,100.0,100.0,inf
Boys and Girls Club Toccoa,2023-09,0.0,-100.0,-1.0
Boys and Girls Club Toccoa,2023-10,126.0,126.0,inf
Boys and Girls Club Toccoa,2023-11,137.0,11.0,0.087
Boys and Girls Club Toccoa,2023-12,0.0,-137.0,-1.0
Boys and Girls Club Toccoa,2024-01,407.0,407.0,inf
Boys and Girls Club Toccoa,2024-02,0.0,-407.0,-1.0
Boys and Girls Club Toccoa,2024-03,117.0,117.0,inf
Boys and Girls Club Toccoa,2024-04,0.0,-117.0,-1.0
Boys and Girls Club Toccoa,2024-05 to 2025-06,0.0,0.0,0.0
Camp Toccoa (Camp Fire GA),2022-07,520.0,0.0,0.0
Camp Toccoa (Camp Fire GA),2022-08,0.0,-520.0,-1.0
Camp Toccoa (Camp Fire GA),2022-09 to 2023-02,0.0,0.0,0.0
Camp Toccoa (Camp Fire GA),2023-03,211.0,211.0,inf
Camp Toccoa (Camp Fire GA),2023-04,204.0,-7.0,-0.033
Camp Toccoa (Camp Fire GA),2023-05,38.0,-166.0,-0.814
Camp Toccoa (Camp Fire GA),2023-06,0.0,-38.0,-1.0
Camp Toccoa (Camp Fire GA),2023-07 to 2023-08,0.0,0.0,0.0
Camp Toccoa (Camp Fire GA),2023-09,116.0,116.0,inf
Camp Toccoa (Camp Fire GA),2023-10,244.0,128.0,1.103
Camp Toccoa (Camp Fire GA),2023-11,367.0,123.0,0.504
Camp Toccoa (Camp Fire GA),2023-12,158.0,-209.0,-0.569
Camp Toccoa (Camp Fire GA),2024-01,142.0,-16.0,-0.101
Camp Toccoa (Camp Fire GA),2024-02,393.0,251.0,1.768
Camp Toccoa (Camp Fire GA),2024-03,102.0,-291.0,-0.74
Camp Toccoa (Camp Fire GA),2024-04,309.0,207.0,2.029
