Agency,Time,dist_volume,delta,pct_change
Boys and Girls Club Toccoa,2022-07,197.0,0.0,
Boys and Girls Club Toccoa,2022-08,63.0,-134.0,-0.6802030456852792
Boys and Girls Club Toccoa,2022-09,0.0,-63.0,-1.0
Boys and Girls Club Toccoa,2022-10,334.0,334.0,inf
Boys and Girls Club Toccoa,2022-11,0.0,-334.0,-1.0
Boys and Girls Club Toccoa,2022-12,0.0,0.0,0.0
Boys and Girls Club Toccoa,2023-01,0.0,0.0,0.0
Boys and Girls Club Toccoa,2023-02,129.0,129.0,inf
Boys and Girls Club Toccoa,2023-03,0.0,-129.0,-1.0
Boys and Girls Club Toccoa,2023-04,286.0,286.0,inf
Boys and Girls Club Toccoa,2023-05,205.0,-81.0,-0.28321678321678323
Boys and Girls Club Toccoa,2023-06,0.0,-205.0,-1.0
Boys and Girls Club Toccoa,2023-07,0.0,0.0,0.0
Boys and Girls Club Toccoa,2023-08,100.0,100.0,inf
Boys and Girls Club Toccoa,2023-09,0.0,-100.0,-1.0
Boys and Girls Club Toccoa,2023-10,126.0,126.0,inf
Boys and Girls Club Toccoa,2023-11,137.0,11.0,0.0873015873015873
Boys and Girls Club Toccoa,2023-12,0.0,-137.0,-1.0
Boys and Girls Club Toccoa,2024-01,407.0,407.0,inf
Boys and Girls Club Toccoa,2024-02,0.0,-407.0,-1.0
Boys and Girls Club Toccoa,2024-03,117.0,117.0,inf
Boys and Girls Club Toccoa,2024-04,0.0,-117.0,-1.0
Boys and Girls Club Toccoa,2024-05,0.0,0.0,0.0
Boys and Girls Club Toccoa,2024-06,0.0,0.0,0.0
Boys and Girls Club Toccoa,2024-07,0.0,0.0,0.0
Boys and Girls Club Toccoa,2024-08,0.0,0.0,0.0
Boys and Girls Club Toccoa,2024-09,0.0,0.0,0.0
Boys and Girls Club Toccoa,2024-10,0.0,0.0,0.0
Boys and Girls Club Toccoa,2024-11,0.0,0.0,0.0
Boys and Girls Club Toccoa,2024-12,0.0,0.0,0.0
Boys and Girls Club Toccoa,2025-01,0.0,0.0,0.0
Boys and Girls Club Toccoa,2025-02,0.0,0.0,0.0
Boys and Girls Club Toccoa,2025-03,0.0,0.0,0.0
Boys and Girls Club Toccoa,2025-04,0.0,0.0,0.0
Boys and Girls Club Toccoa,2025-05,0.0,0.0,0.0
Boys and Girls Club Toccoa,2025-06,0.0,0.0,0.0
Camp Toccoa (Camp Fire GA),2022-07,520.0,0.0,
Camp Toccoa (Camp Fire GA),2022-08,0.0,-520.0,-1.0
Camp Toccoa (Camp Fire GA),2022-09,0.0,0.0,0.0
Camp Toccoa (Camp Fire GA),2022-10,0.0,0.0,0.0
Camp Toccoa (Camp Fire GA),2022-11,0.0,0.0,0.0
Camp Toccoa (Camp Fire GA),2022-12,0.0,0.0,0.0
Camp Toccoa (Camp Fire GA),2023-01,0.0,0.0,0.0
Camp Toccoa (Camp Fire GA),2023-02,0.0,0.0,0.0
Camp Toccoa (Camp Fire GA),2023-03,211.0,211.0,inf
Camp Toccoa (Camp Fire GA),2023-04,204.0,-7.0,-0.03317535545023697
Camp Toccoa (Camp Fire GA),2023-05,38.0,-166.0,-0.8137254901960784
Camp Toccoa (Camp Fire GA),2023-06,0.0,-38.0,-1.0
