Agency,Time,dist_volume,delta,pct_change
Allens United Methodist Church,2022-07 to 2023-09,0.0,0.0,0.0
Allens United Methodist Church,2023-10,11920.0,11920.0,inf
Allens United Methodist Church,2023-11,0.0,-11920.0,-1.0
Allens United Methodist Church,2023-12,0.0,0.0,0.0
Allens United Methodist Church,2024-01,3900.0,3900.0,inf
Allens United Methodist Church,2024-02,0.0,-3900.0,-1.0
Allens United Methodist Church,2024-03 to 2025-06,0.0,0.0,0.0
Christ for All People Ministries,2022-07 to 2024-11,0.0,0.0,0.0
Christ for All People Ministries,2024-12,684.0,684.0,inf
Christ for All People Ministries,2025-01,724.0,40.0,0.058
Christ for All People Ministries,2025-02,4494.0,3770.0,5.207
Christ for All People Ministries,2025-03,2166.0,-2328.0,-0.518
Christ for All People Ministries,2025-04,2541.0,375.0,0.173
Christ for All People Ministries,2025-05,5011.0,2470.0,0.972
Christ for All People Ministries,2025-06,1130.0,-3881.0,-0.774
Decal Grant Towns High School,2022-07 to 2024-10,0.0,0.0,0.0
Decal Grant Towns High School,2024-11,2354.0,2354.0,inf
Decal Grant Towns High School,2024-12,0.0,-2354.0,-1.0
Decal Grant Towns High School,2025-01 to 2025-06,0.0,0.0,0.0
Mt. Zion Ministries - The Refuge,2022-07,13696.0,0.0,0.0
Mt. Zion Ministries - The Refuge,2022-08,12011.0,-1685.0,-0.123
Mt. Zion Ministries - The Refuge,2022-09,10180.0,-1831.0,-0.152
Mt. Zion Ministries - The Refuge,2022-10,12098.0,1918.0,0.188
Mt. Zion Ministries - The Refuge,2022-11,10571.0,-1527.0,-0.126
Mt. Zion Ministries - The Refuge,2022-12,8483.0,-2088.0,-0.198
Mt. Zion Ministries - The Refuge,2023-01,12341.0,3858.0,0.455
Mt. Zion Ministries - The Refuge,2023-02,10088.0,-2253.0,-0.183
Mt. Zion Ministries - The Refuge,2023-03,9291.0,-797.0,-0.079
Mt. Zion Ministries - The Refuge,2023-04,11051.0,1760.0,0.189
Mt. Zion Ministries - The Refuge,2023-05,11761.0,710.0,0.064
Mt. Zion Ministries - The Refuge,2023-06,9645.0,-2116.0,-0.18
Mt. Zion Ministries - The Refuge,2023-07,12368.0,2723.0,0.282
Mt. Zion Ministries - The Refuge,2023-08,3388.0,-8980.0,-0.726
Mt. Zion Ministries - The Refuge,2023-09,8321.0,4933.0,1.456
Mt. Zion Ministries - The Refuge,2023-10,10431.0,2110.0,0.254
Mt. Zion Ministries - The Refuge,2023-11,9490.0,-941.0,-0.09
Mt. Zion Ministries - The Refuge,2023-12,8480.0,-1010.0,-0.106
Mt. Zion Ministries - The Refuge,2024-01,1376.0,-7104.0,-0.838
Mt. Zion Ministries - The Refuge,2024-02,1374.0,-2.0,-0.001
Mt. Zion Ministries - The Refuge,2024-03,1247.0,-127.0,-0.092
Mt. Zion Ministries - The Refuge,2024-04,10019.0,8772.0,7.034
Mt. Zion Ministries - The Refuge,2024-05,2024.0,-7995.0,-0.798
Mt. Zion Ministries - The Refuge,2024-06,1545.0,-479.0,-0.237
Mt. Zion Ministries - The Refuge,2024-07,8133.0,6588.0,4.264
Mt. Zion Ministries - The Refuge,2024-08,2449.0,-5684.0,-0.699
Mt. Zion Ministries - The Refuge,2024-09,605.0,-1844.0,-0.753
Mt. Zion Ministries - The Refuge,2024-10,3416.0,2811.0,4.646
Mt. Zion Ministries - The Refuge,2024-11,886.0,-2530.0,-0.741
