Agency,Time,dist_volume,delta,pct_change
Allens United Methodist Church,2022-07,0.0,0.0,
Allens United Methodist Church,2022-08,0.0,0.0,0.0
Allens United Methodist Church,2022-09,0.0,0.0,0.0
Allens United Methodist Church,2022-10,0.0,0.0,0.0
Allens United Methodist Church,2022-11,0.0,0.0,0.0
Allens United Methodist Church,2022-12,0.0,0.0,0.0
Allens United Methodist Church,2023-01,0.0,0.0,0.0
Allens United Methodist Church,2023-02,0.0,0.0,0.0
Allens United Methodist Church,2023-03,0.0,0.0,0.0
Allens United Methodist Church,2023-04,0.0,0.0,0.0
Allens United Methodist Church,2023-05,0.0,0.0,0.0
Allens United Methodist Church,2023-06,0.0,0.0,0.0
Allens United Methodist Church,2023-07,0.0,0.0,0.0
Allens United Methodist Church,2023-08,0.0,0.0,0.0
Allens United Methodist Church,2023-09,0.0,0.0,0.0
Allens United Methodist Church,2023-10,11920.0,11920.0,inf
Allens United Methodist Church,2023-11,0.0,-11920.0,-1.0
Allens United Methodist Church,2023-12,0.0,0.0,0.0
Allens United Methodist Church,2024-01,3900.0,3900.0,inf
Allens United Methodist Church,2024-02,0.0,-3900.0,-1.0
Allens United Methodist Church,2024-03,0.0,0.0,0.0
Allens United Methodist Church,2024-04,0.0,0.0,0.0
Allens United Methodist Church,2024-05,0.0,0.0,0.0
Allens United Methodist Church,2024-06,0.0,0.0,0.0
Allens United Methodist Church,2024-07,0.0,0.0,0.0
Allens United Methodist Church,2024-08,0.0,0.0,0.0
Allens United Methodist Church,2024-09,0.0,0.0,0.0
Allens United Methodist Church,2024-10,0.0,0.0,0.0
Allens United Methodist Church,2024-11,0.0,0.0,0.0
Allens United Methodist Church,2024-12,0.0,0.0,0.0
Allens United Methodist Church,2025-01,0.0,0.0,0.0
Allens United Methodist Church,2025-02,0.0,0.0,0.0
Allens United Methodist Church,2025-03,0.0,0.0,0.0
Allens United Methodist Church,2025-04,0.0,0.0,0.0
Allens United Methodist Church,2025-05,0.0,0.0,0.0
Allens United Methodist Church,2025-06,0.0,0.0,0.0
Christ for All People Ministries,2022-07,0.0,0.0,
Christ for All People Ministries,2022-08,0.0,0.0,0.0
Christ for All People Ministries,2022-09,0.0,0.0,0.0
Christ for All People Ministries,2022-10,0.0,0.0,0.0
Christ for All People Ministries,2022-11,0.0,0.0,0.0
Christ for All People Ministries,2022-12,0.0,0.0,0.0
Christ for All People Ministries,2023-01,0.0,0.0,0.0
Christ for All People Ministries,2023-02,0.0,0.0,0.0
Christ for All People Ministries,2023-03,0.0,0.0,0.0
Christ for All People Ministries,2023-04,0.0,0.0,0.0
Christ for All People Ministries,2023-05,0.0,0.0,0.0
Christ for All People Ministries,2023-06,0.0,0.0,0.0
Christ for All People Ministries,2023-07,0.0,0.0,0.0
Christ for All People Ministries,2023-08,0.0,0.0,0.0
Christ for All People Ministries,2023-09,0.0,0.0,0.0
Christ for All People Ministries,2023-10,0.0,0.0,0.0
Christ for All People Ministries,2023-11,0.0,0.0,0.0
Christ for All People Ministries,2023-12,0.0,0.0,0.0
Christ for All People Ministries,2024-01,0.0,0.0,0.0
Christ for All People Ministries,2024-02,0.0,0.0,0.0
Christ for All People Ministries,2024-03,0.0,0.0,0.0
Christ for All People Ministries,2024-04,0.0,0.0,0.0
Christ for All People Ministries,2024-05,0.0,0.0,0.0
Christ for All People Ministries,2024-06,0.0,0.0,0.0
Christ for All People Ministries,2024-07,0.0,0.0,0.0
Christ for All People Ministries,2024-08,0.0,0.0,0.0
Christ for All People Ministries,2024-09,0.0,0.0,0.0
Christ for All People Ministries,2024-10,0.0,0.0,0.0
Christ for All People Ministries,2024-11,0.0,0.0,0.0
Christ for All People Ministries,2024-12,684.0,684.0,inf
Christ for All People Ministries,2025-01,724.0,40.0,0.05847953216374269
Christ for All People Ministries,2025-02,4494.0,3770.0,5.207182320441989
Christ for All People Ministries,2025-03,2166.0,-2328.0,-0.5180240320427236
