Agency,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2022-08_delta,2022-09_delta,2022-10_delta,2022-11_delta,2022-12_delta,2023-01_delta,2023-02_delta,2023-03_delta,2023-04_delta,2023-05_delta,2023-06_delta,2023-07_delta,2023-08_delta,2023-09_delta,2023-10_delta,2023-11_delta,2023-12_delta,2024-01_delta,2024-02_delta,2024-03_delta,2024-04_delta,2024-05_delta,2024-06_delta,2024-07_delta,2024-08_delta,2024-09_delta,2024-10_delta,2024-11_delta,2024-12_delta,2025-01_delta,2025-02_delta,2025-03_delta,2025-04_delta,2025-05_delta,2025-06_delta
Chattahoochee Baptist Church,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9495.0,-9495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Food 2 Kids White County,0.0,0.0,1093.0,6976.0,7378.0,6831.0,5564.0,5382.0,5343.0,7930.0,3920.0,5265.0,0.0,4946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2426.0,0.0,3386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1093.0,5883.0,402.0,-547.0,-1267.0,-182.0,-39.0,2587.0,-4010.0,1345.0,-5265.0,4946.0,-4946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2426.0,-2426.0,3386.0,-3386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helen First Baptist Church,8732.0,9755.0,8556.0,8500.0,8120.0,7134.0,8958.0,7231.0,6551.0,10000.0,9131.0,7211.0,8981.0,7124.0,9372.0,9212.0,7579.0,7234.0,7568.0,8954.0,8853.0,8559.0,8555.0,6928.0,6332.0,6397.0,7328.0,7447.0,8074.0,5804.0,10117.0,9393.0,9633.0,8357.0,9274.0,9598.0,1023.0,-1199.0,-56.0,-380.0,-986.0,1824.0,-1727.0,-680.0,3449.0,-869.0,-1920.0,1770.0,-1857.0,2248.0,-160.0,-1633.0,-345.0,334.0,1386.0,-101.0,-294.0,-4.0,-1627.0,-596.0,65.0,931.0,119.0,627.0,-2270.0,4313.0,-724.0,240.0,-1276.0,917.0,324.0
His Hands and Feet Ministries,8515.0,9806.0,8769.0,9049.0,7660.0,7460.0,7779.5,5355.0,7402.0,6529.0,7696.0,7809.0,8481.0,7663.0,8163.0,8669.0,8522.0,7234.0,5152.0,7213.0,8829.0,8672.0,8243.0,8113.0,7550.0,7026.0,7531.0,6733.0,8074.0,8053.0,5941.0,9393.0,10633.0,8214.0,9624.0,8278.0,1291.0,-1037.0,280.0,-1389.0,-200.0,319.5,-2424.5,2047.0,-873.0,1167.0,113.0,672.0,-818.0,500.0,506.0,-147.0,-1288.0,-2082.0,2061.0,1616.0,-157.0,-429.0,-130.0,-563.0,-524.0,505.0,-798.0,1341.0,-21.0,-2112.0,3452.0,1240.0,-2419.0,1410.0,-1346.0
Mt. Yonah Baptist Church,1663.0,2814.0,1029.0,969.0,0.0,935.0,1484.0,1002.0,2323.0,0.0,0.0,260.0,0.0,1789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1151.0,-1785.0,-60.0,-969.0,935.0,549.0,-482.0,1321.0,-2323.0,0.0,260.0,-260.0,1789.0,-1789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revivalist International Ministries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1444.0,849.0,367.0,169.0,703.0,810.0,155.0,841.0,0.0,959.0,1101.0,567.0,504.0,251.0,554.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1444.0,-595.0,-482.0,-198.0,534.0,107.0,-655.0,686.0,-841.0,959.0,142.0,-534.0,-63.0,-253.0,303.0,-539.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shoal Creek Baptist Church,505.0,1823.0,775.0,2348.0,925.0,817.0,1438.0,1135.0,721.0,1541.0,661.0,310.0,1323.0,658.0,0.0,2135.0,713.0,1709.0,1935.0,2231.0,2172.0,1480.0,1204.0,1039.0,408.0,989.0,389.0,-83.0,806.0,577.0,748.0,1489.0,1833.0,1348.0,1247.0,2451.0,1318.0,-1048.0,1573.0,-1423.0,-108.0,621.0,-303.0,-414.0,820.0,-880.0,-351.0,1013.0,-665.0,-658.0,2135.0,-1422.0,996.0,226.0,296.0,-59.0,-692.0,-276.0,-165.0,-631.0,581.0,-600.0,-472.0,889.0,-229.0,171.0,741.0,344.0,-485.0,-101.0,1204.0
The Jericho House,2516.0,3124.0,887.0,79.0,1645.0,3221.0,1082.0,1391.0,1388.0,1682.0,2448.0,2430.0,960.0,317.0,779.0,786.0,794.0,845.0,2964.0,2273.0,2507.0,2709.0,599.0,784.0,222.0,0.0,0.0,0.0,0.0,1578.0,466.0,1669.0,0.0,436.0,0.0,1264.0,608.0,-2237.0,-808.0,1566.0,1576.0,-2139.0,309.0,-3.0,294.0,766.0,-18.0,-1470.0,-643.0,462.0,7.0,8.0,51.0,2119.0,-691.0,234.0,202.0,-2110.0,185.0,-562.0,-222.0,0.0,0.0,0.0,1578.0,-1112.0,1203.0,-1669.0,436.0,-436.0,1264.0
White County Backpack Buddies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,1357.0,829.0,961.0,1303.0,1381.0,1273.0,1046.0,2107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,1069.0,-528.0,132.0,342.0,78.0,-108.0,-227.0,1061.0,-2107.0,0.0
White County Family Connection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5138.0,4360.0,11529.0,8834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5138.0,-778.0,7169.0,-2695.0
White County Food Pantry,4818.0,9594.0,9665.0,5898.0,7616.0,5474.0,6508.0,5423.0,4182.0,4090.0,6289.0,4966.0,8421.0,6610.0,5622.0,13928.0,2760.0,7433.0,13182.0,8809.0,7453.0,10460.0,8464.0,9187.0,7672.0,7671.0,7827.0,12582.0,10401.0,7658.0,12186.0,12055.0,10749.0,11901.0,16882.0,11070.0,4776.0,71.0,-3767.0,1718.0,-2142.0,1034.0,-1085.0,-1241.0,-92.0,2199.0,-1323.0,3455.0,-1811.0,-988.0,8306.0,-11168.0,4673.0,5749.0,-4373.0,-1356.0,3007.0,-1996.0,723.0,-1515.0,-1.0,156.0,4755.0,-2181.0,-2743.0,4528.0,-131.0,-1306.0,1152.0,4981.0,-5812.0
White County Medlink Georgia,0.0,0.0,0.0,0.0,4060.0,0.0,0.0,0.0,0.0,6880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4060.0,-4060.0,0.0,0.0,0.0,6880.0,-6880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6088.0,-6088.0,0.0,0.0,0.0,0.0,0.0
