Agency,Time,dist_volume,delta,pct_change
Chattahoochee Baptist Church,2022-07 to 2024-06,0.0,0.0,0.0
Chattahoochee Baptist Church,2024-07,9495.0,9495.0,inf
Chattahoochee Baptist Church,2024-08,0.0,-9495.0,-1.0
Chattahoochee Baptist Church,2024-09 to 2025-06,0.0,0.0,0.0
Food 2 Kids White County,2022-07 to 2022-08,0.0,0.0,0.0
Food 2 Kids White County,2022-09,1093.0,1093.0,inf
Food 2 Kids White County,2022-10,6976.0,5883.0,5.382
Food 2 Kids White County,2022-11,7378.0,402.0,0.058
Food 2 Kids White County,2022-12,6831.0,-547.0,-0.074
Food 2 Kids White County,2023-01,5564.0,-1267.0,-0.185
Food 2 Kids White County,2023-02,5382.0,-182.0,-0.033
Food 2 Kids White County,2023-03,5343.0,-39.0,-0.007
Food 2 Kids White County,2023-04,7930.0,2587.0,0.484
Food 2 Kids White County,2023-05,3920.0,-4010.0,-0.506
Food 2 Kids White County,2023-06,5265.0,1345.0,0.343
Food 2 Kids White County,2023-07,0.0,-5265.0,-1.0
Food 2 Kids White County,2023-08,4946.0,4946.0,inf
Food 2 Kids White County,2023-09,0.0,-4946.0,-1.0
Food 2 Kids White County,2023-10 to 2024-05,0.0,0.0,0.0
Food 2 Kids White County,2024-06,2426.0,2426.0,inf
Food 2 Kids White County,2024-07,0.0,-2426.0,-1.0
Food 2 Kids White County,2024-08,3386.0,3386.0,inf
Food 2 Kids White County,2024-09,0.0,-3386.0,-1.0
Food 2 Kids White County,2024-10 to 2025-06,0.0,0.0,0.0
Helen First Baptist Church,2022-07,8732.0,0.0,0.0
Helen First Baptist Church,2022-08,9755.0,1023.0,0.117
Helen First Baptist Church,2022-09,8556.0,-1199.0,-0.123
Helen First Baptist Church,2022-10,8500.0,-56.0,-0.007
Helen First Baptist Church,2022-11,8120.0,-380.0,-0.045
Helen First Baptist Church,2022-12,7134.0,-986.0,-0.121
Helen First Baptist Church,2023-01,8958.0,1824.0,0.256
Helen First Baptist Church,2023-02,7231.0,-1727.0,-0.193
Helen First Baptist Church,2023-03,6551.0,-680.0,-0.094
Helen First Baptist Church,2023-04,10000.0,3449.0,0.526
Helen First Baptist Church,2023-05,9131.0,-869.0,-0.087
Helen First Baptist Church,2023-06,7211.0,-1920.0,-0.21
Helen First Baptist Church,2023-07,8981.0,1770.0,0.245
Helen First Baptist Church,2023-08,7124.0,-1857.0,-0.207
Helen First Baptist Church,2023-09,9372.0,2248.0,0.316
Helen First Baptist Church,2023-10,9212.0,-160.0,-0.017
Helen First Baptist Church,2023-11,7579.0,-1633.0,-0.177
Helen First Baptist Church,2023-12,7234.0,-345.0,-0.046
Helen First Baptist Church,2024-01,7568.0,334.0,0.046
Helen First Baptist Church,2024-02,8954.0,1386.0,0.183
Helen First Baptist Church,2024-03,8853.0,-101.0,-0.011
Helen First Baptist Church,2024-04,8559.0,-294.0,-0.033
Helen First Baptist Church,2024-05,8555.0,-4.0,-0.0
Helen First Baptist Church,2024-06,6928.0,-1627.0,-0.19
