Agency,Time,dist_volume,delta,pct_change
Chattahoochee Baptist Church,2022-07,0.0,0.0,
Chattahoochee Baptist Church,2022-08,0.0,0.0,0.0
Chattahoochee Baptist Church,2022-09,0.0,0.0,0.0
Chattahoochee Baptist Church,2022-10,0.0,0.0,0.0
Chattahoochee Baptist Church,2022-11,0.0,0.0,0.0
Chattahoochee Baptist Church,2022-12,0.0,0.0,0.0
Chattahoochee Baptist Church,2023-01,0.0,0.0,0.0
Chattahoochee Baptist Church,2023-02,0.0,0.0,0.0
Chattahoochee Baptist Church,2023-03,0.0,0.0,0.0
Chattahoochee Baptist Church,2023-04,0.0,0.0,0.0
Chattahoochee Baptist Church,2023-05,0.0,0.0,0.0
Chattahoochee Baptist Church,2023-06,0.0,0.0,0.0
Chattahoochee Baptist Church,2023-07,0.0,0.0,0.0
Chattahoochee Baptist Church,2023-08,0.0,0.0,0.0
Chattahoochee Baptist Church,2023-09,0.0,0.0,0.0
Chattahoochee Baptist Church,2023-10,0.0,0.0,0.0
Chattahoochee Baptist Church,2023-11,0.0,0.0,0.0
Chattahoochee Baptist Church,2023-12,0.0,0.0,0.0
Chattahoochee Baptist Church,2024-01,0.0,0.0,0.0
Chattahoochee Baptist Church,2024-02,0.0,0.0,0.0
Chattahoochee Baptist Church,2024-03,0.0,0.0,0.0
Chattahoochee Baptist Church,2024-04,0.0,0.0,0.0
Chattahoochee Baptist Church,2024-05,0.0,0.0,0.0
Chattahoochee Baptist Church,2024-06,0.0,0.0,0.0
Chattahoochee Baptist Church,2024-07,9495.0,9495.0,inf
Chattahoochee Baptist Church,2024-08,0.0,-9495.0,-1.0
Chattahoochee Baptist Church,2024-09,0.0,0.0,0.0
Chattahoochee Baptist Church,2024-10,0.0,0.0,0.0
Chattahoochee Baptist Church,2024-11,0.0,0.0,0.0
Chattahoochee Baptist Church,2024-12,0.0,0.0,0.0
Chattahoochee Baptist Church,2025-01,0.0,0.0,0.0
Chattahoochee Baptist Church,2025-02,0.0,0.0,0.0
Chattahoochee Baptist Church,2025-03,0.0,0.0,0.0
Chattahoochee Baptist Church,2025-04,0.0,0.0,0.0
Chattahoochee Baptist Church,2025-05,0.0,0.0,0.0
Chattahoochee Baptist Church,2025-06,0.0,0.0,0.0
Food 2 Kids White County,2022-07,0.0,0.0,
Food 2 Kids White County,2022-08,0.0,0.0,0.0
Food 2 Kids White County,2022-09,1093.0,1093.0,inf
Food 2 Kids White County,2022-10,6976.0,5883.0,5.382433668801464
Food 2 Kids White County,2022-11,7378.0,402.0,0.05762614678899083
Food 2 Kids White County,2022-12,6831.0,-547.0,-0.07413933315261588
Food 2 Kids White County,2023-01,5564.0,-1267.0,-0.18547796808666375
Food 2 Kids White County,2023-02,5382.0,-182.0,-0.03271028037383177
Food 2 Kids White County,2023-03,5343.0,-39.0,-0.007246376811594203
Food 2 Kids White County,2023-04,7930.0,2587.0,0.48418491484184917
Food 2 Kids White County,2023-05,3920.0,-4010.0,-0.5056746532156369
Food 2 Kids White County,2023-06,5265.0,1345.0,0.34311224489795916
Food 2 Kids White County,2023-07,0.0,-5265.0,-1.0
Food 2 Kids White County,2023-08,4946.0,4946.0,inf
Food 2 Kids White County,2023-09,0.0,-4946.0,-1.0
Food 2 Kids White County,2023-10,0.0,0.0,0.0
Food 2 Kids White County,2023-11,0.0,0.0,0.0
Food 2 Kids White County,2023-12,0.0,0.0,0.0
Food 2 Kids White County,2024-01,0.0,0.0,0.0
Food 2 Kids White County,2024-02,0.0,0.0,0.0
Food 2 Kids White County,2024-03,0.0,0.0,0.0
Food 2 Kids White County,2024-04,0.0,0.0,0.0
Food 2 Kids White County,2024-05,0.0,0.0,0.0
Food 2 Kids White County,2024-06,2426.0,2426.0,inf
Food 2 Kids White County,2024-07,0.0,-2426.0,-1.0
Food 2 Kids White County,2024-08,3386.0,3386.0,inf
Food 2 Kids White County,2024-09,0.0,-3386.0,-1.0
Food 2 Kids White County,2024-10,0.0,0.0,0.0
Food 2 Kids White County,2024-11,0.0,0.0,0.0
Food 2 Kids White County,2024-12,0.0,0.0,0.0
Food 2 Kids White County,2025-01,0.0,0.0,0.0
Food 2 Kids White County,2025-02,0.0,0.0,0.0
Food 2 Kids White County,2025-03,0.0,0.0,0.0
Food 2 Kids White County,2025-04,0.0,0.0,0.0
Food 2 Kids White County,2025-05,0.0,0.0,0.0
Food 2 Kids White County,2025-06,0.0,0.0,0.0
Helen First Baptist Church,2022-07,8732.0,0.0,
Helen First Baptist Church,2022-08,9755.0,1023.0,0.11715529088410444
Helen First Baptist Church,2022-09,8556.0,-1199.0,-0.12291132752434648
Helen First Baptist Church,2022-10,8500.0,-56.0,-0.0065451145395044414
Helen First Baptist Church,2022-11,8120.0,-380.0,-0.04470588235294118
Helen First Baptist Church,2022-12,7134.0,-986.0,-0.12142857142857143
Helen First Baptist Church,2023-01,8958.0,1824.0,0.255677039529016
Helen First Baptist Church,2023-02,7231.0,-1727.0,-0.19278856887698148
Helen First Baptist Church,2023-03,6551.0,-680.0,-0.09403955192919375
Helen First Baptist Church,2023-04,10000.0,3449.0,0.5264845061822623
Helen First Baptist Church,2023-05,9131.0,-869.0,-0.0869
Helen First Baptist Church,2023-06,7211.0,-1920.0,-0.2102726974044464
Helen First Baptist Church,2023-07,8981.0,1770.0,0.24545832755512412
Helen First Baptist Church,2023-08,7124.0,-1857.0,-0.2067698474557399
Helen First Baptist Church,2023-09,9372.0,2248.0,0.3155530600786075
Helen First Baptist Church,2023-10,9212.0,-160.0,-0.017072129748186088
Helen First Baptist Church,2023-11,7579.0,-1633.0,-0.17726877985236647
Helen First Baptist Church,2023-12,7234.0,-345.0,-0.04552051721863042
Helen First Baptist Church,2024-01,7568.0,334.0,0.04617085982858723
Helen First Baptist Church,2024-02,8954.0,1386.0,0.18313953488372092
Helen First Baptist Church,2024-03,8853.0,-101.0,-0.011279874916238553
Helen First Baptist Church,2024-04,8559.0,-294.0,-0.033209081667231445
Helen First Baptist Church,2024-05,8555.0,-4.0,-0.00046734431592475756
Helen First Baptist Church,2024-06,6928.0,-1627.0,-0.1901811805961426
Helen First Baptist Church,2024-07,6332.0,-596.0,-0.08602771362586605
Helen First Baptist Church,2024-08,6397.0,65.0,0.010265319014529374
Helen First Baptist Church,2024-09,7328.0,931.0,0.14553697045490074
Helen First Baptist Church,2024-10,7447.0,119.0,0.016239082969432314
Helen First Baptist Church,2024-11,8074.0,627.0,0.08419497784342689
Helen First Baptist Church,2024-12,5804.0,-2270.0,-0.28114936834282883
Helen First Baptist Church,2025-01,10117.0,4313.0,0.7431082012405238
Helen First Baptist Church,2025-02,9393.0,-724.0,-0.07156271622022338
Helen First Baptist Church,2025-03,9633.0,240.0,0.025550942190993294
Helen First Baptist Church,2025-04,8357.0,-1276.0,-0.13246133084189765
Helen First Baptist Church,2025-05,9274.0,917.0,0.10972837142515257
Helen First Baptist Church,2025-06,9598.0,324.0,0.03493638128100065
