County,Agency,Time,dist_volume,delta,pct_change,expected_seasonal,residual,robust_z,yoy_pct_change,iso_label,iso_score,reasons
Banks,Alto C.H. Church Benevolent- The Grace House,2022-08,3712.0,3712.0,inf,,,0.0,,-1,-0.03574917347054174,ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2022-11,3715.0,3715.0,inf,,,0.0,,-1,-0.03574917347054174,ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2023-02,2424.0,2424.0,inf,,,0.0,,-1,-0.06250883599018431,ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2023-03,0.0,-2424.0,-1.0,,,0.0,,-1,-0.03402828563521676,ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2023-05,2053.0,2053.0,inf,,,0.0,,-1,-0.07226570177270208,ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2023-06,0.0,-2053.0,-1.0,,,0.0,,-1,-0.05405959603895327,ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2023-08,5503.0,5503.0,inf,,,0.0,0.48248922413793105,-1,-0.08396310129898166,ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2023-09,0.0,-5503.0,-1.0,,,0.0,0.0,-1,-0.021882787040566565,ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2023-10,3941.0,3941.0,inf,,,0.0,inf,-1,-0.029675962070938366,YOY=inf; ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2023-11,0.0,-3941.0,-1.0,,,0.0,-1.0,-1,-0.11488547559961215,YOY=-1.00; ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2024-02,3387.0,3387.0,inf,,,0.0,0.3972772277227723,-1,-0.07448563692517152,ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2024-04,4782.0,4782.0,inf,,,0.0,inf,1,0.04171567715569713,YOY=inf
Banks,Alto C.H. Church Benevolent- The Grace House,2024-05,0.0,-4782.0,-1.0,,,0.0,-1.0,-1,-0.04120864321010598,YOY=-1.00; ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2024-07,4874.0,4874.0,inf,,,0.0,inf,1,0.036586939184247436,YOY=inf
Banks,Alto C.H. Church Benevolent- The Grace House,2024-08,0.0,-4874.0,-1.0,,,0.0,-1.0,-1,-0.027728686063721697,YOY=-1.00; ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2024-10,0.0,0.0,0.0,,,0.0,-1.0,-1,-0.13647321615230978,YOY=-1.00; ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2024-11,6361.0,6361.0,inf,,,0.0,inf,-1,-0.14201612123388951,YOY=inf; ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2024-12,0.0,-6361.0,-1.0,,,0.0,0.0,-1,-0.09335185081638053,ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2025-02,0.0,0.0,0.0,,,0.0,-1.0,-1,-0.13647321615230978,YOY=-1.00; ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2025-03,4976.0,4976.0,inf,,,0.0,inf,1,0.01995439692265588,YOY=inf
Banks,Alto C.H. Church Benevolent- The Grace House,2025-04,0.0,-4976.0,-1.0,,,0.0,-1.0,-1,-0.06449515504768555,YOY=-1.00; ISOFOREST
Banks,Alto C.H. Church Benevolent- The Grace House,2025-05,4752.0,4752.0,inf,,,0.0,inf,1,0.03438352895762109,YOY=inf
Banks,"Banks County Family Connection, Inc.",2023-10,124.0,124.0,inf,,,0.0,inf,1,0.18915166958424506,YOY=inf
