Agency,Recent typical month (lb),Recent vs earlier change (%),Trend (% per month),Recent month-to-month swing (abs. %),Recent months with food (%),Explanation
Clarke: ACCA Senior Staples Program,0.0,-1.0,-10.975,0.0,0.0,"Steady decline about -1097.5% per month. Same months last year: ~29,342 lb total (median ~2,328 lb; non-zero 92% of months)."
Open Hearts,0.0,-1.0,-3.9985,0.094,0.417,"Steady decline about -399.8% per month. Same months last year: ~1,896 lb total (median ~0 lb; non-zero 33% of months)."
Foothills (Clarke) Regional High School,0.0,-1.0,-3.6994,0.0,0.0,Steady decline about -369.9% per month. Same months last year: ~482 lb total (median ~0 lb; non-zero 42% of months).
Terrapin FBNEGA Mobile Pantry,0.0,-1.0,-0.1513,0.0,0.0,"Steady decline about -15.1% per month. Same months last year: ~64,326 lb total (median ~4,984 lb; non-zero 50% of months)."
"True Comfort Care Home, Inc.",0.0,-1.0,-0.1434,0.0,0.0,"Steady decline about -14.3% per month. Same months last year: ~139,888 lb total (median ~9,000 lb; non-zero 83% of months)."
Sparrows Nest,0.0,-1.0,-0.0636,0.073,0.25,"Steady decline about -6.4% per month. Same months last year: ~5,106 lb total (median ~512 lb; non-zero 83% of months)."
Food 2 Kids Clarke County,0.0,-1.0,-0.055,0.088,0.25,"Steady decline about -5.5% per month. Same months last year: ~115,484 lb total (median ~8,168 lb; non-zero 92% of months)."
Food Bank NEGA Senior Staples Program (Athens Warehouse),0.0,-1.0,-0.0459,0.0,0.167,"Steady decline about -4.6% per month. Same months last year: ~78,839 lb total (median ~6,060 lb; non-zero 67% of months)."
Virginia Walker Mobile Pantry,0.0,-1.0,-0.0344,0.0,0.083,"Steady decline about -3.4% per month. Same months last year: ~138,877 lb total (median ~11,802 lb; non-zero 100% of months)."
"Freedom From Bondage, Inc.",238.0,-0.82,-0.0586,0.247,0.75,"Steady decline about -5.9% per month. Typical month now -82% vs earlier (~1,324 lb → ~238 lb). More up-and-down lately. Same months last year: ~18,423 lb total (median ~1,348 lb; non-zero 100% of months)."
The Table UGA,50.0,-0.647,-0.0395,0.277,0.5,"Steady decline about -3.9% per month. Typical month now -65% vs earlier (~142 lb → ~50 lb). Same months last year: ~1,648 lb total (median ~55 lb; non-zero 50% of months)."
Iglesia Pentecostal Tabernaculo de Athens,4472.0,-0.343,-0.0155,0.344,1.0,"Typical month now -34% vs earlier (~6,806 lb → ~4,472 lb). Same months last year: ~74,179 lb total (median ~6,390 lb; non-zero 100% of months)."
"Feed My Sheep, LTD",1967.0,-0.336,-0.011,0.676,1.0,"Typical month now -34% vs earlier (~2,964 lb → ~1,967 lb). Same months last year: ~36,083 lb total (median ~2,936 lb; non-zero 100% of months)."
Living Hope Church,1611.0,-0.232,-0.0151,0.323,1.0,"Typical month now -23% vs earlier (~2,096 lb → ~1,611 lb). Same months last year: ~27,600 lb total (median ~2,354 lb; non-zero 100% of months)."
The Extended Table,320.0,-0.219,-0.0167,0.247,0.75,"Typical month now -22% vs earlier (~410 lb → ~320 lb). Same months last year: ~4,861 lb total (median ~390 lb; non-zero 100% of months)."
Family Counseling Service,1911.0,-0.18,-0.015,0.45,1.0,"Typical month now -18% vs earlier (~2,331 lb → ~1,911 lb). Same months last year: ~30,192 lb total (median ~2,184 lb; non-zero 100% of months)."
La Nueva Jerusalem,577.0,-0.162,-0.0081,0.441,1.0,"Typical month now -16% vs earlier (~688 lb → ~577 lb). More up-and-down lately. Same months last year: ~8,094 lb total (median ~668 lb; non-zero 100% of months)."
Shiloh Baptist Church,660.0,-0.148,-0.0535,0.347,0.667,"Steady decline about -5.4% per month. Same months last year: ~14,268 lb total (median ~884 lb; non-zero 75% of months)."
Catholic Center at UGA,539.0,-0.078,0.1934,4.479,1.0,"More up-and-down lately. Bigger swings between months in the recent period. Same months last year: ~8,114 lb total (median ~584 lb; non-zero 92% of months)."
iServe Ministries/Athens,0.0,0.0,-560.1274,0.0,0.0,Steady decline about -56012.7% per month. Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).
Clarke County Sheriff's Office,0.0,0.0,-82.0813,0.0,0.0,"Steady decline about -8208.1% per month. Same months last year: ~5,108 lb total (median ~0 lb; non-zero 8% of months)."
