Agency,Recent typical month (lb),Recent vs earlier change (%),Trend (% per month),Recent month-to-month swing (abs. %),Recent months with food (%),Same months last year (context),Explanation
Center United Methodist Church (Center UMC),0.0,-1.0,-0.1925,0.021,0.167,"Same months last year: ~21,821 lb total (median ~1,239 lb; non-zero 92% of months).","Steady decline about -19.2% per month. Same months last year: ~21,821 lb total (median ~1,239 lb; non-zero 92% of months)."
"Christian Outreach Ministries, INC",654.0,-1.0,-0.0688,1.182,0.833,"Same months last year: ~4,014 lb total (median ~0 lb; non-zero 25% of months).","Steady decline about -6.9% per month. Same months last year: ~4,014 lb total (median ~0 lb; non-zero 25% of months)."
Warren Chapel UMC,1150.0,-0.106,-0.0461,0.579,1.0,"Same months last year: ~13,490 lb total (median ~777 lb; non-zero 100% of months).","Steady decline about -4.6% per month. Same months last year: ~13,490 lb total (median ~777 lb; non-zero 100% of months)."
Open Door/The Torch Jackson County MP,0.0,0.0,-75.5432,0.0,0.0,Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).,Steady decline about -7554.3% per month. Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).
Crossroads Worship Center Church of Christ,0.0,0.0,-39.6498,0.0,0.0,"Same months last year: ~17,200 lb total (median ~0 lb; non-zero 8% of months).","Steady decline about -3965.0% per month. Same months last year: ~17,200 lb total (median ~0 lb; non-zero 8% of months)."
Church of God of Prophecy - Braselton,0.0,0.0,-25.3794,0.0,0.083,"Same months last year: ~5,093 lb total (median ~0 lb; non-zero 25% of months).","Steady decline about -2537.9% per month. Same months last year: ~5,093 lb total (median ~0 lb; non-zero 25% of months)."
Jackson: Jackson County Baptist Church Senior Staples Program,0.0,0.0,-17.1302,0.0,0.0,Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).,Steady decline about -1713.0% per month. Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).
Jackson: Banks Jackson FB Senior Staples Program,0.0,0.0,-15.6346,0.0,0.0,Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).,Steady decline about -1563.5% per month. Same months last year: ~0 lb total (median ~0 lb; non-zero 0% of months).
Glory Bound Athletics,0.0,0.0,-1.7022,0.0,0.0,Same months last year: ~771 lb total (median ~0 lb; non-zero 17% of months).,Steady decline about -170.2% per month. Same months last year: ~771 lb total (median ~0 lb; non-zero 17% of months).
Banks Jackson Food Bank,4896.0,0.018,-0.0083,1.097,0.917,"Same months last year: ~57,523 lb total (median ~4,893 lb; non-zero 100% of months).","Bigger swings between months in the recent period. Same months last year: ~57,523 lb total (median ~4,893 lb; non-zero 100% of months)."
Favor House,954.0,0.065,-0.0468,0.291,1.0,"Same months last year: ~6,259 lb total (median ~428 lb; non-zero 100% of months).","Steady decline about -4.7% per month. Same months last year: ~6,259 lb total (median ~428 lb; non-zero 100% of months)."
First Baptist Church of Jefferson,340.0,0.943,-0.1842,0.967,0.5,"Same months last year: ~28,494 lb total (median ~175 lb; non-zero 50% of months).","Steady decline about -18.4% per month. Same months last year: ~28,494 lb total (median ~175 lb; non-zero 50% of months)."
