County,Agency,median_prev,median_recent,median_change_pct,slope_per_month,slope_normalized,mom_vol_prev,mom_vol_recent,nonzero_share_prev,nonzero_share_recent,last_year_median,last_year_total,last_year_nonzero_share,last_year_info,flags,explanations
Madison,Cedar Grove Baptist Church,590.0,684.0,0.159,-36.16,-0.0585,1.56,3.21,0.96,0.92,590.0,21482.0,0.92,"Last year (12 mo): median 590 lb, total 21,482 lb, non-zero 92%.","DECLINING_TREND,MOM_VOLATILITY_UP",Declining and less consistent recently. Steady decline about -5.8% per month. Bigger swings between months in the recent period. Compared to same months last year: typical month 16% (590 lb → 684 lb).
Madison,Colbert Living Waters Holiness Church,669.0,204.0,-0.696,-4.74,-0.0093,0.18,0.34,0.58,0.5,362.0,10345.0,0.5,"Last year (12 mo): median 362 lb, total 10,345 lb, non-zero 50%.",LOWER_RECENT_MEDIAN,Declining distribution. Typical month now -70% vs earlier (~669 lb → ~204 lb). Compared to same months last year: typical month -44% (362 lb → 204 lb).
Madison,Colbert Methodist Church INTHEMIDDLEMEALS,150.0,0.0,-1.0,-9.83,-9.826,0.56,0.0,0.62,0.17,210.0,4190.0,0.67,"Last year (12 mo): median 210 lb, total 4,190 lb, non-zero 67%.",DECLINING_TREND,Declining distribution. Steady decline about -982.6% per month.
Madison,Food 2 Kids Madison County,274.0,0.0,-1.0,-82.98,-82.9772,0.4,0.0,0.5,0.0,0.0,1547.0,0.08,"Last year (12 mo): median 0 lb, total 1,547 lb, non-zero 8%.",DECLINING_TREND,Declining distribution. Steady decline about -8297.7% per month.
Madison,Gordon's Chapel Methodist Church,1088.0,1946.0,0.787,28.37,0.0178,0.11,0.48,0.54,0.92,1298.0,15076.0,0.67,"Last year (12 mo): median 1,298 lb, total 15,076 lb, non-zero 67%.",MOM_VOLATILITY_UP,"Growing inconsistency. Bigger swings between months in the recent period. Compared to same months last year: typical month 50% (1,298 lb → 1,946 lb)."
Madison,Huff Grove Baptist Church,0.0,0.0,0.0,-0.1,-0.1044,0.0,0.0,0.08,0.0,0.0,271.0,0.08,"Last year (12 mo): median 0 lb, total 271 lb, non-zero 8%.",DECLINING_TREND,Declining distribution. Steady decline about -10.4% per month.
Madison,Hull-Sandford Elementary School,0.0,0.0,0.0,-2.16,-2.1647,0.0,0.0,0.04,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -216.5% per month.
Madison,Joy Baptist Church,0.0,0.0,0.0,-49.16,-49.1602,0.77,0.0,0.29,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -4916.0% per month.
Madison,Legacy Baptist Church,188.0,0.0,-1.0,-3.49,-3.4884,0.07,0.0,0.58,0.17,142.0,2709.0,0.5,"Last year (12 mo): median 142 lb, total 2,709 lb, non-zero 50%.",DECLINING_TREND,Declining distribution. Steady decline about -348.8% per month.
Madison,Madison: Madison County Senior Center Senior Staples Program,0.0,0.0,0.0,-27.05,-27.0466,0.21,0.0,0.33,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -2704.7% per month.
Madison,Moons Grove Baptist Church,418.0,670.0,0.601,9.91,0.0212,0.39,0.84,0.88,1.0,517.0,6622.0,0.92,"Last year (12 mo): median 517 lb, total 6,622 lb, non-zero 92%.",MOM_VOLATILITY_UP,Growing inconsistency. Bigger swings between months in the recent period. Compared to same months last year: typical month 30% (517 lb → 670 lb).
Madison,Moons Grove Baptist Church (There's Hope For the Hungry),0.0,0.0,0.0,-4.44,-4.4403,0.0,0.0,0.12,0.0,0.0,38651.0,0.25,"Last year (12 mo): median 0 lb, total 38,651 lb, non-zero 25%.",DECLINING_TREND,Declining distribution. Steady decline about -444.0% per month.
Madison,New Bethel CH Church,442.0,641.0,0.452,13.27,0.0256,0.11,0.56,0.62,0.83,514.0,7602.0,0.58,"Last year (12 mo): median 514 lb, total 7,602 lb, non-zero 58%.",MOM_VOLATILITY_UP,Growing inconsistency. Bigger swings between months in the recent period. Compared to same months last year: typical month 25% (514 lb → 641 lb).
Madison,Riverside Baptist Church,0.0,0.0,0.0,-5.39,-5.3938,0.0,0.0,0.04,0.0,0.0,0.0,0.0,"Last year (12 mo): median 0 lb, total 0 lb, non-zero 0%.",DECLINING_TREND,Declining distribution. Steady decline about -539.4% per month.
Madison,Union Baptist Church,0.0,0.0,0.0,-7.2,-7.2026,0.12,0.0,0.46,0.33,0.0,2228.0,0.42,"Last year (12 mo): median 0 lb, total 2,228 lb, non-zero 42%.",DECLINING_TREND,Declining distribution. Steady decline about -720.3% per month.
Madison,Word of Life Church,1091.0,0.0,-1.0,-49.54,-49.5366,0.21,0.0,0.71,0.0,0.0,5824.0,0.42,"Last year (12 mo): median 0 lb, total 5,824 lb, non-zero 42%.",DECLINING_TREND,Declining distribution. Steady decline about -4953.7% per month.
