County,Agency,months_evaluated,recent_window_used,median_prev,median_recent,median_change_pct,slope_per_month,slope_normalized,mom_vol_prev,mom_vol_recent,nonzero_share_prev,nonzero_share_recent,last_year_median,last_year_total,last_year_nonzero_share,last_year_info,flags,explanations
Banks,Banks: Homer UMC Senior Staples Program,36,12,0.0,0.0,0.0,-39.89,-39.8882,0.45,0.0,0.46,0.0,0.0,2026.0,0.25,"Last year (12 mo): median 0 lb, total 2,026 lb, non-zero 25%.",DECLINING_TREND,Declining distribution. Steady decline about -3988.8% per month.
Banks,New Life Fellowship,36,12,1124.0,848.0,-0.245,-12.55,-0.0135,0.67,0.67,0.96,1.0,1026.0,12797.0,1.0,"Last year (12 mo): median 1,026 lb, total 12,797 lb, non-zero 100%.",LOWER_RECENT_MEDIAN,"Declining distribution. Typical month now -25% vs earlier (~1,124 lb → ~848 lb). Compared to same months last year: typical month -17% (1,026 lb → 848 lb)."
Barrow,Auburn First Baptist Church,36,12,3900.0,2958.0,-0.242,-27.37,-0.0078,0.24,0.3,1.0,1.0,4286.0,50377.0,1.0,"Last year (12 mo): median 4,286 lb, total 50,377 lb, non-zero 100%.",LOWER_RECENT_MEDIAN,"Declining distribution. Typical month now -24% vs earlier (~3,900 lb → ~2,958 lb). Compared to same months last year: typical month -31% (4,286 lb → 2,958 lb)."
Barrow,Barrow: STYGE Senior Staples Program,36,12,0.0,0.0,0.0,-26.7,-26.6967,0.04,0.0,0.33,0.0,0.0,330.0,0.08,"Last year (12 mo): median 0 lb, total 330 lb, non-zero 8%.",DECLINING_TREND,Declining distribution. Steady decline about -2669.7% per month.
Barrow,Barrow: Winder Freelife Church Senior Staples Program,36,12,0.0,0.0,0.0,-13.03,-13.0333,0.07,0.0,0.38,0.0,0.0,340.0,0.25,"Last year (12 mo): median 0 lb, total 340 lb, non-zero 25%.",DECLINING_TREND,Declining distribution. Steady decline about -1303.3% per month.
Barrow,Bear Creek First Baptist Church,36,12,0.0,0.0,0.0,-129.45,-129.4485,0.05,0.0,0.25,0.17,0.0,20352.0,0.08,"Last year (12 mo): median 0 lb, total 20,352 lb, non-zero 8%.",DECLINING_TREND,Declining distribution. Steady decline about -12944.9% per month.
Barrow,River Hills Church,36,12,8977.0,0.0,-1.0,-469.24,-469.2408,0.11,0.0,0.67,0.0,0.0,40293.0,0.33,"Last year (12 mo): median 0 lb, total 40,293 lb, non-zero 33%.",DECLINING_TREND,Declining distribution. Steady decline about -46924.1% per month.
Barrow,SYTGE (Seeing You Through God's Eyes) Outreach Ministry,36,12,653.0,2374.0,2.636,80.34,0.0869,0.14,0.48,0.62,1.0,750.0,12496.0,0.67,"Last year (12 mo): median 750 lb, total 12,496 lb, non-zero 67%.",MOM_VOLATILITY_UP,"Growing inconsistency. Bigger swings between months in the recent period. Compared to same months last year: typical month 216% (750 lb → 2,374 lb)."
Barrow,Winder Freelife Church,36,12,552.0,800.0,0.45,-27.28,-0.0459,2.73,0.81,0.88,0.83,650.0,18184.0,0.92,"Last year (12 mo): median 650 lb, total 18,184 lb, non-zero 92%.",DECLINING_TREND,Declining distribution. Steady decline about -4.6% per month. Compared to same months last year: typical month 23% (650 lb → 800 lb).
Barrow,Winder Wesleyan Church,36,12,0.0,0.0,0.0,-4.32,-4.3247,0.04,0.01,0.33,0.17,0.0,817.0,0.25,"Last year (12 mo): median 0 lb, total 817 lb, non-zero 25%.",DECLINING_TREND,Declining distribution. Steady decline about -432.5% per month.
