Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
399,177543,8690,S-125,The Salvation Army - Toccoa Co,480163,,FP/OP/GNAP/USDA,SALVATION ARMY-Agency,USDA,N-50-10302,12,0.0,0.0,30.24,168.0,324.24,-294.0,STEPHENS,0.18,03/26/2024 08:00:00 AM,03/26/2024 07:26:24 AM,Price Code 1,CONTACT FOR DELIVERY,USDA GREEN BEANS CCC,False,Rabun Warehouse,02,30577.0,Toccoa
631,173604,683,N-119,New Hope Baptist Church Toccoa,477233,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,66,0.0,0.0,11.88,66.0,127.38,-115.5,STEPHENS,0.18,01/25/2024 03:12:00 PM,01/25/2024 10:29:46 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Rabun,02-SH,30577.0,Toccoa
722,176968,683,M-136,Miracles Happen Recovery Residence INC,479590,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-16-10001,136,0.0,0.0,24.48,136.0,262.48,-238.0,STEPHENS,0.18,03/08/2024 12:01:00 PM,03/08/2024 02:20:04 PM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Athens,01-SH,30577.0,Toccoa
755,173143,690,R-121,Rehoboth Assembly of God,476773,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,46,0.0,0.0,1.38,46.0,88.78,-87.4,STEPHENS,0.03,01/16/2024 01:40:00 PM,01/16/2024 03:45:49 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Sharing Floor Rabun,02-SH,30577.0,Toccoa
968,177576,8973,C-180,Circle of Hope Transitional Housing,FAIMPORT480196,,ON PREMISES (OP),RESIDENTIAL-Agency,BLUE RECEIPT-SHL,MCC-16-10001,105,0.0,0.0,0.0,105.0,0.0,0.0,STEPHENS,0.0,03/19/2024 12:00:00 AM,03/19/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"COOLER FOOD MISC., SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30571.0,Eastanollee
546,180920,5388,H-137,Hill Street Baptist Church,483526,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,F-16-10001,32,0.0,0.0,5.76,32.0,61.76,-56.0,STEPHENS,0.18,05/16/2024 03:21:00 PM,05/16/2024 08:21:42 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Rabun,02-SH,30577.0,Toccoa
722,179786,8976,M-136,Miracles Happen Recovery Residence INC,FAIMPORT482399,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,MCC-28-10001,11,0.0,0.0,0.0,11.0,0.0,0.0,STEPHENS,0.0,04/25/2024 12:00:00 AM,04/25/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30577.0,Toccoa
1028,182539,688,V-107,Voice of Hope SDA Church,485142,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-01-10000,53,0.0,0.0,0.0,53.0,117.29,-117.29,STEPHENS,0.0,06/25/2024 08:45:00 AM,06/25/2024 08:53:30 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, SHL",False,Sharing Floor Athens,01-SH,30577.0,Toccoa
922,175895,8672,T-126,The Springs of Toccoa,478523,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10301,13,0.0,0.0,0.0,312.0,602.16,-602.16,STEPHENS,0.0,02/23/2024 01:08:00 PM,02/26/2024 09:09:50 AM,Price Code 1,TRUCK 2 MOBILE PANTRY,USDA YELLOW SPLIT PEAS,False,Rabun Warehouse,02,30577.0,Toccoa
722,176485,8970,M-136,Miracles Happen Recovery Residence INC,FAIMPORT479109,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,MCW-16-10001,17,0.0,0.0,0.0,17.0,0.0,0.0,STEPHENS,0.0,02/29/2024 12:00:00 AM,02/29/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"MISC. FOOD BOX, SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30577.0,Toccoa
