Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
1038,198997,688,C-184,"Called to Serve Georgia, Inc",501292,,FP/OP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-01-10000,22,0.0,0.0,3.96,22.0,42.46,-38.5,BARROW,0.18,04/29/2025 09:24:00 AM,04/29/2025 09:31:01 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, SHL",False,Sharing Floor Athens,01-SH,30680,Winder
1038,199618,683,C-184,"Called to Serve Georgia, Inc",501912,,FP/OP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,165,0.0,0.0,29.7,165.0,318.45,-288.75,BARROW,0.18,05/08/2025 08:56:00 AM,05/08/2025 09:01:46 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Athens,01-SH,30680,Winder
600,193417,8986,S-140,SYTGE (Seeing You Through God's Eyes) Outreach Ministry,FAIMPORT495733,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCW-01-10001,69,0.0,0.0,0.0,69.0,133.17,-133.17,BARROW,0.0,01/26/2025 12:00:00 AM,01/26/2025 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"NON-FOOD ITEMS, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30680,Winder
29,201075,8974,B-107,Barrow County Food Pantry,FAIMPORT503365,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCW-04-10000,70,0.0,0.0,0.0,70.0,135.1,-135.1,BARROW,0.0,05/05/2025 12:00:00 AM,05/05/2025 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"BREAD AND BAKERY, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30680,Winder
1093,200829,688,B-145,Bethlehem FUMC,503119,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-01-10000,24,0.0,0.0,4.32,24.0,46.32,-42.0,BARROW,0.18,05/29/2025 08:34:00 AM,05/29/2025 08:39:07 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, SHL",False,Sharing Floor Athens,01-SH,30602,Bethlehem
1093,204528,683,B-145,Bethlehem FUMC,504817,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,9,0.0,0.0,1.62,9.0,26.37,-24.75,BARROW,0.18,06/26/2025 09:21:00 AM,06/26/2025 09:25:24 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Athens,01-SH,30602,Bethlehem
1013,195586,800,S-143,"Spirit Of Sharing, INC",497892,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10065,17,0.0,0.0,0.0,459.0,885.87,-885.87,BARROW,0.0,03/05/2025 08:00:00 AM,03/06/2025 09:33:30 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA APPLESAUCE,False,Food Bank of Northeast Georgia,01,30680,Winder
172,204012,9440,P-104,Project Adam Community Asst Ct,504303,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,N-03-11922,4,0.0,0.0,6.0,120.0,231.6,-225.6,BARROW,0.05,06/26/2025 10:00:00 AM,06/26/2025 10:28:34 AM,Price Code 1,CUSTOMER PICKUP,MT DEW,False,Food Bank of Northeast Georgia,01,30680,Winder
600,199790,9418,S-140,SYTGE (Seeing You Through God's Eyes) Outreach Ministry,502083,,FOOD PANTRY,FOOD PANTRY-Agency,SBB-O,N-07-10020,2,0.0,0.0,0.0,26.0,50.18,-50.18,BARROW,0.0,05/15/2025 01:46:00 PM,05/15/2025 02:22:14 PM,Price Code 1,CUSTOMER PICKUP,"BACKPACK YOGURT, BERRY SHELF STABLE",False,Food Bank of Northeast Georgia,01,30680,Winder
497,204068,875,W-119,Winder Freelife Church,504359,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,43,0.0,0.0,0.0,43.0,82.99,-82.99,BARROW,0.0,06/17/2025 02:38:00 PM,06/17/2025 12:49:35 PM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Sharing Floor Athens,01-SH,30680,Winder
172,199852,9509,P-104,Project Adam Community Asst Ct,502145,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,N-25-12023,3,0.0,0.0,4.32,24.0,46.32,-42.0,BARROW,0.18,05/21/2025 10:00:00 AM,05/21/2025 09:59:32 AM,Price Code 1,CUSTOMER PICKUP,LA BANDERITA CANTINA CHIPS,False,Food Bank of Northeast Georgia,01,30680,Winder
1013,203578,9484,S-143,"Spirit Of Sharing, INC",503871,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10323,8,0.0,0.0,0.0,248.0,478.64,-478.64,BARROW,0.0,06/18/2025 01:46:00 PM,06/18/2025 08:04:41 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,"GNAP APPLESAUCE CUPS, UNSWEETENED",False,Food Bank of Northeast Georgia,01,30680,Winder
864,200663,683,W-124,Winder Church of God of Prophecy,502955,,FP/OP,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,10,0.0,0.0,1.8,10.0,29.3,-27.5,BARROW,0.18,05/27/2025 12:22:00 PM,05/27/2025 09:23:24 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Athens,01-SH,30680,Winder
953,200463,9383,C-179,Crossview Church Food Pantry,502756,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10308,15,0.0,0.0,9.0,180.0,347.4,-338.4,BARROW,0.05,05/28/2025 03:00:00 PM,05/29/2025 08:39:19 AM,Price Code 1,TRUCK 1,GNAP 1% Milk,False,Food Bank of Northeast Georgia,01,30548,Hoschton
