Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
1011,204211,5388,D-112,"Divergent Recovery Center, Inc",504501,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,F-16-10001,74,0.0,0.0,13.32,74.0,142.82,-129.5,CLARKE,0.18,06/20/2025 10:24:00 AM,06/20/2025 10:26:29 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Athens,01-SH,30605,Athens
436,194340,875,H-124,Hope House Recovery Inc.,496652,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-04-10000,51,0.0,0.0,0.0,51.0,98.43,-98.43,CLARKE,0.0,02/10/2025 12:00:00 PM,03/12/2025 02:54:33 PM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Sharing Floor Athens,01-SH,30601,Athens
563,192758,1995,C-163,Covenant Presbyterian Church,495077,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10084,12,0.0,0.0,41.04,228.0,440.04,-399.0,CLARKE,0.18,01/16/2025 09:00:00 AM,01/17/2025 01:27:16 PM,Price Code 1,CONTACT FOR DELIVERY,USDA VEGETARIAN VEGETABLE SOUP,False,Food Bank of Northeast Georgia,01,30605,Athens
1088,200682,3021,N-130,Nations Church,502974,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10122,4,0.0,0.0,8.64,48.0,92.64,-84.0,CLARKE,0.18,06/02/2025 10:30:00 AM,06/02/2025 12:50:34 PM,Price Code 1,TRACTOR TRAILER 1,USDA RAISINS,False,Food Bank of Northeast Georgia,01,30605,Athens
4,198239,683,A-105,Athens Area Homeless Shelter,500534,,ON PREMISES (OP),SHELTER-Agency,BLUE RECEIPT-SHL,W-16-10001,21,0.0,0.0,3.78,21.0,40.53,-36.75,CLARKE,0.18,04/16/2025 12:07:00 PM,04/16/2025 02:27:32 PM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Athens,01-SH,30601,Athens
1069,199056,9340,10-NGA-DECAL-OES,DECAL Grant Oglethorpe Elementary School,501351,,FP/GNAP/USDA,CHILDREN-Food Bank,USDA,N-50-10323,3,0.0,0.0,14.58,81.0,156.33,-141.75,CLARKE,0.18,05/06/2025 08:05:00 AM,05/23/2025 12:14:37 PM,Price Code 1,CUSTOMER PICKUP,USDA BLACK BEANS,False,Food Bank of Northeast Georgia,01,,
7,203501,3318,A-108,Athens Community Council on Aging,503795,,FP/OP/GNAP/USDA,SENIOR-Agency,USDA,N-50-10230,15,0.0,0.0,0.0,465.0,897.45,-897.45,CLARKE,0.0,06/11/2025 08:30:00 AM,06/11/2025 11:11:20 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA APPLESAUCE CUPS,False,Food Bank of Northeast Georgia,01,30601,Athens
753,194081,8974,C-177,"City of Refuge Athens, INC",FAIMPORT496393,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCW-04-10000,102,0.0,0.0,0.0,102.0,196.86,-196.86,CLARKE,0.0,01/02/2025 12:00:00 AM,01/02/2025 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"BREAD AND BAKERY, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30606,Athens
737,203608,696,F-141,Fresh Wind Recovery Ministry (Men's),503901,,FP/OP,REHAB-Agency,LOCAL - LL,W-25-10000,4,0.0,0.0,0.72,4.0,7.72,-7.0,CLARKE,0.18,06/10/2025 09:00:00 AM,06/10/2025 08:29:24 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LL",False,Sharing Floor Athens,01-SH,30605,Athens
983,194614,690,B-138,Beech Haven Baptist Church,496925,,FP/GNAP,YOUTH-Agency,BLUE RECEIPT-SHL,W-03-10013,7,0.0,0.0,0.0,7.0,13.51,-13.51,CLARKE,0.0,02/14/2025 01:25:00 PM,02/14/2025 01:27:46 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Sharing Floor Athens,01-SH,30606,Athens
