Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
476,196606,5958,S-129,"Step of Faith Outreach, INC",498906,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,C-16-10001,120,0.0,0.0,21.6,120.0,231.6,-210.0,FRANKLIN,0.18,03/19/2025 12:00:00 PM,03/19/2025 09:12:26 AM,Price Code 1,CUSTOMER PICKUP,"COOLER FOOD, MISC. SHL",False,Sharing Floor Athens,01-SH,30553,Lavonia
179,195436,8976,R-100,Rainbow Pantry,FAIMPORT497742,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCC-28-10001,18,0.0,0.0,0.0,18.0,34.74,-34.74,FRANKLIN,0.0,02/24/2025 12:00:00 AM,02/24/2025 12:00:00 AM,Price Code 1,CONTACT FOR DELIVERY,"PRODUCE, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30662,Royston
179,197189,8973,R-100,Rainbow Pantry,FAIMPORT499486,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCC-16-10001,14,0.0,0.0,0.0,14.0,27.02,-27.02,FRANKLIN,0.0,03/28/2025 12:00:00 AM,03/28/2025 12:00:00 AM,Price Code 1,CONTACT FOR DELIVERY,"COOLER FOOD MISC., SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30662,Royston
179,192470,8973,R-100,Rainbow Pantry,FAIMPORT494790,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCC-16-10001,15,0.0,0.0,0.0,15.0,28.95,-28.95,FRANKLIN,0.0,01/03/2025 12:00:00 AM,01/03/2025 12:00:00 AM,Price Code 1,CONTACT FOR DELIVERY,"COOLER FOOD MISC., SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30662,Royston
476,197974,5958,S-129,"Step of Faith Outreach, INC",500269,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,C-16-10001,71,0.0,0.0,12.78,71.0,137.03,-124.25,FRANKLIN,0.18,04/11/2025 12:00:00 PM,04/11/2025 11:05:07 AM,Price Code 1,CUSTOMER PICKUP,"COOLER FOOD, MISC. SHL",False,Sharing Floor Athens,01-SH,30553,Lavonia
941,203505,5088,L-117,Lavonia Church of God,503799,,FP/USDA,MOBILE PANTRY-Agency,USDA,F-50-90023,14,0.0,0.0,0.0,350.0,675.5,-675.5,FRANKLIN,0.0,06/12/2025 07:00:00 AM,06/12/2025 08:27:57 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA FROZEN PEACHES CCC,False,Food Bank of Northeast Georgia,01,30553,Lavonia
179,196768,8975,R-100,Rainbow Pantry,FAIMPORT499067,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCC-07-10001,162,0.0,0.0,0.0,162.0,312.66,-312.66,FRANKLIN,0.0,03/17/2025 12:00:00 AM,03/17/2025 12:00:00 AM,Price Code 1,CONTACT FOR DELIVERY,"DAIRY PRODUCTS, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30662,Royston
916,195609,5407,W-125,World Outreach Ministries (d/b/a Ignited Church),497915,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-15-10000,147,0.0,0.0,26.46,147.0,283.71,-257.25,FRANKLIN,0.18,03/03/2025 09:30:00 AM,03/03/2025 10:59:22 AM,Price Code 1,CUSTOMER PICKUP,"MEAT & SEAFOOD, FROZEN SHL",False,Sharing Floor Athens,01-SH,30553,Lavonia
973,197356,688,G-134,The Grace Foundation: Family Transformation ,499653,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-01-10000,30,0.0,0.0,5.4,30.0,57.9,-52.5,FRANKLIN,0.18,04/01/2025 12:39:00 PM,04/01/2025 12:56:43 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, SHL",False,Sharing Floor Athens,01-SH,30557,Martin
179,193578,84,R-100,Rainbow Pantry,495893,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10006,26,0.0,0.0,126.36,702.0,1354.86,-1228.5,FRANKLIN,0.18,02/06/2025 12:00:00 AM,02/06/2025 10:55:42 AM,Price Code 1,TRUCK 1,USDA GREEN BEANS,False,Food Bank of Northeast Georgia,01,30662,Royston
