Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
1090,194835,690,A-157,Anointed Hands Outreach Ministry Inc,497146,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,42,0.0,0.0,0.0,42.0,81.06,-81.06,HART,0.0,02/19/2025 10:36:00 AM,02/19/2025 10:49:07 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Sharing Floor Athens,01-SH,30643,Hartwell
954,192491,9015,O-115,Oak Bower Baptist Church,494811,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10314,3,0.0,0.0,26.46,147.0,283.71,-257.25,HART,0.18,01/17/2025 02:00:00 PM,01/17/2025 10:24:50 AM,Price Code 1,CUSTOMER PICKUP,USDA RICE CCC,False,Food Bank of Northeast Georgia,01,30643,Hartwell
1090,198523,683,A-157,Anointed Hands Outreach Ministry Inc,500818,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,73,0.0,0.0,13.14,73.0,140.89,-127.75,HART,0.18,04/22/2025 09:38:00 AM,04/22/2025 09:44:41 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Athens,01-SH,30643,Hartwell
954,193766,2862,O-115,Oak Bower Baptist Church,496079,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10115,3,0.0,0.0,14.58,81.0,156.33,-141.75,HART,0.18,02/07/2025 02:00:00 PM,02/07/2025 02:04:13 PM,Price Code 1,CUSTOMER PICKUP,USDA DARK RED KIDNEY BEANS CCC,False,Food Bank of Northeast Georgia,01,30643,Hartwell
966,192739,1674,B-137,Bethany Baptist Church,495058,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10073,4,0.0,0.0,19.44,108.0,208.44,-189.0,HART,0.18,01/15/2025 10:00:00 AM,01/31/2025 09:00:20 AM,Price Code 1,CUSTOMER PICKUP,USDA TOMATO SAUCE,False,Food Bank of Northeast Georgia,01,30520,Canon
696,192928,1674,C-174,Cornerstone Baptist Church,495247,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10073,13,0.0,0.0,0.0,351.0,677.43,-677.43,HART,0.0,01/15/2025 12:00:00 PM,01/16/2025 08:36:07 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA TOMATO SAUCE,False,Rabun Warehouse,02,30643,Hartwell
936,203423,9000,MSFP-HART,Hart County ALC/MSFP,503717,,FP/GNAP/USDA,FB DIRECT ASSISTANCE-Agency,PURCH,N-40-10329,75,0.0,0.0,0.0,1050.0,0.0,0.0,HART,0.0,06/12/2025 11:41:00 AM,06/12/2025 01:32:24 PM,Price Code 1,TRUCK 1 MOBILE PANTRY,GNAP MAC & CHEESE ,False,Food Bank of Northeast Georgia,01,,
696,199581,875,C-174,Cornerstone Baptist Church,501875,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,600,0.0,0.0,0.0,600.0,1158.0,-1158.0,HART,0.0,05/15/2025 12:00:00 PM,05/15/2025 11:57:15 AM,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,"BREAD & BAKERY, ASSORTED SHL",False,Rabun Warehouse,02,30643,Hartwell
936,195949,9240,MSFP-HART,Hart County ALC/MSFP,498252,,FP/GNAP/USDA,FB DIRECT ASSISTANCE-Agency,YELLOW RECEIPT - SHN,N-22-10006,5,0.0,0.0,0.0,20.0,0.0,0.0,HART,0.0,03/13/2025 11:30:00 AM,03/14/2025 12:42:03 PM,Price Code 1,TRUCK 1 MOBILE PANTRY,SOUP BONES MINTY DENTAL CHEWS FOR DOGS 10.3 OZ,False,Food Bank of Northeast Georgia,01,,
936,197982,9464,MSFP-HART,Hart County ALC/MSFP,500277,,FP/GNAP/USDA,FB DIRECT ASSISTANCE-Agency,LOCAL - LL,F-15-90574,15,0.0,0.0,0.0,150.0,289.5,-289.5,HART,0.0,04/17/2025 10:53:00 AM,04/21/2025 08:17:22 AM,Price Code 1,CUSTOMER PICKUP,GROUND PORK,False,Food Bank of Northeast Georgia,01,,
