Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
138,204540,696,J-101,Jackson County Senior Center,504829,,FP/OP,SENIOR-Agency,LOCAL - LL,W-25-10000,16,0.0,0.0,2.88,16.0,30.88,-28.0,JACKSON,0.18,06/26/2025 01:23:00 PM,06/26/2025 01:13:48 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LL",False,Sharing Floor Athens,01-SH,30549,Jefferson
924,201198,875,W-131,White Plains Baptist Church ,503486,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,105,0.0,0.0,0.0,105.0,202.65,-202.65,JACKSON,0.0,06/03/2025 10:37:00 AM,06/03/2025 10:40:55 AM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Sharing Floor Athens,01-SH,30549,Jefferson
170,200355,5938,P-102,Potters House (Atlanta Mission),502648,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,C-28-10001,67,0.0,0.0,2.01,67.0,129.31,-127.3,JACKSON,0.03,05/20/2025 01:40:00 PM,05/20/2025 01:21:42 PM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH SHL",False,Sharing Floor Athens,01-SH,30549,Jefferson
170,194319,9378,P-102,Potters House (Atlanta Mission),496631,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,F-16-90449,30,0.0,0.0,97.2,540.0,1042.2,-945.0,JACKSON,0.18,02/18/2025 01:40:00 PM,02/28/2025 09:39:20 AM,Price Code 1,CUSTOMER PICKUP,Steak Ranchero Burrito,False,Food Bank of Northeast Georgia,01,30549,Jefferson
910,197840,800,I-109,iServe Ministries,500135,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10065,34,0.0,0.0,0.0,918.0,1771.74,-1771.74,JACKSON,0.0,04/12/2025 01:28:00 PM,05/02/2025 10:06:18 AM,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,USDA APPLESAUCE,False,Food Bank of Northeast Georgia,01,30548,Hoschton
925,197364,5938,M-140JACKSON,Jackson County MedLink Georgia,499661,,DIRECT ASSISTANCE,MOBILE PANTRY-Agency,BLUE RECEIPT-SHL,C-28-10001,2176,0.0,0.0,0.0,2176.0,4199.68,-4199.68,JACKSON,0.0,04/02/2025 01:56:00 PM,04/17/2025 09:12:09 AM,Mobile Pantry/Feed Site Only,TRUCK 1 MOBILE PANTRY,"PRODUCE, FRESH SHL",False,Food Bank of Northeast Georgia,01,30628,Colbert
924,193463,8972,W-131,White Plains Baptist Church ,FAIMPORT495778,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCF-15-10000,244,0.0,0.0,0.0,244.0,470.92,-470.92,JACKSON,0.0,01/21/2025 12:00:00 AM,01/21/2025 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"FROZEN MEAT & SEAFOOD, SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30549,Jefferson
964,196062,170,R-132,River of Life Worship Center,498364,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10007,4,0.0,0.0,20.16,112.0,216.16,-196.0,JACKSON,0.18,03/27/2025 09:00:00 AM,03/27/2025 10:05:53 AM,Price Code 1,CUSTOMER PICKUP,"USDA CORN, WHOLE KERNEL NO SALT",False,Food Bank of Northeast Georgia,01,30565,Nicholson
723,203330,9531,N-118,New Beginnings Worship Center,503624,,FP/USDA,DIRECT ASSISTANCE-Agency,LOCAL - LL,N-25-12026,4,0.0,0.0,0.168,8.4,16.212,-16.044,JACKSON,0.02,06/10/2025 01:50:00 PM,06/10/2025 12:00:45 PM,Price Code 1,CUSTOMER PICKUP,PRETZEL CRIPS DARK CHOCOLATE CRUNCH,False,Food Bank of Northeast Georgia,01,30529,Commerce
170,197154,8971,P-102,Potters House (Atlanta Mission),FAIMPORT499451,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,MCF-16-10001,6,0.0,0.0,0.0,6.0,11.58,-11.58,JACKSON,0.0,03/26/2025 12:00:00 AM,03/26/2025 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"FROZEN FOODS, MISC SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30549,Jefferson
924,193287,696,W-131,White Plains Baptist Church ,495603,,FP/GNAP/USDA,FOOD PANTRY-Agency,LOCAL - LL,W-25-10000,14,0.0,0.0,2.52,14.0,27.02,-24.5,JACKSON,0.18,01/23/2025 10:29:00 AM,01/31/2025 09:01:23 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LL",False,Sharing Floor Athens,01-SH,30549,Jefferson
723,193612,683,N-118,New Beginnings Worship Center,495927,,FP/USDA,DIRECT ASSISTANCE-Agency,BLUE RECEIPT-SHL,W-16-10001,31,0.0,0.0,5.58,31.0,59.83,-54.25,JACKSON,0.18,01/29/2025 01:50:00 PM,01/29/2025 11:36:33 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Athens,01-SH,30529,Commerce
604,198795,8976,C-165,Church of God of Prophecy - Hoschton,FAIMPORT501091,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCC-28-10001,64,0.0,0.0,0.0,64.0,123.52,-123.52,JACKSON,0.0,04/18/2025 12:00:00 AM,04/18/2025 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30548,Hoschton
1030,192531,9340,F-147,Free Chapel Worship Center Inc.,494851,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10323,17,0.0,0.0,0.0,459.0,885.87,-885.87,JACKSON,0.0,01/09/2025 03:00:00 PM,01/09/2025 01:59:21 PM,Mobile Pantry/Feed Site Only,TRUCK 1 MOBILE PANTRY,USDA BLACK BEANS,False,Food Bank of Northeast Georgia,01,30517,Braselton
