Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
137,196197,235,J-100,Jubilee Partners,498499,,FP/OP/GNAP,RESIDENTIAL-Agency,LOCAL - LL,W-03-10012,118,0.0,0.0,0.0,118.0,227.74,-227.74,MADISON,0.0,03/12/2025 01:23:00 PM,03/12/2025 08:58:04 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, LL",False,Sharing Floor Athens,01-SH,30629,Comer
571,196505,3776,F-122,Freedom Church of God,498807,,FP/OP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11125,3,0.0,0.0,0.0,99.0,191.07,-191.07,MADISON,0.0,03/20/2025 02:21:00 PM,03/20/2025 11:18:38 AM,Price Code 1,CUSTOMER PICKUP,PEPSI WILD CHERRY,False,Food Bank of Northeast Georgia,01,30530,Commerce
915,193438,8973,T-122,Tabors Chapel CME Church,FAIMPORT495754,,DIRECT ASSISTANCE,DIRECT ASSISTANCE-Agency,BLUE RECEIPT-SHL,MCC-16-10001,55,0.0,0.0,0.0,55.0,106.15,-106.15,MADISON,0.0,01/23/2025 12:00:00 AM,01/23/2025 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"COOLER FOOD MISC., SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30633,Danielsville
915,200689,8970,T-122,Tabors Chapel CME Church,FAIMPORT502981,,DIRECT ASSISTANCE,DIRECT ASSISTANCE-Agency,BLUE RECEIPT-SHL,MCW-16-10001,1,0.0,0.0,0.0,1.0,1.93,-1.93,MADISON,0.0,05/26/2025 12:00:00 AM,05/26/2025 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"MISC. FOOD BOX, SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30633,Danielsville
571,204632,8970,F-122,Freedom Church of God,FAIMPORT504921,,FP/OP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCW-16-10001,18,0.0,0.0,0.0,18.0,34.74,-34.74,MADISON,0.0,06/20/2025 12:00:00 AM,06/20/2025 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"MISC. FOOD BOX, SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30530,Commerce
137,203230,5938,J-100,Jubilee Partners,503524,,FP/OP/GNAP,RESIDENTIAL-Agency,BLUE RECEIPT-SHL,C-28-10001,246,0.0,0.0,7.38,246.0,474.78,-467.4,MADISON,0.03,06/04/2025 01:23:00 PM,06/04/2025 08:58:31 AM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH SHL",False,Sharing Floor Athens,01-SH,30629,Comer
915,192782,9345,T-122,Tabors Chapel CME Church,495101,,DIRECT ASSISTANCE,DIRECT ASSISTANCE-Agency,PURCH,N-15-10051,2,0.0,0.0,0.0,24.0,0.0,0.0,MADISON,0.0,01/15/2025 02:19:00 PM,01/15/2025 12:05:31 PM,Price Code 1,CUSTOMER PICKUP,"TURKEY STICKS, POWER SNACKS",False,Food Bank of Northeast Georgia,01,30633,Danielsville
410,195340,2505,C-110,Colbert First Baptist Church,497646,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-10965,6,0.0,0.0,0.0,180.0,347.4,-347.4,MADISON,0.0,03/03/2025 02:30:00 PM,03/31/2025 08:14:49 AM,Price Code 1,CUSTOMER PICKUP,PEPSI,False,Food Bank of Northeast Georgia,01,30628,Colbert
137,199546,5958,J-100,Jubilee Partners,501840,,FP/OP/GNAP,RESIDENTIAL-Agency,BLUE RECEIPT-SHL,C-16-10001,7,0.0,0.0,1.26,7.0,13.51,-12.25,MADISON,0.18,05/07/2025 01:23:00 PM,05/07/2025 08:51:21 AM,Price Code 1,CUSTOMER PICKUP,"COOLER FOOD, MISC. SHL",False,Sharing Floor Athens,01-SH,30629,Comer
571,200253,77,F-122,Freedom Church of God,502546,,FP/OP/USDA,FOOD PANTRY-Agency,USDA,N-50-10038,40,0.0,0.0,0.0,1760.0,3396.8,-3396.8,MADISON,0.0,05/20/2025 02:21:00 PM,05/20/2025 12:50:16 PM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA APPLE JUICE,False,Food Bank of Northeast Georgia,01,30530,Commerce
1010,193959,6780,F-143,Freedom C.H. Church,496271,,FP/USDA,FOOD PANTRY-Agency,USDA,C-50-10024,2,0.0,0.0,0.0,86.0,165.98,-165.98,MADISON,0.0,02/06/2025 04:26:01 PM,02/06/2025 09:05:56 AM,Price Code 1,CUSTOMER PICKUP,USDA APPLES,False,Food Bank of Northeast Georgia,01,30662,Royston
1010,203341,696,F-143,Freedom C.H. Church,503635,,FP/USDA,FOOD PANTRY-Agency,LOCAL - LL,W-25-10000,49,0.0,0.0,8.82,49.0,94.57,-85.75,MADISON,0.18,06/05/2025 08:45:00 AM,06/05/2025 08:49:03 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LL",False,Sharing Floor Athens,01-SH,30662,Royston
137,193593,683,J-100,Jubilee Partners,495908,,FP/OP/GNAP,RESIDENTIAL-Agency,BLUE RECEIPT-SHL,W-16-10001,249,0.0,0.0,44.82,249.0,480.57,-435.75,MADISON,0.18,01/29/2025 01:23:00 PM,01/29/2025 08:52:06 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Athens,01-SH,30629,Comer
371,192612,688,E-111,Evangelical Methodist Church - Danielsville,494932,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-01-10000,12,0.0,0.0,2.16,12.0,23.16,-21.0,MADISON,0.18,01/07/2025 01:56:00 PM,01/07/2025 11:50:44 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, SHL",False,Sharing Floor Athens,01-SH,30633,Danielsville
