Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
590,192630,9318,E-119,Extra Special People (ESP),494950,,FOOD PANTRY,AFTER SCHOOL PROGRAM-Agency,YELLOW RECEIPT - SHN,N-03-11893,50,0.0,0.0,0.0,650.0,0.0,0.0,OCONEE,0.0,01/16/2025 03:06:00 PM,01/17/2025 01:24:57 PM,Price Code 1,TRUCK 2 MOBILE PANTRY,"HYDRATION DRINK, GHOST LEMON LIME CAFFEINE FREE",False,Food Bank of Northeast Georgia,01,30677,Watkinsville
590,195602,9373,E-119,Extra Special People (ESP),497908,,FOOD PANTRY,AFTER SCHOOL PROGRAM-Agency,YELLOW RECEIPT - SHN,N-26-11586,6,0.0,0.0,0.0,192.0,0.0,0.0,OCONEE,0.0,03/13/2025 01:06:00 PM,03/27/2025 02:40:20 PM,Price Code 1,TRUCK 1 MOBILE PANTRY,KRAFT SONIC MAYONAISE ,False,Food Bank of Northeast Georgia,01,30677,Watkinsville
768,194304,1793,L-110,Living Word Baptist Church,496616,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10075,17,0.0,0.0,0.0,459.0,885.87,-885.87,OCONEE,0.0,02/18/2025 02:00:00 PM,02/27/2025 01:58:29 PM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA SPAGHETTI SAUCE,False,Food Bank of Northeast Georgia,01,30622,Bogart
643,198527,8761,G-131,"Grace Fellowship Church, INC",500822,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10306,15,0.0,0.0,0.0,375.0,723.75,-723.75,OCONEE,0.0,04/24/2025 03:00:00 PM,06/03/2025 07:57:22 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA WHOLE DEGLET DATES,False,Food Bank of Northeast Georgia,01,30622,Bogart
768,197965,9465,L-110,Living Word Baptist Church,500260,,FP/USDA,MOBILE PANTRY-Agency,LOCAL - LL,N-03-11926,40,0.0,0.0,0.0,1360.0,2624.8,-2624.8,OCONEE,0.0,04/15/2025 01:50:00 PM,04/21/2025 08:16:04 AM,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,TOPO CHICO MINERAL WATER 24/12 OZ BOTTLES,False,Food Bank of Northeast Georgia,01,30622,Bogart
590,195602,6928,E-119,Extra Special People (ESP),497908,,FOOD PANTRY,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,C-28-90379,3,0.0,0.0,0.0,159.0,306.87,-306.87,OCONEE,0.0,03/13/2025 01:06:00 PM,03/27/2025 02:40:20 PM,Price Code 1,TRUCK 1 MOBILE PANTRY,YELLOW ONIONS,False,Food Bank of Northeast Georgia,01,30677,Watkinsville
590,194285,9377,E-119,Extra Special People (ESP),496597,,FOOD PANTRY,AFTER SCHOOL PROGRAM-Agency,LOCAL - LL,F-16-90448,5,0.0,0.0,0.0,40.0,77.2,-77.2,OCONEE,0.0,02/25/2025 03:06:00 PM,02/26/2025 07:07:16 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,Bacon Egg + Cheese Burrito,False,Food Bank of Northeast Georgia,01,30677,Watkinsville
768,203679,3318,L-110,Living Word Baptist Church,503972,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10230,10,0.0,0.0,0.0,310.0,598.3,-598.3,OCONEE,0.0,06/17/2025 02:00:00 PM,06/17/2025 01:15:57 PM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA APPLESAUCE CUPS,False,Food Bank of Northeast Georgia,01,30622,Bogart
590,194285,2081,E-119,Extra Special People (ESP),496597,,FOOD PANTRY,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,W-30-10002,514,0.0,0.0,0.0,514.0,992.02,-992.02,OCONEE,0.0,02/25/2025 03:06:00 PM,02/26/2025 07:07:16 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,"UNSORTED SALVAGE, SHL",False,Food Bank of Northeast Georgia,01,30677,Watkinsville
643,193271,1674,G-131,"Grace Fellowship Church, INC",495587,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10073,17,0.0,0.0,0.0,459.0,885.87,-885.87,OCONEE,0.0,01/23/2025 03:00:00 PM,01/25/2025 06:15:35 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA TOMATO SAUCE,False,Food Bank of Northeast Georgia,01,30622,Bogart
643,196985,2202,G-131,"Grace Fellowship Church, INC",499284,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10240,17,0.0,0.0,0.0,374.0,721.82,-721.82,OCONEE,0.0,03/27/2025 03:00:00 PM,03/27/2025 02:50:23 PM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA SPAGHETTI,False,Food Bank of Northeast Georgia,01,30622,Bogart
590,195602,9426,E-119,Extra Special People (ESP),497908,,FOOD PANTRY,AFTER SCHOOL PROGRAM-Agency,YELLOW RECEIPT - SHN,F-16-90451,60,0.0,0.0,0.0,480.0,0.0,0.0,OCONEE,0.0,03/13/2025 01:06:00 PM,03/27/2025 02:40:20 PM,Price Code 1,TRUCK 1 MOBILE PANTRY,"UNCRUSTABLES, PEANUT BUTTER AND GRAPE JELLY 48 CT",False,Food Bank of Northeast Georgia,01,30677,Watkinsville
