Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
713,194775,5938,B-136,Burt's United Methodist Church,497086,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,C-28-10001,142,0.0,0.0,0.0,142.0,274.06,-274.06,OGLETHORPE,0.0,02/18/2025 01:00:00 PM,02/18/2025 11:25:27 AM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH SHL",False,Sharing Floor Athens,01-SH,30627,Lexington
940,199651,9477,O-114,Oconee Baptist Church ,501945,,FOOD PANTRY,FOOD PANTRY-Agency,LL NON USDA,C-07-90674,2,0.0,0.0,2.3,46.0,88.78,-86.48,OGLETHORPE,0.05,05/13/2025 02:13:32 PM,05/13/2025 11:23:01 AM,Price Code 1,CUSTOMER PICKUP,"ICED COFFEE, COFFEE MATE CARAMEL",False,Food Bank of Northeast Georgia,01,30667,Stephens
940,197270,9373,O-114,Oconee Baptist Church ,499567,,FOOD PANTRY,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-26-11586,4,0.0,0.0,0.0,128.0,0.0,0.0,OGLETHORPE,0.0,04/04/2025 07:26:20 AM,04/04/2025 10:16:45 AM,Price Code 1,CUSTOMER PICKUP,KRAFT SONIC MAYONAISE ,False,Food Bank of Northeast Georgia,01,30667,Stephens
713,197733,9437,B-136,Burt's United Methodist Church,500028,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11919,4,0.0,0.0,0.0,64.0,123.52,-123.52,OGLETHORPE,0.0,04/11/2025 11:00:00 PM,04/11/2025 01:05:33 PM,Price Code 1,CUSTOMER PICKUP,PURELEAF RASPBERRY TEA,False,Food Bank of Northeast Georgia,01,30627,Lexington
433,196659,2505,T-114,Thankful Baptist Church,498959,,FP/OP/GNAP/USDA,YOUTH-Agency,BLUE RECEIPT-SHL,N-03-10965,1,0.0,0.0,0.0,30.0,57.9,-57.9,OGLETHORPE,0.0,03/24/2025 03:14:00 PM,03/24/2025 02:26:22 PM,Price Code 1,CUSTOMER PICKUP,PEPSI,False,Food Bank of Northeast Georgia,01,30667,Stephens
940,205000,8971,O-114,Oconee Baptist Church ,FAIMPORT505281,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCF-16-10001,78,0.0,0.0,0.0,78.0,150.54,-150.54,OGLETHORPE,0.0,06/30/2025 12:00:00 AM,06/30/2025 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"FROZEN FOODS, MISC SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30667,Stephens
1068,195312,696,O-116,Oglethorpe Fellowship Church,497618,,FP/OP/USDA,FOOD PANTRY-Agency,LOCAL - LL,W-25-10000,19,0.0,0.0,3.42,19.0,36.67,-33.25,OGLETHORPE,0.18,02/26/2025 10:40:00 AM,02/26/2025 10:55:42 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LL",False,Sharing Floor Athens,01-SH,,
940,200848,9360,O-114,Oconee Baptist Church ,503138,,FOOD PANTRY,FOOD PANTRY-Agency,LOCAL - LL,N-01-90136,3,0.0,0.0,0.57,57.0,110.01,-109.44,OGLETHORPE,0.01,06/03/2025 11:50:00 AM,06/03/2025 09:04:35 AM,Price Code 1,CUSTOMER PICKUP,"BOXES, 10 CT, CHEWY 25 X 17 X 14",False,Food Bank of Northeast Georgia,01,30667,Stephens
940,197689,8975,O-114,Oconee Baptist Church ,FAIMPORT499986,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCC-07-10001,80,0.0,0.0,0.0,80.0,154.4,-154.4,OGLETHORPE,0.0,04/04/2025 12:00:00 AM,04/04/2025 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"DAIRY PRODUCTS, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30667,Stephens
940,194215,8976,O-114,Oconee Baptist Church ,FAIMPORT496527,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCC-28-10001,278,0.0,0.0,0.0,278.0,536.54,-536.54,OGLETHORPE,0.0,02/05/2025 12:00:00 AM,02/05/2025 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30667,Stephens
