Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
919,198151,5388,F-132,Fight Abuse in the Home (FAITH),500446,,ON PREMISES (OP),SHELTER-Agency,BLUE RECEIPT-SHL,F-16-10001,15,0.0,0.0,2.7,15.0,28.95,-26.25,RABUN,0.18,04/15/2025 06:41:00 PM,04/15/2025 10:47:49 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Rabun,02-SH,30525,Clayton
577,203618,5388,S-133,Sharing and Caring - Clayton,503911,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,106,0.0,0.0,19.08,106.0,204.58,-185.5,RABUN,0.18,06/10/2025 09:50:00 AM,06/10/2025 10:29:07 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Rabun,02-SH,30525,Clayton
602,196003,9358,10-NGAR,Food Bank of Northeast Georgia Rabun,498306,,FOOD BANK,EMERGENCY-Agency,LOCAL - LL,N-10-10016,63,0.0,0.0,0.0,1575.0,3039.75,-3039.75,RABUN,0.0,03/10/2025 08:55:00 AM,03/10/2025 07:40:38 AM,Price Code 1,CUSTOMER PICKUP,"PINEAPPLE SPEARS IN LIGHT SYRUP, MEMBERS MARK",False,Rabun Warehouse,02,30525,Clayton
824,193700,5938,R-124,Rabun Gap Presbyterian Church,496014,,FP/USDA,MOBILE PANTRY-Agency,BLUE RECEIPT-SHL,C-28-10001,1000,0.0,0.0,0.0,1000.0,1930.0,-1930.0,RABUN,0.0,01/30/2025 08:57:00 AM,01/30/2025 09:42:14 AM,Price Code 1,CONTACT FOR DELIVERY,"PRODUCE, FRESH SHL",False,Sharing Floor Rabun,02-SH,30568,Rabun Gap
919,204498,9514,F-132,Fight Abuse in the Home (FAITH),504787,,ON PREMISES (OP),SHELTER-Agency,YELLOW RECEIPT - SHN,N-06-10130,2,0.0,0.0,1.8,10.0,0.0,1.8,RABUN,0.18,06/25/2025 06:41:00 PM,06/25/2025 08:43:09 AM,Price Code 1,CUSTOMER PICKUP,"ROTEL DICED TOMATOES & GREEN CHILES, ORGANIC",False,Rabun Warehouse,02,30525,Clayton
919,200122,9486,F-132,Fight Abuse in the Home (FAITH),502415,,ON PREMISES (OP),SHELTER-Agency,BLUE RECEIPT-SHL,N-03-11931,3,0.0,0.0,2.97,99.0,191.07,-188.1,RABUN,0.03,05/15/2025 06:41:00 PM,05/15/2025 02:26:06 PM,Price Code 1,CUSTOMER PICKUP,DR PEPPER BLACKBERRY,False,Rabun Warehouse,02,30525,Clayton
731,196025,690,F-138,Freedom Ministries Lighthouse,498328,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-03-10013,256,0.0,0.0,0.0,256.0,494.08,-494.08,RABUN,0.0,03/10/2025 10:11:00 AM,03/10/2025 11:01:44 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Sharing Floor Rabun,02-SH,30552,Lakemont
731,196885,688,F-138,Freedom Ministries Lighthouse,499184,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-01-10000,6,0.0,0.0,1.08,6.0,11.58,-10.5,RABUN,0.18,03/24/2025 10:11:00 AM,03/24/2025 10:34:17 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, SHL",False,Sharing Floor Rabun,02-SH,30552,Lakemont
824,203783,3007,R-124,Rabun Gap Presbyterian Church,504075,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10121,48,0.0,0.0,0.0,672.0,1296.96,-1296.96,RABUN,0.0,06/20/2025 08:57:00 AM,06/23/2025 08:45:08 AM,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,USDA MASHED POTATOES,False,Rabun Warehouse,02,30568,Rabun Gap
919,198369,8973,F-132,Fight Abuse in the Home (FAITH),FAIMPORT500664,,ON PREMISES (OP),SHELTER-Agency,BLUE RECEIPT-SHL,MCC-16-10001,10,0.0,0.0,0.0,10.0,19.3,-19.3,RABUN,0.0,04/14/2025 12:00:00 AM,04/14/2025 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"COOLER FOOD MISC., SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30525,Clayton
