Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
953,182162,9044,C-179,Crossview Church Food Pantry,484766,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10278,4,0.0,0.0,0.0,32.0,61.76,-61.76,BARROW,0.0,06/24/2024 10:30:01 AM,06/24/2024 01:15:06 PM,Price Code 1,VAN 1,"GNAP PASTA SIDE, ALFREDO ",False,Food Bank of Northeast Georgia,01,30548.0,Hoschton
479,176285,5388,W-118,Winder Wesleyan Church,478910,,FP/OP,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,3,0.0,0.0,0.54,3.0,8.79,-8.25,BARROW,0.18,02/27/2024 10:24:00 AM,02/27/2024 10:29:38 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Athens,01-SH,30680.0,Winder
172,175123,696,P-104,Project Adam Community Asst Ct,477752,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,W-25-10000,27,0.0,0.0,4.86,27.0,52.11,-47.25,BARROW,0.18,02/05/2024 01:41:00 PM,02/05/2024 11:03:33 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LL",False,Sharing Floor Athens,01-SH,30680.0,Winder
682,173185,683,C-170,Christ The King Ghana Methodist,476815,,DIRECT ASSISTANCE,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,81,0.0,0.0,14.58,81.0,237.33,-222.75,BARROW,0.18,01/17/2024 03:05:00 PM,01/17/2024 10:48:30 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Athens,01-SH,30680.0,Winder
1040,180765,4448,H-159,Hills Temple FBH Church,483371,,FP/OP/GNAP/USDA,FB DIRECT ASSISTANCE-Agency,USDA,F-50-90446,6,0.0,0.0,0.0,168.0,324.24,-324.24,BARROW,0.0,05/17/2024 09:15:01 AM,05/17/2024 10:44:24 AM,Price Code 1,CUSTOMER PICKUP,USDA FROZEN STRAWBERRY FRUIT CUPS,False,Food Bank of Northeast Georgia,01,30680.0,Winder
953,181721,8973,C-179,Crossview Church Food Pantry,FAIMPORT484325,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCC-16-10001,166,0.0,0.0,0.0,166.0,320.38,-320.38,BARROW,0.0,05/29/2024 12:00:00 AM,05/29/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"COOLER FOOD MISC., SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30548.0,Hoschton
1040,180109,9046,H-159,Hills Temple FBH Church,482717,,FP/OP/GNAP/USDA,FB DIRECT ASSISTANCE-Agency,GNAP,N-40-10280,5,0.0,0.0,0.0,50.0,96.5,-96.5,BARROW,0.0,05/07/2024 08:45:01 AM,05/07/2024 10:58:46 AM,Price Code 1,CUSTOMER PICKUP,GNAP CHEESEBURGER DINNER,False,Food Bank of Northeast Georgia,01,30680.0,Winder
29,181295,8970,B-107,Barrow County Food Pantry,FAIMPORT483900,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCW-16-10001,84,0.0,0.0,0.0,84.0,162.12,-162.12,BARROW,0.0,05/07/2024 12:00:00 AM,05/07/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"MISC. FOOD BOX, SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30680.0,Winder
172,175630,8947,P-104,Project Adam Community Asst Ct,478258,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,N-03-11811,5,0.0,0.0,0.0,90.0,173.7,-173.7,BARROW,0.0,02/20/2024 01:41:00 PM,02/20/2024 10:41:22 AM,Price Code 1,CUSTOMER PICKUP,PROPEL BERRY,False,Food Bank of Northeast Georgia,01,30680.0,Winder
867,180933,5938,Y-108,YMCA of GA's Piedmont- Barrow County,483539,,FP/OP/GNAP/USDA,AT-RISK YOUTH-Agency,BLUE RECEIPT-SHL,C-28-10001,196,0.0,0.0,5.88,196.0,378.28,-372.4,BARROW,0.03,05/16/2024 02:18:00 PM,05/16/2024 10:26:56 AM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH SHL",False,Sharing Floor Athens,01-SH,30680.0,Winder
917,172667,8903,C-161,Church at Pierce Rd.,476298,,FP/OP,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-16-10181,4,0.0,0.0,3.6,20.0,0.0,3.6,BARROW,0.18,01/12/2024 09:39:00 AM,01/12/2024 01:11:54 PM,Price Code 1,CUSTOMER PICKUP,STOVE TOP STUFFING - TURKEY/CHICKEN/CORNBREAD,False,Food Bank of Northeast Georgia,01,30680.0,Winder
864,172780,92,W-124,Winder Church of God of Prophecy,476411,,FP/OP,FOOD PANTRY-Agency,LOCAL - LL,W-01-10002,15,0.0,0.0,2.7,15.0,28.8,-26.1,BARROW,0.18,01/09/2024 12:22:00 PM,01/09/2024 08:27:13 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, LL",False,Sharing Floor Athens,01-SH,30680.0,Winder
864,173450,875,W-124,Winder Church of God of Prophecy,477079,,FP/OP,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,18,0.0,0.0,0.0,18.0,34.74,-34.74,BARROW,0.0,01/23/2024 12:22:00 PM,01/23/2024 08:22:03 AM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Sharing Floor Athens,01-SH,30680.0,Winder
781,176344,5938,R-130,"Richard C. Wilson Recovery Residence, INC",478969,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,C-28-10001,74,0.0,0.0,2.22,74.0,216.82,-214.6,BARROW,0.03,02/28/2024 09:09:00 AM,02/28/2024 08:41:01 AM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH SHL",False,Sharing Floor Athens,01-SH,30666.0,Statham
953,180171,123,C-179,Crossview Church Food Pantry,482777,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10002,10,0.0,0.0,0.0,150.0,289.5,-289.5,BARROW,0.0,05/08/2024 09:30:01 AM,05/09/2024 09:19:02 AM,Price Code 1,TRACTOR TRAILER 1,GNAP PEANUT BUTTER,False,Food Bank of Northeast Georgia,01,30548.0,Hoschton
29,175854,8914,B-107,Barrow County Food Pantry,478482,,FOOD PANTRY,FOOD PANTRY-Agency,USDA,N-50-10310,25,0.0,0.0,0.0,675.0,1302.75,-1302.75,BARROW,0.0,02/22/2024 07:00:00 AM,02/22/2024 06:27:59 AM,Price Code 1,TRACTOR TRAILER 1 MOBILE PANTRY,USDA DICED POTATOES,False,Food Bank of Northeast Georgia,01,30680.0,Winder
600,173468,8837,S-140,SYTGE (Seeing You Through God's Eyes) Outreach Ministry,477097,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11773,2,0.0,0.0,0.0,20.0,38.6,-38.6,BARROW,0.0,02/15/2024 09:30:00 AM,02/15/2024 10:15:54 AM,Price Code 1,CUSTOMER PICKUP,MT DEW PASSSIONFRUIT PUNCH,False,Food Bank of Northeast Georgia,01,30680.0,Winder
917,180566,7414,C-161,Church at Pierce Rd.,483172,,FP/OP,FOOD PANTRY-Agency,PURCH,C-28-90525,2,0.0,0.0,0.0,44.0,0.0,0.0,BARROW,0.0,05/24/2024 10:30:00 AM,05/24/2024 09:59:08 AM,Price Code 1,CUSTOMER PICKUP,BROCCOLI CROWNS,False,Food Bank of Northeast Georgia,01,30680.0,Winder
