Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
321,177391,8970,R-111,Royston Housing Authority,FAIMPORT480011,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCW-16-10001,59,0.0,0.0,0.0,59.0,0.0,0.0,FRANKLIN,0.0,03/12/2024 12:00:00 AM,03/12/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"MISC. FOOD BOX, SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30662.0,Royston
157,176949,696,N-103,New Beginnings Ministry,479571,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,W-25-10000,114,0.0,0.0,20.52,114.0,220.02,-199.5,FRANKLIN,0.18,03/08/2024 01:34:00 PM,03/08/2024 11:28:07 AM,Price Code 1,CONTACT FOR DELIVERY,"ASSORTED SNACK ITEMS, LL",False,Sharing Floor Athens,01-SH,30557.0,Martin
916,179600,875,W-125,World Outreach Ministries (d/b/a Ignited Church),482213,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,10,0.0,0.0,0.0,10.0,27.9,-27.9,FRANKLIN,0.0,04/25/2024 09:35:00 AM,04/25/2024 09:23:49 AM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Sharing Floor Athens,01-SH,30553.0,Lavonia
476,180442,3717,S-129,"Step of Faith Outreach, INC",483048,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10154,5,0.0,0.0,0.0,100.0,193.0,-193.0,FRANKLIN,0.0,05/13/2024 04:09:00 PM,05/14/2024 09:19:17 AM,Price Code 1,CUSTOMER PICKUP,"GNAP APPLE JUICE, SINGLE SERVE",False,Food Bank of Northeast Georgia,01,30553.0,Lavonia
973,177949,8940,G-134,The Grace Foundation: Family Transformation ,480568,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,C-28-90531,2,0.0,0.0,0.0,104.0,200.72,-200.72,FRANKLIN,0.0,04/03/2024 11:33:19 AM,04/03/2024 12:08:24 PM,Price Code 1,CUSTOMER PICKUP,"CABBAGE, SHL 50#",False,Food Bank of Northeast Georgia,01,30557.0,Martin
973,179425,1045,G-134,The Grace Foundation: Family Transformation ,482038,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-25-10009,183,0.0,0.0,32.94,183.0,353.19,-320.25,FRANKLIN,0.18,04/23/2024 09:54:00 AM,04/23/2024 09:58:29 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, SHL",False,Sharing Floor Athens,01-SH,30557.0,Martin
321,177585,8973,R-111,Royston Housing Authority,FAIMPORT480205,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,MCC-16-10001,12,0.0,0.0,0.0,12.0,0.0,0.0,FRANKLIN,0.0,03/18/2024 12:00:00 AM,03/18/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"COOLER FOOD MISC., SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30662.0,Royston
179,182301,9085,R-100,Rainbow Pantry,484905,,FP/USDA,FOOD PANTRY-Agency,USDA,F-50-90476,10,0.0,0.0,72.0,400.0,772.0,-700.0,FRANKLIN,0.18,06/26/2024 11:30:01 AM,06/27/2024 01:17:13 PM,Price Code 1,CONTACT FOR DELIVERY,USDA PORK LOIN BONELESS CHOPS CCC,False,Food Bank of Northeast Georgia,01,30662.0,Royston
973,175072,8937,G-134,The Grace Foundation: Family Transformation ,477702,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,N-03-11807,2,0.0,0.0,0.0,36.0,69.48,-69.48,FRANKLIN,0.0,02/09/2024 08:00:00 AM,02/09/2024 11:59:30 AM,Price Code 1,CUSTOMER PICKUP,GATORADE LEMON LIME ZERO SUGAR,False,Food Bank of Northeast Georgia,01,30557.0,Martin
321,172763,8909,R-111,Royston Housing Authority,476394,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,N-03-11795,6,0.0,0.0,18.36,102.0,196.86,-178.5,FRANKLIN,0.18,01/11/2024 02:45:00 PM,01/11/2024 12:16:25 PM,Price Code 1,CUSTOMER PICKUP,STARBUCKS VANILLA FRAPPUCCINO,False,Food Bank of Northeast Georgia,01,30662.0,Royston
