Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
836,180311,3203,G-122,Gordon's Chapel Methodist Church,482917,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10289,4,0.0,0.0,18.0,100.0,193.0,-175.0,MADISON,0.18,05/15/2024 02:15:00 PM,05/15/2024 01:29:43 PM,Price Code 1,CUSTOMER PICKUP,USDA PECAN PIECES,False,Food Bank of Northeast Georgia,01,30646.0,Hull
371,172804,92,E-111,Evangelical Methodist Church - Danielsville,476435,,FOOD PANTRY,FOOD PANTRY-Agency,LOCAL - LL,W-01-10002,12,0.0,0.0,2.16,12.0,23.04,-20.88,MADISON,0.18,01/09/2024 01:56:00 PM,01/09/2024 11:47:53 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, LL",False,Sharing Floor Athens,01-SH,30633.0,Danielsville
915,178700,8975,T-122,Tabors Chapel CME Church,FAIMPORT481314,,DIRECT ASSISTANCE,DIRECT ASSISTANCE-Agency,BLUE RECEIPT-SHL,MCC-07-10001,22,0.0,0.0,0.0,22.0,0.0,0.0,MADISON,0.0,04/08/2024 12:00:00 AM,04/08/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"DAIRY PRODUCTS, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30633.0,Danielsville
915,173936,3776,T-122,Tabors Chapel CME Church,477565,,DIRECT ASSISTANCE,DIRECT ASSISTANCE-Agency,BLUE RECEIPT-SHL,N-03-11125,5,0.0,0.0,0.0,165.0,318.45,-318.45,MADISON,0.0,02/05/2024 02:19:00 PM,02/05/2024 11:44:00 AM,Price Code 1,CUSTOMER PICKUP,PEPSI WILD CHERRY,False,Food Bank of Northeast Georgia,01,30633.0,Danielsville
799,176783,6780,C-149,Colbert Methodist Church,479406,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,C-50-10024,4,0.0,0.0,17.2,172.0,331.96,-314.76,MADISON,0.1,03/12/2024 07:56:00 AM,03/12/2024 12:44:22 PM,Price Code 1,CUSTOMER PICKUP,USDA APPLES,False,Food Bank of Northeast Georgia,01,30628.0,Colbert
137,173168,875,J-100,Jubilee Partners,476798,,FP/OP/GNAP,RESIDENTIAL-Agency,BLUE RECEIPT-SHL,W-04-10000,25,0.0,0.0,0.0,25.0,48.25,-48.25,MADISON,0.0,01/17/2024 01:23:00 PM,01/17/2024 09:04:58 AM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Sharing Floor Athens,01-SH,30629.0,Comer
371,180626,8970,E-111,Evangelical Methodist Church - Danielsville,FAIMPORT483232,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCW-16-10001,21,0.0,0.0,0.0,21.0,40.53,-40.53,MADISON,0.0,05/09/2024 12:00:00 AM,05/09/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"MISC. FOOD BOX, SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30633.0,Danielsville
371,180461,8975,E-111,Evangelical Methodist Church - Danielsville,FAIMPORT483067,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCC-07-10001,23,0.0,0.0,0.0,23.0,44.39,-44.39,MADISON,0.0,04/18/2024 12:00:00 AM,04/18/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"DAIRY PRODUCTS, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30633.0,Danielsville
981,181020,688,D-111,Divine Healing Ministry of Recovery Inc.,483625,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-01-10000,3,0.0,0.0,0.54,3.0,8.79,-8.25,MADISON,0.18,05/17/2024 11:38:00 AM,05/17/2024 11:43:43 AM,Price Code 1,CONTACT FOR DELIVERY,"ASSORTED NON-FOOD ITEMS, SHL",False,Sharing Floor Athens,01-SH,30633.0,Commerce
571,175776,8625,F-122,Freedom Church of God,478404,,FP/OP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11261,1,0.0,0.0,0.0,33.0,63.69,-63.69,MADISON,0.0,02/22/2024 02:21:00 PM,02/22/2024 02:22:53 PM,Price Code 1,CUSTOMER PICKUP,STARRY ZERO SUGAR 24 X 20 FL OZ,False,Food Bank of Northeast Georgia,01,30530.0,Commerce
