Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
451,179561,875,L-105,Lexington Baptist Church,482174,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,76,0.0,0.0,0.0,76.0,212.04,-212.04,OGLETHORPE,0.0,04/24/2024 02:30:00 PM,04/24/2024 11:47:17 AM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Sharing Floor Athens,01-SH,30648.0,Lexington
451,181753,8846,L-105,Lexington Baptist Church,484357,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11774,3,0.0,0.0,0.0,69.0,133.17,-133.17,OGLETHORPE,0.0,06/07/2024 12:00:01 PM,06/18/2024 02:23:27 PM,Price Code 1,CUSTOMER PICKUP,PURE LEAF UNSWEETENED TEA,False,Food Bank of Northeast Georgia,01,30648.0,Lexington
433,175502,1791,T-114,Thankful Baptist Church,478131,,FP/OP/GNAP/USDA,YOUTH-Agency,USDA,N-50-10079,13,0.0,0.0,0.0,338.0,652.34,-652.34,OGLETHORPE,0.0,02/17/2024 07:00:00 AM,02/17/2024 09:51:29 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA WALNUT HALVES AND PIECES,False,Food Bank of Northeast Georgia,01,30667.0,Stephens
713,176961,6420,B-136,Burt's United Methodist Church,479583,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,C-28-90141,2,0.0,0.0,0.0,100.0,193.0,-193.0,OGLETHORPE,0.0,03/19/2024 01:44:00 PM,03/19/2024 12:19:41 PM,Price Code 1,CUSTOMER PICKUP,ONIONS,False,Food Bank of Northeast Georgia,01,30627.0,Lexington
162,176625,8981,O-101,Oglethorpe County Senior Center,479248,,FP/OP/USDA,SENIOR-Agency,BLUE RECEIPT-SHL,F-15-90554,4,0.0,0.0,9.36,52.0,100.36,-91.0,OGLETHORPE,0.18,03/07/2024 01:38:00 PM,03/08/2024 12:51:49 PM,Price Code 1,CUSTOMER PICKUP,JENNIE-O TURKEY FRANKS,False,Food Bank of Northeast Georgia,01,30630.0,Crawford
451,178365,2202,L-105,Lexington Baptist Church,480981,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10240,15,0.0,0.0,0.0,330.0,636.9,-636.9,OGLETHORPE,0.0,04/08/2024 02:30:00 PM,04/11/2024 01:06:00 PM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA SPAGHETTI,False,Food Bank of Northeast Georgia,01,30648.0,Lexington
817,178738,170,F2KOGL,Food 2 Kids Oglethorpe County,481352,,DIRECT ASSISTANCE,DIRECT ASSISTANCE-Agency,USDA,N-50-10007,4,0.0,0.0,0.0,112.0,216.16,-216.16,OGLETHORPE,0.0,04/18/2024 03:30:00 PM,04/24/2024 11:26:26 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,"USDA CORN, WHOLE KERNEL NO SALT",False,Food Bank of Northeast Georgia,01,30607.0,Athens
433,182572,8973,T-114,Thankful Baptist Church,FAIMPORT485175,,FP/OP/GNAP/USDA,YOUTH-Agency,BLUE RECEIPT-SHL,MCC-16-10001,231,0.0,0.0,0.0,231.0,445.83,-445.83,OGLETHORPE,0.0,06/21/2024 12:00:00 AM,06/21/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"COOLER FOOD MISC., SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30667.0,Stephens
433,179434,875,T-114,Thankful Baptist Church,482047,,FP/OP/GNAP/USDA,YOUTH-Agency,BLUE RECEIPT-SHL,W-04-10000,1,0.0,0.0,0.0,1.0,2.79,-2.79,OGLETHORPE,0.0,04/23/2024 03:14:00 PM,04/23/2024 10:37:20 AM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Sharing Floor Athens,01-SH,30667.0,Stephens
940,176504,5407,O-114,Oconee Baptist Church ,479128,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-15-10000,32,0.0,0.0,5.76,32.0,61.76,-56.0,OGLETHORPE,0.18,03/01/2024 10:00:00 AM,03/01/2024 10:12:54 AM,Price Code 1,CONTACT FOR DELIVERY,"MEAT & SEAFOOD, FROZEN SHL",False,Sharing Floor Athens,01-SH,30667.0,Stephens
433,173781,2573,T-114,Thankful Baptist Church,477410,,FP/OP/GNAP/USDA,YOUTH-Agency,GNAP,N-40-10204,1,0.0,0.0,1.9,19.0,36.67,-34.77,OGLETHORPE,0.1,02/06/2024 03:14:00 PM,02/06/2024 11:20:57 AM,Price Code 1,CUSTOMER PICKUP,GNAP CHICKEN & RICE SOUP,False,Food Bank of Northeast Georgia,01,30667.0,Stephens
433,181880,688,T-114,Thankful Baptist Church,484484,,FP/OP/GNAP/USDA,YOUTH-Agency,BLUE RECEIPT-SHL,W-01-10000,105,0.0,0.0,18.9,105.0,307.65,-288.75,OGLETHORPE,0.18,06/04/2024 03:14:00 PM,06/04/2024 10:58:20 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, SHL",False,Sharing Floor Athens,01-SH,30667.0,Stephens
162,176818,8970,O-101,Oglethorpe County Senior Center,FAIMPORT479440,,FP/OP/USDA,SENIOR-Agency,BLUE RECEIPT-SHL,MCW-16-10001,7,0.0,0.0,0.0,7.0,0.0,0.0,OGLETHORPE,0.0,02/29/2024 12:00:00 AM,02/29/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"MISC. FOOD BOX, SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30630.0,Crawford
