Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
577,173969,8914,S-133,Sharing and Caring - Clayton,477598,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10310,1,0.0,0.0,4.86,27.0,52.11,-47.25,RABUN,0.18,02/06/2024 09:50:00 AM,02/06/2024 01:04:33 PM,Price Code 1,CUSTOMER PICKUP,USDA DICED POTATOES,False,Rabun Warehouse,02,30525.0,Clayton
731,180785,690,F-138,Freedom Ministries Lighthouse,483391,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-03-10013,242,0.0,0.0,7.26,242.0,467.06,-459.8,RABUN,0.03,05/14/2024 10:11:00 AM,05/14/2024 11:11:50 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Sharing Floor Rabun,02-SH,30552.0,Lakemont
577,178056,3122,S-133,Sharing and Caring - Clayton,480675,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10174,2,0.0,0.0,0.0,28.0,54.04,-54.04,RABUN,0.0,04/02/2024 09:50:00 AM,04/02/2024 01:35:38 PM,Price Code 1,CUSTOMER PICKUP,"GNAP BLACKEYE PEAS, LOW SODIUM",False,Rabun Warehouse,02,30525.0,Clayton
364,178102,696,M-110,Mountain Grove Baptist Church,480721,,FOOD PANTRY,FOOD PANTRY-Agency,LOCAL - LL,W-25-10000,81,0.0,0.0,14.58,81.0,156.33,-141.75,RABUN,0.18,04/02/2024 01:32:00 PM,04/02/2024 09:40:59 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LL",False,Rabun Warehouse,02,30525.0,Clayton
602,182057,170,10-NGAR,Food Bank of Northeast Georgia Rabun,484661,,FOOD BANK,EMERGENCY-Agency,USDA,N-50-10007,14,0.0,0.0,0.0,392.0,756.56,-756.56,RABUN,0.0,06/10/2024 08:55:00 AM,06/10/2024 07:40:15 AM,Price Code 1,CUSTOMER PICKUP,"USDA CORN, WHOLE KERNEL NO SALT",False,Rabun Warehouse,02,30525.0,Clayton
577,182434,683,S-133,Sharing and Caring - Clayton,485038,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,29,0.0,0.0,5.22,29.0,55.97,-50.75,RABUN,0.18,06/20/2024 09:50:00 AM,06/20/2024 01:48:42 PM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Rabun,02-SH,30525.0,Clayton
577,181142,690,S-133,Sharing and Caring - Clayton,483747,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,32,0.0,0.0,0.96,32.0,61.76,-60.8,RABUN,0.03,05/21/2024 09:50:00 AM,05/21/2024 01:33:48 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Sharing Floor Rabun,02-SH,30525.0,Clayton
773,180687,688,P-122,Persimmon Baptist Church,483293,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-01-10000,38,0.0,0.0,6.84,38.0,73.34,-66.5,RABUN,0.18,05/13/2024 11:44:00 AM,05/13/2024 08:06:05 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, SHL",False,Sharing Floor Rabun,02-SH,30525.0,Clayton
602,182521,5960,10-NGAR,Food Bank of Northeast Georgia Rabun,485124,,FOOD BANK,EMERGENCY-Agency,BLUE RECEIPT-SHL,C-07-10001,664,0.0,0.0,0.0,664.0,1281.52,-1281.52,RABUN,0.0,06/24/2024 08:55:00 AM,06/24/2024 09:34:34 AM,Price Code 1,CUSTOMER PICKUP,"DAIRY PRODUCT, ASSORTED SHL",False,Sharing Floor Rabun,02-SH,30525.0,Clayton
364,172535,5388,M-110,Mountain Grove Baptist Church,476166,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,159,0.0,0.0,28.62,159.0,306.87,-278.25,RABUN,0.18,01/04/2024 01:32:00 PM,01/04/2024 10:36:08 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Rabun,02-SH,30525.0,Clayton
