Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
411,173514,1045,M-103,Mt. Zion Ministries - The Refuge,477143,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-25-10009,23,0.0,0.0,4.14,23.0,44.39,-40.25,TOWNS,0.18,01/24/2024 02:31:00 PM,01/24/2024 08:30:11 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, SHL",False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee
526,173706,8914,T-118,Towns County Food Pantry,477335,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10310,20,0.0,0.0,97.2,540.0,1042.2,-945.0,TOWNS,0.18,01/30/2024 03:21:00 PM,01/30/2024 01:27:47 PM,Price Code 1,CUSTOMER PICKUP,USDA DICED POTATOES,False,Rabun Warehouse,02,30582.0,Young Harris
526,181091,3203,T-118,Towns County Food Pantry,483696,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10289,10,0.0,0.0,45.0,250.0,482.5,-437.5,TOWNS,0.18,05/23/2024 08:00:01 AM,05/23/2024 07:17:20 AM,Price Code 1,CUSTOMER PICKUP,USDA PECAN PIECES,False,Rabun Warehouse,02,30582.0,Young Harris
411,175603,690,M-103,Mt. Zion Ministries - The Refuge,478231,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-03-10013,133,0.0,0.0,3.99,133.0,256.69,-252.7,TOWNS,0.03,02/14/2024 02:31:00 PM,02/14/2024 08:27:01 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee
411,181175,5388,M-103,Mt. Zion Ministries - The Refuge,483780,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,F-16-10001,122,0.0,0.0,21.96,122.0,235.46,-213.5,TOWNS,0.18,05/22/2024 02:31:00 PM,05/22/2024 08:24:26 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee
411,177178,690,M-103,Mt. Zion Ministries - The Refuge,479799,,FP/USDA,FAITH-BASED-Agency,BLUE RECEIPT-SHL,W-03-10013,65,0.0,0.0,1.95,65.0,125.45,-123.5,TOWNS,0.03,03/13/2024 02:31:00 PM,03/13/2024 08:33:55 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Sharing Floor Rabun,02-SH,30546.0,Hiawassee
526,178642,9013,T-118,Towns County Food Pantry,481258,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10313,15,0.0,0.0,64.8,360.0,694.8,-630.0,TOWNS,0.18,04/15/2024 03:21:00 PM,04/15/2024 03:11:58 PM,Price Code 1,CUSTOMER PICKUP,USDA LIGHT RED KIDNEY BEANS 24/1LB,False,Rabun Warehouse,02,30582.0,Young Harris
526,181091,8714,T-118,Towns County Food Pantry,483696,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10303,10,0.0,0.0,0.0,240.0,463.2,-463.2,TOWNS,0.0,05/23/2024 08:00:01 AM,05/23/2024 07:17:20 AM,Price Code 1,CUSTOMER PICKUP,USDA GREEN SPLIT PEAS,False,Rabun Warehouse,02,30582.0,Young Harris
526,177621,170,T-118,Towns County Food Pantry,480241,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10007,20,0.0,0.0,100.8,560.0,1080.8,-980.0,TOWNS,0.18,03/26/2024 03:21:00 PM,03/26/2024 07:25:56 AM,Price Code 1,CUSTOMER PICKUP,"USDA CORN, WHOLE KERNEL NO SALT",False,Rabun Warehouse,02,30582.0,Young Harris
526,173364,8714,T-118,Towns County Food Pantry,476993,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10303,10,0.0,0.0,43.2,240.0,463.2,-420.0,TOWNS,0.18,01/24/2024 03:21:00 PM,01/24/2024 07:09:07 AM,Price Code 1,CUSTOMER PICKUP,USDA GREEN SPLIT PEAS,False,Rabun Warehouse,02,30582.0,Young Harris
