County,Month,Weight,TopAgency1Name,TopAgency1Weight,TopAgency2Name,TopAgency2Weight,Num. of Unique Agencies,Source
BANKS,2024-01,32735.0,Food 2 Kids Banks County,21948.0,"Get Real Ministries, Inc.",4014.0,7,FH 2024 Split by County
BANKS,2024-02,36713.0,Food 2 Kids Banks County,17153.0,"Get Real Ministries, Inc.",8290.0,7,FH 2024 Split by County
BANKS,2024-03,36113.0,Food 2 Kids Banks County,18059.0,"Get Real Ministries, Inc.",8698.0,7,FH 2024 Split by County
BANKS,2024-04,33352.0,Food 2 Kids Banks County,14334.0,"Get Real Ministries, Inc.",8027.0,7,FH 2024 Split by County
BANKS,2024-05,27341.0,Food 2 Kids Banks County,8707.0,"Get Real Ministries, Inc.",8099.0,7,FH 2024 Split by County
BANKS,2024-06,30560.5,Food 2 Kids Banks County,20145.5,"Homer Methodist Church, Inc.",3713.0,6,FH 2024 Split by County
BANKS,2025-01,15424.0,"Homer Methodist Church, Inc.",5711.0,"Get Real Ministries, Inc.",3386.0,8,FH 2025 Split by County
BANKS,2025-02,19740.0,"Get Real Ministries, Inc.",6340.0,"Homer Methodist Church, Inc.",5772.0,9,FH 2025 Split by County
BANKS,2025-03,34149.0,"Get Real Ministries, Inc.",10807.0,"Homer Methodist Church, Inc.",5357.0,11,FH 2025 Split by County
BANKS,2025-04,25943.0,"Get Real Ministries, Inc.",7604.0,"Homer Methodist Church, Inc.",6349.0,10,FH 2025 Split by County
BANKS,2025-05,35892.0,Food 2 Kids Banks County,10043.0,"Get Real Ministries, Inc.",6246.0,11,FH 2025 Split by County
BANKS,2025-06,49232.0,Food 2 Kids Banks County,35172.0,"Get Real Ministries, Inc.",8025.0,5,FH 2025 Split by County
BARROW,2024-01,94041.0,Barrow County Food Pantry,39217.0,"Spirit Of Sharing, INC",11201.0,14,FH 2024 Split by County
BARROW,2024-02,97985.0,Barrow County Food Pantry,30928.0,Food 2 Kids Barrow County,19678.0,14,FH 2024 Split by County
BARROW,2024-03,106478.0,Barrow County Food Pantry,40706.0,"Spirit Of Sharing, INC",12894.0,14,FH 2024 Split by County
BARROW,2024-04,112035.0,Barrow County Food Pantry,42821.0,Hills Temple FBH Church,12601.0,14,FH 2024 Split by County
BARROW,2024-05,102209.0,Barrow County Food Pantry,41183.0,"Spirit Of Sharing, INC",11547.0,16,FH 2024 Split by County
BARROW,2024-06,101910.9,Barrow County Food Pantry,46022.0,First Baptist Church of Carl,23018.0,14,FH 2024 Split by County
BARROW,2025-01,88057.0,Barrow County Food Pantry,43495.0,"Spirit Of Sharing, INC",12703.0,14,FH 2025 Split by County
BARROW,2025-02,89954.0,Barrow County Food Pantry,37919.0,"Spirit Of Sharing, INC",14143.0,14,FH 2025 Split by County
BARROW,2025-03,97124.0,Barrow County Food Pantry,40361.0,"Spirit Of Sharing, INC",13450.0,16,FH 2025 Split by County
BARROW,2025-04,101611.0,Barrow County Food Pantry,52920.0,"Spirit Of Sharing, INC",12000.0,15,FH 2025 Split by County
BARROW,2025-05,104132.0,Barrow County Food Pantry,33050.0,"Spirit Of Sharing, INC",19925.0,15,FH 2025 Split by County
BARROW,2025-06,99214.62,"Spirit Of Sharing, INC",27781.0,YMCA of GA's Piedmont- Barrow County,20569.0,15,FH 2025 Split by County
CLARKE,2024-01,486327.0,Mt. Olive SDA Church,97857.0,"City of Refuge Athens, INC",56088.0,55,FH 2024 Split by County
CLARKE,2024-02,441337.0,Mt. Olive SDA Church,100920.0,Cornerstone Food Pantry,40569.0,59,FH 2024 Split by County
CLARKE,2024-03,441877.0,Mt. Olive SDA Church,99662.0,FOOD BANK OF NEGA,60484.0,61,FH 2024 Split by County
CLARKE,2024-04,408270.0,Mt. Olive SDA Church,67230.0,Cornerstone Food Pantry,39439.0,63,FH 2024 Split by County
CLARKE,2024-05,520525.72,Mt. Olive SDA Church,128491.0,"City of Refuge Athens, INC",58848.0,66,FH 2024 Split by County
CLARKE,2024-06,421620.88,Mt. Olive SDA Church,134246.0,Cornerstone Food Pantry,50334.0,52,FH 2024 Split by County
CLARKE,2025-01,512755.0,Mt. Olive SDA Church,160728.0,Farm to Neighborhood,53495.0,61,FH 2025 Split by County
CLARKE,2025-02,586709.0,Mt. Olive SDA Church,137866.0,Farm to Neighborhood,72193.0,69,FH 2025 Split by County
CLARKE,2025-03,609612.0,Mt. Olive SDA Church,104221.0,FOOD BANK OF NEGA,100746.0,70,FH 2025 Split by County
CLARKE,2025-04,434326.0,Mt. Olive SDA Church,64078.0,Cornerstone Food Pantry,48008.0,69,FH 2025 Split by County
CLARKE,2025-05,436588.0,Farm to Neighborhood,97254.0,"City of Refuge Athens, INC",64020.0,60,FH 2025 Split by County
CLARKE,2025-06,483323.78,Farm to Neighborhood,106752.0,Cornerstone Food Pantry,64332.0,59,FH 2025 Split by County
ELBERT,2025-01,41765.0,SafeHouse Ministries,22883.0,Elbert County UMC Food Ministry,12186.0,5,FH 2025 Split by County
ELBERT,2025-02,22644.0,Elbert County UMC Food Ministry,12678.0,SafeHouse Ministries,9897.0,3,FH 2025 Split by County
ELBERT,2025-03,22272.0,SafeHouse Ministries,8841.0,Elbert County UMC Food Ministry,7799.0,4,FH 2025 Split by County
ELBERT,2025-04,21547.0,Elbert County UMC Food Ministry,9396.0,SafeHouse Ministries,7905.0,5,FH 2025 Split by County
ELBERT,2025-05,15101.0,SafeHouse Ministries,10101.0,Elbert County UMC Food Ministry,3562.0,4,FH 2025 Split by County
ELBERT,2025-06,27528.5,SafeHouse Ministries,15475.5,Elbert County UMC Food Ministry,8176.0,5,FH 2025 Split by County
FRANKLIN,2024-01,52225.0,The Grace Foundation: Family Transformation ,29798.0,Lavonia Church of God,11784.0,8,FH 2024 Split by County
FRANKLIN,2024-02,36729.0,The Grace Foundation: Family Transformation ,12717.0,Lavonia Church of God,11929.0,7,FH 2024 Split by County
FRANKLIN,2024-03,41092.0,Rainbow Pantry,16964.0,Lavonia Church of God,11837.0,7,FH 2024 Split by County
FRANKLIN,2024-04,46270.0,Lavonia Church of God,12684.0,The Grace Foundation: Family Transformation ,12320.0,7,FH 2024 Split by County
FRANKLIN,2024-05,49140.0,Lavonia Church of God,13051.0,New Beginnings Ministry,9330.0,8,FH 2024 Split by County
FRANKLIN,2024-06,35570.7,Lavonia Church of God,14329.0,Rainbow Pantry,13319.7,6,FH 2024 Split by County
FRANKLIN,2025-01,26057.0,Rainbow Pantry,17100.0,New Beginnings Ministry,6054.0,5,FH 2025 Split by County
FRANKLIN,2025-02,45125.0,Rainbow Pantry,17457.0,Lavonia Church of God,13015.0,6,FH 2025 Split by County
FRANKLIN,2025-03,44766.0,Rainbow Pantry,19980.0,Lavonia Church of God,12985.0,6,FH 2025 Split by County
FRANKLIN,2025-04,51281.0,Rainbow Pantry,15085.0,Lavonia Church of God,12746.0,8,FH 2025 Split by County
FRANKLIN,2025-05,54542.0,Rainbow Pantry,19146.0,Lavonia Church of God,12017.0,9,FH 2025 Split by County
FRANKLIN,2025-06,41428.08,Rainbow Pantry,17922.0,Lavonia Church of God,11384.0,7,FH 2025 Split by County
HABERSHAM,2024-01,93725.0,Open Door Food Ministry (The Torch Church of God),54032.0,First Presbyterian Church of Cornelia,16765.0,18,FH 2024 Split by County
HABERSHAM,2024-02,102619.0,Open Door Food Ministry (The Torch Church of God),66989.0,First Presbyterian Church of Cornelia,7707.0,18,FH 2024 Split by County
HABERSHAM,2024-03,87941.0,Open Door Food Ministry (The Torch Church of God),64409.0,Life Church Baldwin,4566.0,18,FH 2024 Split by County
HABERSHAM,2024-04,117411.0,Open Door Food Ministry (The Torch Church of God),57610.0,Demorest Baptist Church,27960.0,18,FH 2024 Split by County
HABERSHAM,2024-05,145321.0,Open Door Food Ministry (The Torch Church of God),98680.0,First Presbyterian Church of Cornelia,15697.0,18,FH 2024 Split by County
HABERSHAM,2024-06,38191.0,Open Door Food Ministry (The Torch Church of God),23603.0,Clarkesville Church of God,4157.0,14,FH 2024 Split by County
HABERSHAM,2025-01,104051.0,Open Door Food Ministry (The Torch Church of God),53487.0,First Presbyterian Church of Cornelia,15277.0,22,FH 2025 Split by County
HABERSHAM,2025-02,115923.0,Open Door Food Ministry (The Torch Church of God),60951.0,First Presbyterian Church of Cornelia,8658.0,20,FH 2025 Split by County
HABERSHAM,2025-03,114188.0,Open Door Food Ministry (The Torch Church of God),83581.0,Clarkesville Church of God,4528.0,20,FH 2025 Split by County
HABERSHAM,2025-04,96100.0,Open Door Food Ministry (The Torch Church of God),54072.0,First Presbyterian Church of Cornelia,8992.0,23,FH 2025 Split by County
HABERSHAM,2025-05,110071.0,Open Door Food Ministry (The Torch Church of God),60311.0,The Everyday Good F2K,13933.0,21,FH 2025 Split by County
HABERSHAM,2025-06,138564.6,Open Door Food Ministry (The Torch Church of God),88457.0,Goodwill NEGA Habersham,9769.6,22,FH 2025 Split by County
HART,2024-01,33740.0,Hart County Cupboard,11371.0,"Christian Worship Assembly, INC",9562.0,5,FH 2024 Split by County
HART,2024-02,29091.0,Hart County Cupboard,19853.0,Cornerstone Baptist Church,6902.0,5,FH 2024 Split by County
HART,2024-03,27307.0,Hart County Cupboard,13213.0,Cornerstone Baptist Church,9089.0,5,FH 2024 Split by County
HART,2024-04,29715.0,"Christian Worship Assembly, INC",11188.0,Cornerstone Baptist Church,8625.0,8,FH 2024 Split by County
HART,2024-05,29822.0,Hart County Cupboard,14364.0,Cornerstone Baptist Church,8555.0,6,FH 2024 Split by County
HART,2024-06,24876.0,Hart County Cupboard,12522.0,Cornerstone Baptist Church,8308.0,6,FH 2024 Split by County
HART,2025-01,37351.0,"Christian Worship Assembly, INC",14785.0,Cornerstone Baptist Church,8005.0,8,FH 2025 Split by County
HART,2025-02,42307.0,Anointed Hands Outreach Ministry Inc,8686.0,"Christian Worship Assembly, INC",7883.0,9,FH 2025 Split by County
HART,2025-03,22215.0,Cornerstone Baptist Church,10372.0,Hart County ALC/MSFP,4779.0,7,FH 2025 Split by County
HART,2025-04,36309.0,"Christian Worship Assembly, INC",17236.0,Cornerstone Baptist Church,7725.0,8,FH 2025 Split by County
HART,2025-05,19680.0,Cornerstone Baptist Church,8123.0,Hart County ALC/MSFP,3102.0,8,FH 2025 Split by County
HART,2025-06,16765.0,Hart County ALC/MSFP,10048.0,"Christian Worship Assembly, INC",3097.0,8,FH 2025 Split by County
JACKSON,2024-01,203123.0,iServe Ministries,114198.0,Potters House (Atlanta Mission),24842.0,17,FH 2024 Split by County
JACKSON,2024-02,200650.0,iServe Ministries,119281.0,Church of God of Prophecy - Hoschton,28428.0,15,FH 2024 Split by County
JACKSON,2024-03,201036.0,iServe Ministries,133387.0,New Beginnings Worship Center,14128.0,18,FH 2024 Split by County
JACKSON,2024-04,189228.0,iServe Ministries,115112.0,Potters House (Atlanta Mission),16963.0,19,FH 2024 Split by County
JACKSON,2024-05,194019.0,iServe Ministries,116696.0,New Beginnings Worship Center,19745.0,17,FH 2024 Split by County
JACKSON,2024-06,186886.6,iServe Ministries,127097.0,Potters House (Atlanta Mission),17848.8,16,FH 2024 Split by County
