Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
439,152792,48,N-114,New Life Fellowship,456900,,FP/USDA,EMERGENCY-Agency,LFB,W-16-10000,150,0.0,0.0,15.0,150.0,288.0,-273.0,BANKS,0.1,08/31/2022 02:32:00 PM,08/31/2022 10:24:02 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX LFB,False,Food Bank of Northeast Georgia,1,30510.0,Alto
805,156684,125,D-105,Damascus Baptist Church,460570,,FP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10017,3,0.0,0.0,7.02,39.0,74.88,-67.86,BANKS,0.18,12/13/2022 02:05:00 PM,12/13/2022 08:54:09 AM,Price Code 1,CUSTOMER PICKUP,GNAP MACARONI & CHEESE,False,Food Bank of Northeast Georgia,1,30547.0,Homer
845,155327,3943,H-146,"Homer Methodist Church, Inc.",459223,,FP/OP/USDA,FOOD PANTRY-Agency,USDA,N-50-10268,8,0.0,0.0,9.12,304.0,583.68,-574.56,BANKS,0.03,11/03/2022 08:50:00 AM,11/03/2022 10:11:44 AM,Price Code 1,CUSTOMER PICKUP,USDA APPLE JUICE,False,Food Bank of Northeast Georgia,1,30547.0,Homer
805,161136,4990,D-105,Damascus Baptist Church,465003,,FP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,F-15-10002,72,0.0,0.0,12.96,72.0,138.24,-125.28,BANKS,0.18,04/11/2023 02:05:00 PM,04/11/2023 10:10:14 AM,Price Code 1,CUSTOMER PICKUP,"MEAT & SEAFOOD, FROZEN SHD",False,Food Bank of Northeast Georgia,1,30547.0,Homer
459,154928,4091,A-138,Alto C.H. Church Benevolent- The Grace House,458826,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10257,10,0.0,0.0,48.6,270.0,483.3,-434.7,BANKS,0.18,11/03/2022 10:00:00 AM,11/03/2022 10:35:19 AM,Price Code 1,CUSTOMER PICKUP,USDA TRADITIONAL PASTA SAUCE,False,Rabun Warehouse,2,30510.0,Alto
805,162093,683,D-105,Damascus Baptist Church,465958,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,43,0.0,0.0,4.3,43.0,82.56,-78.26,BANKS,0.1,05/05/2023 02:05:00 PM,05/05/2023 11:23:34 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Food Bank of Northeast Georgia,1,30547.0,Homer
845,153938,1045,H-146,"Homer Methodist Church, Inc.",457840,,FP/OP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-25-10009,111,0.0,0.0,19.98,111.0,213.12,-193.14,BANKS,0.18,09/26/2022 08:50:00 AM,09/26/2022 10:34:31 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, SHL",False,Food Bank of Northeast Georgia,1,30547.0,Homer
774,161732,8498,FBBB-17,Banks: Homer UMC Senior Staples Program,465597,,BROWN BAG,FB BROWN BAG-Agency,YELLOW RECEIPT - SHN,N-05-10174,4,0.0,0.0,0.0,52.0,99.84,-99.84,BANKS,0.0,04/28/2023 01:42:00 PM,05/09/2023 08:46:17 AM,Mobile Pantry/Feed Site Only,CUSTOMER PICKUP,"GRANOLA CEREAL, NATURE VALLEY OAT & HONEY",False,Food Bank of Northeast Georgia,1,30547.0,Homer
439,154050,1045,N-114,New Life Fellowship,457951,,FP/USDA,EMERGENCY-Agency,BLUE RECEIPT-SHL,W-25-10009,123,0.0,0.0,22.14,123.0,236.16,-214.02,BANKS,0.18,09/28/2022 02:32:00 PM,09/28/2022 10:23:56 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, SHL",False,Food Bank of Northeast Georgia,1,30510.0,Alto
459,158229,4091,A-138,Alto C.H. Church Benevolent- The Grace House,462111,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10257,8,0.0,0.0,38.88,216.0,414.72,-375.84,BANKS,0.18,02/02/2023 11:00:00 AM,02/02/2023 11:36:36 AM,Price Code 1,CUSTOMER PICKUP,USDA TRADITIONAL PASTA SAUCE,False,Rabun Warehouse,2,30510.0,Alto
