Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
973,157809,875,G-134,The Grace Foundation: Family Transformation ,461692,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-04-10000,12,0.0,0.0,0.0,12.0,23.04,-23.04,FRANKLIN,0.0,01/13/2023 10:47:00 AM,01/17/2023 07:52:46 AM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Food Bank of Northeast Georgia,1,30557.0,Martin
916,155296,7390,W-125,World Outreach Ministries (d/b/a Ignited Church),459192,,FOOD PANTRY,FOOD PANTRY-Agency,PURCH,C-28-90518,1,0.0,0.0,0.0,20.0,38.4,-38.4,FRANKLIN,0.0,11/03/2022 09:35:00 AM,11/03/2022 09:36:21 AM,Price Code 1,CUSTOMER PICKUP,"SQUASH, YELLOW",False,Food Bank of Northeast Georgia,1,30553.0,Lavonia
916,153748,5407,W-125,World Outreach Ministries (d/b/a Ignited Church),457650,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-15-10000,20,0.0,0.0,3.6,20.0,38.4,-34.8,FRANKLIN,0.18,09/20/2022 09:35:00 AM,09/20/2022 10:39:24 AM,Price Code 1,CUSTOMER PICKUP,"MEAT & SEAFOOD, FROZEN SHL",False,Food Bank of Northeast Georgia,1,30553.0,Lavonia
157,158785,8492,N-103,New Beginnings Ministry,462659,,ON PREMISES (OP),REHAB-Agency,YELLOW RECEIPT - SHN,N-02-10026,2,0.0,0.0,1.44,8.0,15.36,-13.92,FRANKLIN,0.18,02/10/2023 09:00:00 AM,02/10/2023 09:59:41 AM,Price Code 1,CONTACT FOR DELIVERY,GERBER NATURAL VEGGIE POWER SWEET POT/APPLE/PUMPKIN,False,Food Bank of Northeast Georgia,1,30557.0,Martin
179,152659,7300,R-100,Rainbow Pantry,456768,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10296,8,0.0,0.0,33.12,184.0,329.36,-296.24,FRANKLIN,0.18,09/01/2022 12:00:00 AM,09/02/2022 06:39:31 AM,Price Code 1,TRUCK 1,USDA CANNED WHITE CHICKEN,False,Food Bank of Northeast Georgia,1,30662.0,Royston
321,150881,7345,R-111,Royston Housing Authority,454994,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,BLUE RECEIPT-SHL,N-05-10165,1,0.0,0.0,1.8,10.0,19.2,-17.4,FRANKLIN,0.18,07/15/2022 12:00:00 AM,07/27/2022 10:34:36 AM,Price Code 1,CUSTOMER PICKUP,COCOA PEBBLES CEREAL,False,Food Bank of Northeast Georgia,1,30662.0,Royston
157,162646,8601,N-103,New Beginnings Ministry,466511,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,N-03-11250,2,0.0,0.0,6.12,34.0,65.28,-59.16,FRANKLIN,0.18,05/26/2023 10:00:00 AM,05/26/2023 10:37:18 AM,Price Code 1,CONTACT FOR DELIVERY,DIET DR PEPPER,False,Food Bank of Northeast Georgia,1,30557.0,Martin
916,159755,683,W-125,World Outreach Ministries (d/b/a Ignited Church),463626,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,32,0.0,0.0,3.2,32.0,0.0,3.2,FRANKLIN,0.1,03/03/2023 09:35:00 AM,03/03/2023 09:16:10 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Food Bank of Northeast Georgia,1,30553.0,Lavonia
916,151662,690,W-125,World Outreach Ministries (d/b/a Ignited Church),455773,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,593,0.0,0.0,17.79,593.0,1061.47,-1043.68,FRANKLIN,0.03,08/01/2022 09:35:00 AM,08/01/2022 10:30:22 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Food Bank of Northeast Georgia,1,30553.0,Lavonia
321,155594,7405,R-111,Royston Housing Authority,459488,,FP/OP/USDA,AFTER SCHOOL PROGRAM-Agency,LOCAL - LL,N-25-11849,2,0.0,0.0,1.8,10.0,19.2,-17.4,FRANKLIN,0.18,11/11/2022 02:45:00 PM,11/14/2022 12:50:18 PM,Price Code 1,CUSTOMER PICKUP,PEANUT BUTTER M&M'S,False,Food Bank of Northeast Georgia,1,30662.0,Royston
