Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
966,159672,8523,B-137,Bethany Baptist Church,463543,,FP/GNAP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-06-10105,4,0.0,0.0,14.4,80.0,153.6,-139.2,HART,0.18,03/15/2023 10:00:00 AM,03/15/2023 09:59:51 AM,Price Code 1,CONTACT FOR DELIVERY,HUNTS TRADITIONAL PASTA SAUCE,False,Food Bank of Northeast Georgia,1,30520.0,Canon
733,156936,170,FBBB-20,Hart: Hart County Clothes Closet Senior Staples Program,460820,,BROWN BAG,FB BROWN BAG-Agency,USDA,N-50-10007,7,0.0,0.0,0.0,196.0,376.32,-376.32,HART,0.0,12/14/2022 11:13:00 AM,12/14/2022 07:25:19 AM,Mobile Pantry/Feed Site Only,CUSTOMER PICKUP,"USDA CORN, WHOLE KERNEL NO SALT",False,Rabun Warehouse,2,30643.0,Hartwell
966,163350,8615,B-137,Bethany Baptist Church,467212,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-25-11889,2,0.0,0.0,1.44,8.0,15.36,-13.92,HART,0.18,06/14/2023 09:00:00 AM,06/14/2023 09:24:37 AM,Price Code 1,CUSTOMER PICKUP,GOLDEN GRAHAM SMORES BARS,False,Food Bank of Northeast Georgia,1,30520.0,Canon
482,152678,690,H-134,Hart County Cupboard,456787,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,2000,0.0,0.0,0.0,2000.0,3840.0,-3840.0,HART,0.0,09/02/2022 02:26:00 PM,09/02/2022 08:59:43 AM,Price Code 1,TRUCK 2 MOBILE PANTRY,"ASSORTED BEVERAGES, SHL",False,Rabun Warehouse,2,30643.0,Hartwell
696,156663,2202,C-174,Cornerstone Baptist Church,460550,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10240,13,0.0,0.0,0.0,286.0,511.94,-511.94,HART,0.0,12/13/2022 04:09:00 PM,12/13/2022 01:59:41 PM,Price Code 1,TRUCK 2 MOBILE PANTRY,USDA SPAGHETTI,False,Rabun Warehouse,2,30643.0,Hartwell
672,153915,2292,C-167,"Christian Worship Assembly, INC",457817,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10228,13,0.0,0.0,0.0,325.0,581.75,-581.75,HART,0.0,09/24/2022 04:24:00 PM,09/26/2022 07:45:22 AM,Price Code 1,TRUCK 2 MOBILE PANTRY,USDA SMALL ELBOW MACARONI,False,Rabun Warehouse,2,30643.0,Hartwell
696,155711,573,C-174,Cornerstone Baptist Church,459602,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10037,13,0.0,0.0,0.0,351.0,673.92,-673.92,HART,0.0,11/16/2022 04:09:00 PM,11/16/2022 03:21:16 PM,Price Code 1,TRUCK 2 MOBILE PANTRY,USDA BLACKEYE PEAS,False,Rabun Warehouse,2,30643.0,Hartwell
660,161409,2862,FBBB-7,Hart: Hart County Senior Center Senior Staples Program,465274,,BROWN BAG,FB BROWN BAG-Agency,USDA,N-50-10115,2,0.0,0.0,0.0,54.0,103.68,-103.68,HART,0.0,04/18/2023 04:29:00 PM,04/18/2023 12:04:58 PM,Mobile Pantry/Feed Site Only,CUSTOMER PICKUP,USDA DARK RED KIDNEY BEANS CCC,False,Rabun Warehouse,2,30643.0,Hartwell
966,159672,7094,B-137,Bethany Baptist Church,463543,,FP/GNAP/USDA,FOOD PANTRY-Agency,PURCH,N-21-10056,8,0.0,0.0,17.28,96.0,184.32,-167.04,HART,0.18,03/15/2023 10:00:00 AM,03/15/2023 09:59:51 AM,Price Code 1,CONTACT FOR DELIVERY,MACARONI & CHEESE,False,Food Bank of Northeast Georgia,1,30520.0,Canon
696,152177,7308,C-174,Cornerstone Baptist Church,456287,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10249,13,0.0,0.0,0.0,299.0,574.08,-574.08,HART,0.0,08/16/2022 04:09:00 PM,08/16/2022 09:55:59 AM,Price Code 1,TRUCK 2 MOBILE PANTRY,GNAP PANCAKE SYRUP,False,Rabun Warehouse,2,30643.0,Hartwell
660,155080,84,FBBB-7,Hart: Hart County Senior Center Senior Staples Program,458977,,BROWN BAG,FB BROWN BAG-Agency,USDA,N-50-10006,2,0.0,0.0,0.0,54.0,103.68,-103.68,HART,0.0,10/26/2022 04:29:00 PM,10/26/2022 09:24:57 AM,Mobile Pantry/Feed Site Only,CUSTOMER PICKUP,USDA GREEN BEANS,False,Rabun Warehouse,2,30643.0,Hartwell
