Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
909,151793,2960,C-162,Center United Methodist Church (Center UMC),455904,,FP/OP/USDA,FOOD PANTRY-Agency,USDA,N-50-10247,13,0.0,0.0,0.0,468.0,898.56,-898.56,JACKSON,0.0,08/13/2022 08:00:00 AM,08/13/2022 06:40:07 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA BEEF STEW POUCHES CCC,False,Food Bank of Northeast Georgia,1,30607.0,Athens
924,157409,5407,W-131,White Plains Baptist Church ,461292,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-15-10000,69,0.0,0.0,12.42,69.0,132.48,-120.06,JACKSON,0.18,01/03/2023 10:31:00 AM,01/10/2023 08:05:20 AM,Price Code 1,CONTACT FOR DELIVERY,"MEAT & SEAFOOD, FROZEN SHL",False,Food Bank of Northeast Georgia,1,30549.0,Jefferson
909,163469,8639,C-162,Center United Methodist Church (Center UMC),467331,,FP/OP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-12-10097,4,0.0,0.0,2.88,16.0,30.72,-27.84,JACKSON,0.18,06/16/2023 10:27:00 PM,06/23/2023 10:04:19 AM,Price Code 1,CUSTOMER PICKUP,GILLETTE JOY DISPOSABLE RAZORS,False,Food Bank of Northeast Georgia,1,30607.0,Athens
592,162878,5388,F-135,Favor House,466743,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,F-16-10001,67,0.0,0.0,12.06,67.0,128.64,-116.58,JACKSON,0.18,05/25/2023 09:13:00 AM,05/25/2023 01:56:55 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Food Bank of Northeast Georgia,1,30565.0,Nicohlson
715,158647,1668,MP-O109,Open Door/The Torch Jackson County MP,462524,,FP/GNAP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10071,25,0.0,0.0,0.0,675.0,1296.0,-1296.0,JACKSON,0.0,02/03/2023 07:00:00 AM,03/27/2023 07:50:50 AM,Price Code 1,CUSTOMER PICKUP,USDA MIXED VEGETABLES,False,Food Bank of Northeast Georgia,1,,
873,155823,3943,G-125,Handfuls of Purpose (God's Cupboard),459714,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10268,6,0.0,0.0,6.84,228.0,437.76,-430.92,JACKSON,0.03,11/18/2022 11:00:00 AM,11/29/2022 11:43:09 AM,Price Code 1,CUSTOMER PICKUP,USDA APPLE JUICE,False,Food Bank of Northeast Georgia,1,30549.0,Jefferson
909,157619,2202,C-162,Center United Methodist Church (Center UMC),461502,,FP/OP/USDA,FOOD PANTRY-Agency,USDA,N-50-10240,15,0.0,0.0,0.0,330.0,633.6,-633.6,JACKSON,0.0,01/14/2023 08:00:00 AM,01/17/2023 07:51:57 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA SPAGHETTI,False,Food Bank of Northeast Georgia,1,30607.0,Athens
873,156795,50,G-125,Handfuls of Purpose (God's Cupboard),460679,,FP/USDA,FOOD PANTRY-Agency,LOCAL - LL,W-16-10002,336,0.0,0.0,33.6,336.0,645.12,-611.52,JACKSON,0.1,12/09/2022 12:29:00 PM,12/09/2022 11:21:32 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX LL,False,Food Bank of Northeast Georgia,1,30549.0,Jefferson
138,150857,7335,J-101,Jackson County Senior Center,454970,,FP/OP,SENIOR-Agency,LOCAL - LL,N-12-10085,2,0.0,0.0,3.24,18.0,32.22,-28.98,JACKSON,0.18,07/12/2022 12:00:00 AM,07/13/2022 08:44:27 AM,Price Code 1,CUSTOMER PICKUP,CREST TOOTHPASTE W/ SCOPE 3 IN 1,False,Food Bank of Northeast Georgia,1,30549.0,Jefferson
404,155740,7397,C-127,"Christian Outreach Ministries, INC",459631,,FP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11230,30,0.0,0.0,15.0,300.0,576.0,-561.0,JACKSON,0.05,11/15/2022 02:54:00 PM,11/18/2022 11:15:26 AM,Price Code 1,CONTACT FOR DELIVERY,SILVER FALLS PURIFIED WATER,False,Food Bank of Northeast Georgia,1,30529.0,Commerce
