Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
50,152489,683,C-111,Churches Homes Foundation,456598,,ON PREMISES (OP),YOUTH-Agency,BLUE RECEIPT-SHL,W-16-10001,36,0.0,0.0,3.6,36.0,69.12,-65.52,OCONEE,0.1,08/23/2022 12:16:00 PM,08/23/2022 09:10:37 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Food Bank of Northeast Georgia,1,30622.0,Bogart
50,154748,5772,C-111,Churches Homes Foundation,458646,,ON PREMISES (OP),YOUTH-Agency,LOCAL - LL,C-28-10000,15,0.0,0.0,0.45,15.0,28.8,-28.35,OCONEE,0.03,10/18/2022 12:16:00 PM,10/18/2022 09:08:40 AM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH LL",False,Food Bank of Northeast Georgia,1,30622.0,Bogart
643,155915,5938,G-131,"Grace Fellowship Church, INC",459806,,FP/USDA,MOBILE PANTRY-Agency,BLUE RECEIPT-SHL,C-28-10001,700,0.0,0.0,0.0,700.0,1344.0,-1344.0,OCONEE,0.0,11/16/2022 02:00:00 PM,11/18/2022 07:11:35 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,"PRODUCE, FRESH SHL",False,Food Bank of Northeast Georgia,1,30622.0,Bogart
50,150991,5772,C-111,Churches Homes Foundation,455104,,ON PREMISES (OP),YOUTH-Agency,LOCAL - LL,C-28-10000,42,0.0,0.0,1.26,42.0,75.18,-73.92,OCONEE,0.03,07/12/2022 12:16:00 PM,07/12/2022 09:13:51 AM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH LL",False,Food Bank of Northeast Georgia,1,30622.0,Bogart
643,151438,1793,G-131,"Grace Fellowship Church, INC",455549,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10075,13,0.0,0.0,0.0,351.0,628.29,-628.29,OCONEE,0.0,07/28/2022 03:00:00 PM,07/29/2022 06:32:55 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA SPAGHETTI SAUCE,False,Food Bank of Northeast Georgia,1,30622.0,Bogart
768,155806,79,L-110,Living Word Baptist Church,459697,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10004,10,0.0,0.0,0.0,270.0,518.4,-518.4,OCONEE,0.0,11/15/2022 02:30:00 PM,11/15/2022 01:49:51 PM,Price Code 1,TRUCK 1 MOBILE PANTRY,"USDA SALMON, CANNED",False,Food Bank of Northeast Georgia,1,30622.0,Bogart
768,159213,7418,L-110,Living Word Baptist Church,463084,,FP/USDA,MOBILE PANTRY-Agency,YELLOW RECEIPT - SHN,N-12-10088,9,0.0,0.0,0.0,243.0,466.56,-466.56,OCONEE,0.0,02/21/2023 03:00:00 PM,02/28/2023 07:53:20 AM,Price Code 1,TRUCK 2 MOBILE PANTRY,BEROCCA BOOST EFFERVESCENT,False,Food Bank of Northeast Georgia,1,30622.0,Bogart
768,157799,2202,L-110,Living Word Baptist Church,461682,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10240,15,0.0,0.0,0.0,330.0,633.6,-633.6,OCONEE,0.0,01/17/2023 03:00:00 PM,01/19/2023 07:12:54 AM,Price Code 1,TRUCK 2 MOBILE PANTRY,USDA SPAGHETTI,False,Food Bank of Northeast Georgia,1,30622.0,Bogart
50,160900,690,C-111,Churches Homes Foundation,464768,,ON PREMISES (OP),YOUTH-Agency,BLUE RECEIPT-SHL,W-03-10013,80,0.0,0.0,2.4,80.0,153.6,-151.2,OCONEE,0.03,04/04/2023 12:16:00 PM,04/04/2023 09:15:24 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Food Bank of Northeast Georgia,1,30622.0,Bogart
643,153779,1098,G-131,"Grace Fellowship Church, INC",457681,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10096,10,0.0,0.0,0.0,250.0,447.5,-447.5,OCONEE,0.0,09/22/2022 02:30:00 PM,09/23/2022 06:29:38 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA RAISINS CCC,False,Food Bank of Northeast Georgia,1,30622.0,Bogart
50,164177,688,C-111,Churches Homes Foundation,468039,,ON PREMISES (OP),YOUTH-Agency,BLUE RECEIPT-SHL,W-01-10000,44,0.0,0.0,0.0,44.0,84.48,-84.48,OCONEE,0.0,06/27/2023 12:16:00 PM,06/27/2023 09:11:07 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, SHL",False,Food Bank of Northeast Georgia,1,30622.0,Bogart
50,153469,50,C-111,Churches Homes Foundation,457374,,ON PREMISES (OP),YOUTH-Agency,LOCAL - LL,W-16-10002,19,0.0,0.0,1.9,19.0,36.48,-34.58,OCONEE,0.1,09/13/2022 12:16:00 PM,09/13/2022 09:04:38 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX LL,False,Food Bank of Northeast Georgia,1,30622.0,Bogart
163,151598,1605,O-102,Oconee County Senior Center,455709,,ON PREMISES (OP),SENIOR-Agency,LFB,W-25-10012,26,0.0,0.0,0.0,26.0,42.9,-42.9,OCONEE,0.0,07/29/2022 01:38:00 PM,07/29/2022 09:28:26 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LFB",False,Food Bank of Northeast Georgia,1,30622.0,Bogart
50,161952,92,C-111,Churches Homes Foundation,465817,,ON PREMISES (OP),YOUTH-Agency,LOCAL - LL,W-01-10002,52,0.0,0.0,0.0,52.0,99.84,-99.84,OCONEE,0.0,05/02/2023 12:16:00 PM,05/02/2023 09:21:03 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, LL",False,Food Bank of Northeast Georgia,1,30622.0,Bogart
50,160442,1222,C-111,Churches Homes Foundation,464310,,ON PREMISES (OP),YOUTH-Agency,YELLOW RECEIPT - SHN,W-16-10003,14,0.0,0.0,2.52,14.0,26.88,-24.36,OCONEE,0.18,03/21/2023 12:16:00 PM,03/21/2023 09:14:17 AM,Price Code 1,CUSTOMER PICKUP,ASSORTED FOOD ITEMS SHD,False,Food Bank of Northeast Georgia,1,30622.0,Bogart
768,160377,8494,L-110,Living Word Baptist Church,464245,,FP/USDA,MOBILE PANTRY-Agency,YELLOW RECEIPT - SHN,N-02-10028,50,0.0,0.0,0.0,150.0,288.0,-288.0,OCONEE,0.0,03/21/2023 03:30:00 PM,03/23/2023 08:50:44 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,GERBER ORGANIC VEGGIE POWER PUMPKIN/BANANA/CARROT,False,Food Bank of Northeast Georgia,1,30622.0,Bogart
643,151438,4271,G-131,"Grace Fellowship Church, INC",455549,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10274,13,0.0,0.0,0.0,351.0,579.15,-579.15,OCONEE,0.0,07/28/2022 03:00:00 PM,07/29/2022 06:32:55 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA CHICK PEAS,False,Food Bank of Northeast Georgia,1,30622.0,Bogart
