Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
434,151715,5388,P-114,Paradise Mountain Ministries,455826,,ON PREMISES (OP),YOUTH-Agency,BLUE RECEIPT-SHL,F-16-10001,39,0.0,0.0,7.02,39.0,74.88,-67.86,STEPHENS,0.18,08/02/2022 01:42:00 PM,08/02/2022 11:38:50 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Rabun Warehouse,2,30577.0,Toccoa
399,153145,800,S-125,The Salvation Army - Toccoa Co,457252,,FP/OP/GNAP/USDA,SALVATION ARMY-Agency,USDA,N-50-10065,7,0.0,0.0,34.02,189.0,338.31,-304.29,STEPHENS,0.18,09/12/2022 08:00:00 AM,09/12/2022 11:25:32 AM,Price Code 1,Food Bank Truck,USDA APPLESAUCE,False,Rabun Warehouse,2,30577.0,Toccoa
704,154097,1356,Z-100,Zebulon Baptist Church,457998,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10131,3,0.0,0.0,5.94,33.0,63.36,-57.42,STEPHENS,0.18,10/06/2022 08:46:00 AM,10/06/2022 02:03:37 PM,Price Code 1,CONTACT FOR DELIVERY,GNAP CHUNK CHICKEN,False,Rabun Warehouse,2,30577.0,Toccoa
972,155628,1586,10-NGASCMP,Food Bank NEGA Stephens County MP,459520,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10053,13,0.0,0.0,0.0,351.0,673.92,-673.92,STEPHENS,0.0,11/11/2022 12:01:00 AM,11/11/2022 02:33:13 PM,Mobile Pantry/Feed Site Only,TRUCK 2 MOBILE PANTRY,USDA MIXED FRUIT IN LIGHT SYRP,False,Rabun Warehouse,2,,
704,156162,3214,Z-100,Zebulon Baptist Church,460053,,FP/GNAP/USDA,FOOD PANTRY-Agency,PURCH,N-27-10033,1,0.0,0.0,4.86,27.0,51.84,-46.98,STEPHENS,0.18,11/28/2022 08:46:00 AM,11/28/2022 09:41:23 AM,Price Code 1,CONTACT FOR DELIVERY,"GREEN BEANS, CUT",False,Rabun Warehouse,2,30577.0,Toccoa
704,155247,5938,Z-100,Zebulon Baptist Church,459144,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,C-28-10001,75,0.0,0.0,2.25,75.0,144.0,-141.75,STEPHENS,0.03,11/03/2022 08:46:00 AM,11/03/2022 01:29:03 PM,Price Code 1,CONTACT FOR DELIVERY,"PRODUCE, FRESH SHL",False,Rabun Warehouse,2,30577.0,Toccoa
568,163163,7086,F-134,Full Gospel Baptist Church,467025,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,C-50-10036,3,0.0,0.0,3.33,111.0,213.12,-209.79,STEPHENS,0.03,06/09/2023 03:39:00 PM,06/09/2023 08:10:19 AM,Price Code 1,CUSTOMER PICKUP,USDA SWEET POTATOES,False,Rabun Warehouse,2,30557.0,Martin
704,152149,690,Z-100,Zebulon Baptist Church,456259,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,89,0.0,0.0,2.67,89.0,170.88,-168.21,STEPHENS,0.03,08/18/2022 12:00:00 AM,08/18/2022 01:43:31 PM,Price Code 1,CONTACT FOR DELIVERY,"ASSORTED BEVERAGES, SHL",False,Rabun Warehouse,2,30577.0,Toccoa
434,161958,690,P-114,Paradise Mountain Ministries,465823,,ON PREMISES (OP),YOUTH-Agency,BLUE RECEIPT-SHL,W-03-10013,33,0.0,0.0,0.99,33.0,63.36,-62.37,STEPHENS,0.03,05/02/2023 01:42:00 PM,05/02/2023 12:00:40 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Rabun Warehouse,2,30577.0,Toccoa
679,159306,8488,FBBB-14,Stephens: New Hope BC Senior Staples Program,463177,,BROWN BAG,FB BROWN BAG-Agency,YELLOW RECEIPT - SHN,N-16-10160,40,0.0,0.0,0.0,160.0,307.2,-307.2,STEPHENS,0.0,02/21/2023 09:35:00 AM,02/21/2023 09:00:57 AM,Mobile Pantry/Feed Site Only,CUSTOMER PICKUP,"LENTIL SOUP MIX, MAGGI",False,Rabun Warehouse,2,30577.0,Toccoa
568,155469,875,F-134,Full Gospel Baptist Church,459363,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,40,0.0,0.0,0.0,40.0,76.8,-76.8,STEPHENS,0.0,11/04/2022 03:39:00 PM,11/04/2022 08:52:10 AM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Rabun Warehouse,2,30557.0,Martin
704,156549,4142,Z-100,Zebulon Baptist Church,460437,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10214,3,0.0,0.0,14.04,78.0,149.76,-135.72,STEPHENS,0.18,12/08/2022 01:30:00 PM,12/08/2022 02:11:46 PM,Price Code 1,CONTACT FOR DELIVERY,GNAP CUT GREEN BEANS,False,Rabun Warehouse,2,30577.0,Toccoa
922,152487,3542,T-126,The Springs of Toccoa,456596,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10237,24,0.0,0.0,0.0,336.0,645.12,-645.12,STEPHENS,0.0,08/25/2022 08:57:00 AM,08/25/2022 02:35:37 PM,Price Code 1,TRUCK 2 MOBILE PANTRY,USDA TOASTED WHOLE GRAIN OAT CEREAL,False,Rabun Warehouse,2,30577.0,Toccoa
968,160921,690,C-180,Circle of Hope Transitional Housing,464789,,ON PREMISES (OP),RESIDENTIAL-Agency,BLUE RECEIPT-SHL,W-03-10013,22,0.0,0.0,0.66,22.0,42.24,-41.58,STEPHENS,0.03,04/04/2023 02:00:00 PM,04/04/2023 02:31:09 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Rabun Warehouse,2,30571.0,Eastanollee
631,159607,8507,N-119,New Hope Baptist Church Toccoa,463478,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-05-10175,2,0.0,0.0,3.24,18.0,34.56,-31.32,STEPHENS,0.18,03/01/2023 11:00:00 AM,03/01/2023 11:01:31 AM,Price Code 1,CUSTOMER PICKUP,KELLOGGS ELF ON THE SHELF CEREAL,False,Rabun Warehouse,2,30577.0,Toccoa
704,161859,3943,Z-100,Zebulon Baptist Church,465724,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10268,2,0.0,0.0,2.28,76.0,145.92,-143.64,STEPHENS,0.03,05/04/2023 01:30:00 PM,05/04/2023 01:21:06 PM,Price Code 1,CONTACT FOR DELIVERY,USDA APPLE JUICE,False,Rabun Warehouse,2,30577.0,Toccoa
878,157274,5938,M-131,Martin Baptist Church,461157,,FP/USDA,EMERGENCY-Agency,BLUE RECEIPT-SHL,C-28-10001,2000,0.0,0.0,0.0,2000.0,3840.0,-3840.0,STEPHENS,0.0,01/03/2023 02:33:00 PM,01/03/2023 06:57:04 AM,Price Code 1,TRUCK 2 MOBILE PANTRY,"PRODUCE, FRESH SHL",False,Rabun Warehouse,2,30557.0,Martin
399,155037,4142,S-125,The Salvation Army - Toccoa Co,458934,,FP/OP/GNAP/USDA,SALVATION ARMY-Agency,GNAP,N-40-10214,12,0.0,0.0,56.16,312.0,599.04,-542.88,STEPHENS,0.18,11/01/2022 12:00:00 AM,11/01/2022 06:54:18 AM,Price Code 1,Food Bank Truck,GNAP CUT GREEN BEANS,False,Rabun Warehouse,2,30577.0,Toccoa
922,156658,7307,T-126,The Springs of Toccoa,460545,,FP/USDA,MOBILE PANTRY-Agency,USDA,C-50-10045,100,0.0,0.0,0.0,1000.0,1920.0,-1920.0,STEPHENS,0.0,12/09/2022 12:46:00 PM,12/09/2022 03:17:11 PM,Price Code 1,TRUCK 2 MOBILE PANTRY,USDA PRODUCE BOXES,False,Rabun Warehouse,2,30577.0,Toccoa
631,152449,683,N-119,New Hope Baptist Church Toccoa,456558,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,33,0.0,0.0,3.3,33.0,63.36,-60.06,STEPHENS,0.1,08/23/2022 12:00:00 AM,08/23/2022 10:14:01 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Rabun Warehouse,2,30577.0,Toccoa
722,158075,696,M-136,Miracles Happen Recovery Residence INC,461957,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,W-25-10000,28,0.0,0.0,5.04,28.0,53.76,-48.72,STEPHENS,0.18,01/20/2023 12:01:00 PM,01/20/2023 02:07:06 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LL",False,Food Bank of Northeast Georgia,1,30577.0,Toccoa
399,158817,8478,S-125,The Salvation Army - Toccoa Co,462691,,FP/OP/GNAP/USDA,SALVATION ARMY-Agency,YELLOW RECEIPT - SHN,N-25-11859,4,0.0,0.0,3.6,20.0,38.4,-34.8,STEPHENS,0.18,02/14/2023 08:00:00 AM,02/14/2023 09:03:41 AM,Price Code 1,Food Bank Truck,BELVITA PUMPKIN SPICE BREAKFAST BISCUITS,False,Rabun Warehouse,2,30577.0,Toccoa
922,156658,84,T-126,The Springs of Toccoa,460545,,FP/USDA,MOBILE PANTRY-Agency,USDA,N-50-10006,13,0.0,0.0,0.0,351.0,673.92,-673.92,STEPHENS,0.0,12/09/2022 12:46:00 PM,12/09/2022 03:17:11 PM,Price Code 1,TRUCK 2 MOBILE PANTRY,USDA GREEN BEANS,False,Rabun Warehouse,2,30577.0,Toccoa
755,161355,5621,R-121,Rehoboth Assembly of God,465220,,FOOD PANTRY,FOOD PANTRY-Agency,LOCAL - LL,F-16-10000,47,0.0,0.0,8.46,47.0,90.24,-81.78,STEPHENS,0.18,04/17/2023 01:40:00 PM,04/17/2023 10:55:01 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, LL",False,Rabun Warehouse,2,30577.0,Toccoa
399,161298,8493,S-125,The Salvation Army - Toccoa Co,465163,,FP/OP/GNAP/USDA,SALVATION ARMY-Agency,YELLOW RECEIPT - SHN,N-02-10027,2,0.0,0.0,0.36,2.0,3.84,-3.48,STEPHENS,0.18,04/18/2023 08:00:00 AM,04/18/2023 12:08:49 PM,Price Code 1,Food Bank Truck,"GERBER YOGURT MELTS, STRAWBERRY/MIX BERRY",False,Rabun Warehouse,2,30577.0,Toccoa
755,153158,875,R-121,Rehoboth Assembly of God,457265,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,28,0.0,0.0,0.0,28.0,53.76,-53.76,STEPHENS,0.0,09/09/2022 01:40:00 PM,09/09/2022 02:12:12 PM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Rabun Warehouse,2,30577.0,Toccoa
568,154354,688,F-134,Full Gospel Baptist Church,458253,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-01-10000,27,0.0,0.0,4.86,27.0,48.33,-43.47,STEPHENS,0.18,10/07/2022 03:39:00 PM,10/07/2022 09:00:54 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, SHL",False,Rabun Warehouse,2,30557.0,Martin
704,161306,875,Z-100,Zebulon Baptist Church,465171,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,232,0.0,0.0,0.0,232.0,445.44,-445.44,STEPHENS,0.0,04/20/2023 01:30:00 PM,04/20/2023 01:47:40 PM,Price Code 1,CONTACT FOR DELIVERY,"BREAD & BAKERY, ASSORTED SHL",False,Rabun Warehouse,2,30577.0,Toccoa
568,150987,5388,F-134,Full Gospel Baptist Church,455100,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,300,0.0,0.0,0.0,300.0,553.51,-553.51,STEPHENS,0.0,07/12/2022 03:39:00 PM,07/12/2022 08:41:56 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Rabun Warehouse,2,30557.0,Martin
679,155078,170,FBBB-14,Stephens: New Hope BC Senior Staples Program,458975,,BROWN BAG,FB BROWN BAG-Agency,USDA,N-50-10007,4,0.0,0.0,0.0,112.0,215.04,-215.04,STEPHENS,0.0,10/26/2022 09:35:00 AM,10/26/2022 09:20:38 AM,Mobile Pantry/Feed Site Only,CUSTOMER PICKUP,"USDA CORN, WHOLE KERNEL NO SALT",False,Rabun Warehouse,2,30577.0,Toccoa
568,150412,7269,F-134,Full Gospel Baptist Church,454525,,FP/GNAP/USDA,FOOD PANTRY-Agency,LOCAL - LL,N-16-10148,50,0.0,0.0,126.0,700.0,1253.0,-1127.0,STEPHENS,0.18,07/08/2022 12:00:00 AM,07/08/2022 08:29:54 AM,Price Code 1,CUSTOMER PICKUP,PANTRY BOX - ASSORTED CANNED GOODS (SEE PIC FOR EXAMPLE),False,Rabun Warehouse,2,30557.0,Martin
704,157283,92,Z-100,Zebulon Baptist Church,461166,,FP/GNAP/USDA,FOOD PANTRY-Agency,LOCAL - LL,W-01-10002,7,0.0,0.0,1.26,7.0,13.44,-12.18,STEPHENS,0.18,01/05/2023 01:30:00 PM,01/05/2023 02:01:31 PM,Price Code 1,CONTACT FOR DELIVERY,"ASSORTED NON-FOOD ITEMS, LL",False,Rabun Warehouse,2,30577.0,Toccoa
522,161012,683,C-159,Camp Toccoa (Camp Fire GA),464880,,ON PREMISES (OP),YOUTH-Agency,BLUE RECEIPT-SHL,W-16-10001,29,0.0,0.0,2.9,29.0,55.68,-52.78,STEPHENS,0.1,04/06/2023 08:05:00 AM,04/06/2023 10:49:13 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Rabun Warehouse,2,30577.0,Toccoa
631,162462,688,N-119,New Hope Baptist Church Toccoa,466327,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-01-10000,24,0.0,0.0,4.32,24.0,46.08,-41.76,STEPHENS,0.18,05/17/2023 11:00:00 AM,05/17/2023 11:33:47 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, SHL",False,Rabun Warehouse,2,30577.0,Toccoa
