Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
953,182162,9044,C-179,Crossview Church Food Pantry,484766,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10278,4,0.0,0.0,0.0,32.0,61.76,-61.76,BARROW,0.0,06/24/2024 10:30:01 AM,06/24/2024 01:15:06 PM,Price Code 1,VAN 1,"GNAP PASTA SIDE, ALFREDO ",False,Food Bank of Northeast Georgia,01,30548,Hoschton
479,176285,5388,W-118,Winder Wesleyan Church,478910,,FP/OP,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-16-10001,3,0.0,0.0,0.54,3.0,8.79,-8.25,BARROW,0.18,02/27/2024 10:24:00 AM,02/27/2024 10:29:38 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED FROZEN FOODS, SHL",False,Sharing Floor Athens,01-SH,30680,Winder
172,175123,696,P-104,Project Adam Community Asst Ct,477752,,ON PREMISES (OP),REHAB-Agency,LOCAL - LL,W-25-10000,27,0.0,0.0,4.86,27.0,52.11,-47.25,BARROW,0.18,02/05/2024 01:41:00 PM,02/05/2024 11:03:33 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LL",False,Sharing Floor Athens,01-SH,30680,Winder
682,173185,683,C-170,Christ The King Ghana Methodist,476815,,DIRECT ASSISTANCE,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,81,0.0,0.0,14.58,81.0,237.33,-222.75,BARROW,0.18,01/17/2024 03:05:00 PM,01/17/2024 10:48:30 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Athens,01-SH,30680,Winder
1040,180765,4448,H-159,Hills Temple FBH Church,483371,,FP/OP/GNAP/USDA,FB DIRECT ASSISTANCE-Agency,USDA,F-50-90446,6,0.0,0.0,0.0,168.0,324.24,-324.24,BARROW,0.0,05/17/2024 09:15:01 AM,05/17/2024 10:44:24 AM,Price Code 1,CUSTOMER PICKUP,USDA FROZEN STRAWBERRY FRUIT CUPS,False,Food Bank of Northeast Georgia,01,30680,Winder
953,181721,8973,C-179,Crossview Church Food Pantry,FAIMPORT484325,,FP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCC-16-10001,166,0.0,0.0,0.0,166.0,320.38,-320.38,BARROW,0.0,05/29/2024 12:00:00 AM,05/29/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"COOLER FOOD MISC., SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30548,Hoschton
1040,180109,9046,H-159,Hills Temple FBH Church,482717,,FP/OP/GNAP/USDA,FB DIRECT ASSISTANCE-Agency,GNAP,N-40-10280,5,0.0,0.0,0.0,50.0,96.5,-96.5,BARROW,0.0,05/07/2024 08:45:01 AM,05/07/2024 10:58:46 AM,Price Code 1,CUSTOMER PICKUP,GNAP CHEESEBURGER DINNER,False,Food Bank of Northeast Georgia,01,30680,Winder
497,165539,683,W-119,Winder Freelife Church,469397,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,60,0.0,0.0,6.0,60.0,115.8,-109.8,BARROW,0.1,08/02/2023 02:38:00 PM,08/02/2023 11:48:41 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Food Bank of Northeast Georgia,01,30680,Winder
29,181295,8970,B-107,Barrow County Food Pantry,FAIMPORT483900,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCW-16-10001,84,0.0,0.0,0.0,84.0,162.12,-162.12,BARROW,0.0,05/07/2024 12:00:00 AM,05/07/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"MISC. FOOD BOX, SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30680,Winder
682,166137,5772,C-170,Christ The King Ghana Methodist,469992,,DIRECT ASSISTANCE,FOOD PANTRY-Agency,LOCAL - LL,C-28-10000,313,0.0,0.0,9.39,313.0,604.09,-594.7,BARROW,0.03,08/16/2023 03:05:00 PM,08/23/2023 10:02:07 AM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH LL",False,Food Bank of Northeast Georgia,01,30680,Winder
