Agency Id,Order Id,Product Id,Agency Ref,Agency Name,Order Ref,Agency Activity,Agency Group,Agency Type,Product Category,Product Ref,Quantity,Total Purchased,Total Cost,Total Service Fee,Weight,Total Value,Gross Margin,County,Service Fee,Pickup Delivery Date,Confirmed Date,Service Fee Name,Shipping Method,Product Name,Is Non Food,Warehouse Name,Warehouse Ref,Agency Postal Code,Agency City
842,166915,1505,C-153,Cedar Grove Baptist Church,470770,,FP/GNAP/USDA,FOOD PANTRY-Agency,GNAP,N-40-10135,2,0.0,0.0,0.0,26.0,49.92,-49.92,MADISON,0.0,09/13/2023 10:00:00 AM,09/13/2023 10:25:43 AM,Price Code 1,CUSTOMER PICKUP,"GNAP PEANUT BUTTER, CREAMY",False,Food Bank of Northeast Georgia,01,30629,Comer
836,180311,3203,G-122,Gordon's Chapel Methodist Church,482917,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10289,4,0.0,0.0,18.0,100.0,193.0,-175.0,MADISON,0.18,05/15/2024 02:15:00 PM,05/15/2024 01:29:43 PM,Price Code 1,CUSTOMER PICKUP,USDA PECAN PIECES,False,Food Bank of Northeast Georgia,01,30646,Hull
549,170212,5637,R-120,Roger's Baptist Church,473844,,FP/OP/USDA,FOOD PANTRY-Agency,USDA,F-50-90019,5,0.0,0.0,24.0,150.0,289.5,-265.5,MADISON,0.16,11/21/2023 01:30:00 PM,11/21/2023 02:08:14 PM,Price Code 1,CUSTOMER PICKUP,USDA FROZEN BLUEBERRIES CCC,False,Food Bank of Northeast Georgia,01,30530,Commerce
371,172804,92,E-111,Evangelical Methodist Church - Danielsville,476435,,FOOD PANTRY,FOOD PANTRY-Agency,LOCAL - LL,W-01-10002,12,0.0,0.0,2.16,12.0,23.04,-20.88,MADISON,0.18,01/09/2024 01:56:00 PM,01/09/2024 11:47:53 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED NON-FOOD ITEMS, LL",False,Sharing Floor Athens,01-SH,30633,Danielsville
892,166427,3779,L-114,Legacy Baptist Church,470282,,FP/USDA,FOOD PANTRY-Agency,USDA,N-50-10271,1,0.0,0.0,4.86,27.0,52.11,-47.25,MADISON,0.18,08/28/2023 01:38:41 PM,08/28/2023 01:43:27 PM,Price Code 1,CUSTOMER PICKUP,USDA BLACK BEANS CCC,False,Food Bank of Northeast Georgia,01,30646,Hull
915,178700,8975,T-122,Tabors Chapel CME Church,FAIMPORT481314,,DIRECT ASSISTANCE,DIRECT ASSISTANCE-Agency,BLUE RECEIPT-SHL,MCC-07-10001,22,0.0,0.0,0.0,22.0,0.0,0.0,MADISON,0.0,04/08/2024 12:00:00 AM,04/08/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"DAIRY PRODUCTS, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30633,Danielsville
571,170594,690,F-122,Freedom Church of God,474225,,FP/OP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,50,0.0,0.0,1.5,50.0,146.5,-145.0,MADISON,0.03,11/14/2023 02:21:00 PM,11/14/2023 11:51:53 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Sharing Floor Athens,01-SH,30530,Commerce
371,166095,5407,E-111,Evangelical Methodist Church - Danielsville,469950,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-15-10000,64,0.0,0.0,11.52,64.0,123.52,-112.0,MADISON,0.18,08/15/2023 01:56:00 PM,08/15/2023 11:30:18 AM,Price Code 1,CUSTOMER PICKUP,"MEAT & SEAFOOD, FROZEN SHL",False,Food Bank of Northeast Georgia,01,30633,Danielsville
832,166778,4449,U-104,Union Baptist Church,470633,,FP/OP/USDA,FOOD PANTRY-Agency,USDA,F-50-90445,1,0.0,0.0,7.38,41.0,79.13,-71.75,MADISON,0.18,09/06/2023 02:53:00 PM,09/12/2023 08:08:56 AM,Price Code 1,CUSTOMER PICKUP,USDA FULLY COOKED PULLED PORK CCC,False,Food Bank of Northeast Georgia,01,30646,Hull
915,173936,3776,T-122,Tabors Chapel CME Church,477565,,DIRECT ASSISTANCE,DIRECT ASSISTANCE-Agency,BLUE RECEIPT-SHL,N-03-11125,5,0.0,0.0,0.0,165.0,318.45,-318.45,MADISON,0.0,02/05/2024 02:19:00 PM,02/05/2024 11:44:00 AM,Price Code 1,CUSTOMER PICKUP,PEPSI WILD CHERRY,False,Food Bank of Northeast Georgia,01,30633,Danielsville
799,176783,6780,C-149,Colbert Methodist Church,479406,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,C-50-10024,4,0.0,0.0,17.2,172.0,331.96,-314.76,MADISON,0.1,03/12/2024 07:56:00 AM,03/12/2024 12:44:22 PM,Price Code 1,CUSTOMER PICKUP,USDA APPLES,False,Food Bank of Northeast Georgia,01,30628,Colbert
137,173168,875,J-100,Jubilee Partners,476798,,FP/OP/GNAP,RESIDENTIAL-Agency,BLUE RECEIPT-SHL,W-04-10000,25,0.0,0.0,0.0,25.0,48.25,-48.25,MADISON,0.0,01/17/2024 01:23:00 PM,01/17/2024 09:04:58 AM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Sharing Floor Athens,01-SH,30629,Comer
371,180626,8970,E-111,Evangelical Methodist Church - Danielsville,FAIMPORT483232,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCW-16-10001,21,0.0,0.0,0.0,21.0,40.53,-40.53,MADISON,0.0,05/09/2024 12:00:00 AM,05/09/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"MISC. FOOD BOX, SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30633,Danielsville
477,165365,8705,W-117,Waggoners Grove Baptist Church,469223,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-16-10167,3,0.0,0.0,3.24,18.0,0.0,3.24,MADISON,0.18,08/02/2023 02:38:00 PM,08/11/2023 01:07:23 PM,Price Code 1,CUSTOMER PICKUP,CLOVER VALLEY CANOLA OIL COOKING SPRAY,False,Food Bank of Northeast Georgia,01,30628,Colbert
371,180461,8975,E-111,Evangelical Methodist Church - Danielsville,FAIMPORT483067,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,MCC-07-10001,23,0.0,0.0,0.0,23.0,44.39,-44.39,MADISON,0.0,04/18/2024 12:00:00 AM,04/18/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"DAIRY PRODUCTS, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30633,Danielsville
981,181020,688,D-111,Divine Healing Ministry of Recovery Inc.,483625,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-01-10000,3,0.0,0.0,0.54,3.0,8.79,-8.25,MADISON,0.18,05/17/2024 11:38:00 AM,05/17/2024 11:43:43 AM,Price Code 1,CONTACT FOR DELIVERY,"ASSORTED NON-FOOD ITEMS, SHL",False,Sharing Floor Athens,01-SH,30633,Commerce
571,164699,8682,F-122,Freedom Church of God,468561,,FP/OP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11727,1,0.0,0.0,1.4,28.0,54.04,-52.64,MADISON,0.05,07/14/2023 05:37:36 PM,07/14/2023 12:28:19 PM,Price Code 1,CONTACT FOR DELIVERY,LIPTON DIET GREEN TEA CITRUS,False,Food Bank of Northeast Georgia,01,30530,Commerce
571,175776,8625,F-122,Freedom Church of God,478404,,FP/OP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11261,1,0.0,0.0,0.0,33.0,63.69,-63.69,MADISON,0.0,02/22/2024 02:21:00 PM,02/22/2024 02:22:53 PM,Price Code 1,CUSTOMER PICKUP,STARRY ZERO SUGAR 24 X 20 FL OZ,False,Food Bank of Northeast Georgia,01,30530,Commerce
898,181004,5407,M-132,Meadow Baptist Church,483609,,FP/USDA,DIRECT ASSISTANCE-Agency,BLUE RECEIPT-SHL,F-15-10000,150,0.0,0.0,27.0,150.0,289.5,-262.5,MADISON,0.18,05/17/2024 10:02:00 AM,05/17/2024 08:46:58 AM,Price Code 1,CUSTOMER PICKUP,"MEAT & SEAFOOD, FROZEN SHL",False,Sharing Floor Athens,01-SH,30629,Comer
387,167110,5938,W-113,Word of Life Church,470965,,FP/OP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,C-28-10001,79,0.0,0.0,2.37,79.0,152.47,-150.1,MADISON,0.03,09/07/2023 11:01:00 AM,09/07/2023 09:44:26 AM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH SHL",False,Sharing Floor Athens,01-SH,30628,Colbert
832,175683,8720,U-104,Union Baptist Church,478311,,FP/OP/USDA,FOOD PANTRY-Agency,USDA,N-50-10305,2,0.0,0.0,5.04,28.0,54.04,-49.0,MADISON,0.18,02/22/2024 11:46:00 AM,02/22/2024 02:24:41 PM,Price Code 1,CUSTOMER PICKUP,USDA MIXED VEGETABLES CCC,False,Food Bank of Northeast Georgia,01,30646,Hull
549,182552,875,R-120,Roger's Baptist Church,485155,,FP/OP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,19,0.0,0.0,0.0,19.0,36.67,-36.67,MADISON,0.0,06/25/2024 03:13:00 PM,06/25/2024 03:46:21 PM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Sharing Floor Athens,01-SH,30530,Commerce
981,182023,688,D-111,Divine Healing Ministry of Recovery Inc.,484627,,ON PREMISES (OP),REHAB-Agency,BLUE RECEIPT-SHL,W-01-10000,44,0.0,0.0,0.0,44.0,128.92,-128.92,MADISON,0.0,06/07/2024 10:39:00 AM,06/07/2024 10:42:21 AM,Price Code 1,CONTACT FOR DELIVERY,"ASSORTED NON-FOOD ITEMS, SHL",False,Sharing Floor Athens,01-SH,30633,Commerce
799,177743,8783,C-149,Colbert Methodist Church,480362,,FP/GNAP/USDA,FOOD PANTRY-Agency,USDA,N-50-10308,3,0.0,0.0,12.42,69.0,133.17,-120.75,MADISON,0.18,03/26/2024 09:56:00 AM,03/26/2024 10:42:07 AM,Price Code 1,CUSTOMER PICKUP,USDA RAISINS,False,Food Bank of Northeast Georgia,01,30628,Colbert
915,177186,8975,T-122,Tabors Chapel CME Church,FAIMPORT479807,,DIRECT ASSISTANCE,DIRECT ASSISTANCE-Agency,BLUE RECEIPT-SHL,MCC-07-10001,23,0.0,0.0,0.0,23.0,0.0,0.0,MADISON,0.0,03/11/2024 12:00:00 AM,03/11/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"DAIRY PRODUCTS, SHL RETAIL PICKUPS",False,Food Bank of Northeast Georgia,01,30633,Danielsville
898,172641,8903,M-132,Meadow Baptist Church,476272,,FP/USDA,DIRECT ASSISTANCE-Agency,YELLOW RECEIPT - SHN,N-16-10181,2,0.0,0.0,1.8,10.0,0.0,1.8,MADISON,0.18,01/19/2024 08:02:00 AM,01/19/2024 09:06:52 AM,Price Code 1,CUSTOMER PICKUP,STOVE TOP STUFFING - TURKEY/CHICKEN/CORNBREAD,False,Food Bank of Northeast Georgia,01,30629,Comer
137,165522,5772,J-100,Jubilee Partners,469380,,FP/OP/GNAP,RESIDENTIAL-Agency,LOCAL - LL,C-28-10000,148,0.0,0.0,4.44,148.0,285.64,-281.2,MADISON,0.03,08/02/2023 01:23:00 PM,08/02/2023 09:10:22 AM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH LL",False,Food Bank of Northeast Georgia,01,30629,Comer
915,179995,8972,T-122,Tabors Chapel CME Church,FAIMPORT482604,,DIRECT ASSISTANCE,DIRECT ASSISTANCE-Agency,BLUE RECEIPT-SHL,MCF-15-10000,1,0.0,0.0,0.0,1.0,1.93,-1.93,MADISON,0.0,04/29/2024 12:00:00 AM,04/29/2024 12:00:00 AM,Price Code 1,CUSTOMER PICKUP,"FROZEN MEAT & SEAFOOD, SHL RETAIL PICKUP",False,Food Bank of Northeast Georgia,01,30633,Danielsville
477,169601,683,W-117,Waggoners Grove Baptist Church,473234,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-16-10001,8,0.0,0.0,1.44,8.0,15.44,-14.0,MADISON,0.18,10/25/2023 02:38:00 PM,10/25/2023 01:51:14 PM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX SHL,False,Sharing Floor Athens,01-SH,30628,Colbert
477,173926,690,W-117,Waggoners Grove Baptist Church,477555,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-03-10013,517,0.0,0.0,0.0,517.0,997.81,-997.81,MADISON,0.0,01/31/2024 02:38:00 PM,01/31/2024 01:57:41 PM,Price Code 1,CUSTOMER PICKUP,"ASSORTED BEVERAGES, SHL",False,Sharing Floor Athens,01-SH,30628,Colbert
477,171504,8873,W-117,Waggoners Grove Baptist Church,475135,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,F-10-10001,10,0.0,0.0,0.9,30.0,0.0,0.9,MADISON,0.03,12/14/2023 10:00:00 AM,12/15/2023 11:00:56 AM,Price Code 1,CUSTOMER PICKUP,OUTSHINE STRAWBERRY BANANA SMOOTHIE CUBES,False,Food Bank of Northeast Georgia,01,30628,Colbert
799,171874,7094,C-149,Colbert Methodist Church,475505,,FP/GNAP/USDA,FOOD PANTRY-Agency,PURCH,N-21-10056,3,0.0,0.0,6.48,36.0,0.0,6.48,MADISON,0.18,12/15/2023 09:56:00 AM,12/15/2023 10:47:48 AM,Price Code 1,CUSTOMER PICKUP,MACARONI & CHEESE,False,Food Bank of Northeast Georgia,01,30628,Colbert
477,172220,8877,W-117,Waggoners Grove Baptist Church,475851,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-03-11782,3,0.0,0.0,1.62,54.0,0.0,1.62,MADISON,0.03,12/22/2023 02:38:00 PM,12/22/2023 08:17:16 AM,Price Code 1,CUSTOMER PICKUP,CELSIUS LIVE FIT VAR PACK,False,Food Bank of Northeast Georgia,01,30628,Colbert
387,165064,50,W-113,Word of Life Church,468923,,FP/OP/USDA,FOOD PANTRY-Agency,LOCAL - LL,W-16-10002,30,0.0,0.0,3.0,30.0,57.6,-54.6,MADISON,0.1,07/20/2023 11:01:00 AM,07/20/2023 09:49:48 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX LL,False,Food Bank of Northeast Georgia,01,30628,Colbert
371,178605,875,E-111,Evangelical Methodist Church - Danielsville,481221,,FOOD PANTRY,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,W-04-10000,15,0.0,0.0,0.0,15.0,43.95,-43.95,MADISON,0.0,04/09/2024 01:56:00 PM,04/09/2024 11:36:31 AM,Price Code 1,CUSTOMER PICKUP,"BREAD & BAKERY, ASSORTED SHL",False,Sharing Floor Athens,01-SH,30633,Danielsville
477,165180,5407,W-117,Waggoners Grove Baptist Church,469038,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-15-10000,54,0.0,0.0,9.72,54.0,104.22,-94.5,MADISON,0.18,07/24/2023 02:38:00 PM,07/24/2023 02:14:37 PM,Price Code 1,CUSTOMER PICKUP,"MEAT & SEAFOOD, FROZEN SHL",False,Food Bank of Northeast Georgia,01,30628,Colbert
137,181912,696,J-100,Jubilee Partners,484516,,FP/OP/GNAP,RESIDENTIAL-Agency,LOCAL - LL,W-25-10000,18,0.0,0.0,1.62,18.0,52.74,-51.12,MADISON,0.09,06/05/2024 01:23:00 PM,06/05/2024 08:56:16 AM,Price Code 1,CUSTOMER PICKUP,"ASSORTED SNACK ITEMS, LL",False,Sharing Floor Athens,01-SH,30629,Comer
571,177546,3139,F-122,Freedom Church of God,480166,,FP/OP/USDA,FOOD PANTRY-Agency,USDA,N-50-10290,25,0.0,0.0,0.0,625.0,1206.25,-1206.25,MADISON,0.0,03/22/2024 02:21:00 PM,03/23/2024 06:46:17 AM,Price Code 1,TRUCK 1 MOBILE PANTRY,USDA WHOLE ALMONDS DRY ROASTED,False,Food Bank of Northeast Georgia,01,30530,Commerce
549,168588,8767,R-120,Roger's Baptist Church,472224,,FP/OP/USDA,FOOD PANTRY-Agency,LOCAL - LL,N-25-11920,9,0.0,0.0,3.24,18.0,34.74,-31.5,MADISON,0.18,10/17/2023 01:30:00 PM,10/26/2023 10:33:54 AM,Price Code 1,CUSTOMER PICKUP,TRUE NORTH CHOCOLATE NUT CRUNCH,False,Food Bank of Northeast Georgia,01,30530,Commerce
898,180663,9026,M-132,Meadow Baptist Church,483269,,FP/USDA,DIRECT ASSISTANCE-Agency,YELLOW RECEIPT - SHN,N-27-10138,2,0.0,0.0,7.92,44.0,0.0,7.92,MADISON,0.18,05/17/2024 08:30:01 AM,05/17/2024 08:36:48 AM,Price Code 1,CUSTOMER PICKUP,"HUNTS DICED TOMATOES BASIL, GARLIC, OREGANO",False,Food Bank of Northeast Georgia,01,30629,Comer
477,165251,4666,W-117,Waggoners Grove Baptist Church,469109,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,USDA,F-50-90032,3,0.0,0.0,21.6,120.0,231.6,-210.0,MADISON,0.18,07/28/2023 08:18:24 PM,07/28/2023 11:11:30 AM,Price Code 1,CUSTOMER PICKUP,USDA LEG QUARTERS CCC,False,Food Bank of Northeast Georgia,01,30628,Colbert
571,169675,8819,F-122,Freedom Church of God,473308,,FP/OP/USDA,FOOD PANTRY-Agency,LOCAL - LL,N-03-11760,4,0.0,0.0,3.12,104.0,200.72,-197.6,MADISON,0.03,10/31/2023 07:09:17 PM,10/31/2023 12:56:46 PM,Price Code 1,CUSTOMER PICKUP,ZEPHYRHILLS WATER,False,Food Bank of Northeast Georgia,01,30530,Commerce
477,179118,5407,W-117,Waggoners Grove Baptist Church,481731,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,F-15-10000,56,0.0,0.0,10.08,56.0,108.08,-98.0,MADISON,0.18,04/17/2024 02:38:00 PM,04/17/2024 01:56:50 PM,Price Code 1,CUSTOMER PICKUP,"MEAT & SEAFOOD, FROZEN SHL",False,Sharing Floor Athens,01-SH,30628,Colbert
915,175928,4350,T-122,Tabors Chapel CME Church,478556,,DIRECT ASSISTANCE,DIRECT ASSISTANCE-Agency,BLUE RECEIPT-SHL,N-03-11160,10,0.0,0.0,0.0,100.0,193.0,-193.0,MADISON,0.0,02/26/2024 02:19:00 PM,02/26/2024 12:55:08 PM,Price Code 1,CUSTOMER PICKUP,CHERRY DR PEPPER,False,Food Bank of Northeast Georgia,01,30633,Danielsville
571,171602,5772,F-122,Freedom Church of God,475233,,FP/OP/USDA,FOOD PANTRY-Agency,LOCAL - LL,C-28-10000,300,0.0,0.0,0.0,300.0,579.0,-579.0,MADISON,0.0,12/12/2023 02:21:00 PM,12/12/2023 12:47:12 PM,Price Code 1,CUSTOMER PICKUP,"PRODUCE, FRESH LL",False,Food Bank of Northeast Georgia,01,30530,Commerce
477,166723,6981,W-117,Waggoners Grove Baptist Church,470578,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,USDA,C-50-10018,5,0.0,0.0,0.0,95.0,183.35,-183.35,MADISON,0.0,09/18/2023 11:00:00 AM,09/18/2023 10:31:00 AM,Price Code 1,CUSTOMER PICKUP,USDA FRESH TABLE GRAPES CCC,False,Food Bank of Northeast Georgia,01,30628,Colbert
371,170586,50,E-111,Evangelical Methodist Church - Danielsville,474217,,FOOD PANTRY,FOOD PANTRY-Agency,LOCAL - LL,W-16-10002,32,0.0,0.0,5.76,32.0,61.76,-56.0,MADISON,0.18,11/14/2023 01:56:00 PM,11/14/2023 11:13:57 AM,Price Code 1,CUSTOMER PICKUP,MISC. FOOD BOX LL,False,Sharing Floor Athens,01-SH,30633,Danielsville
832,168352,8768,U-104,Union Baptist Church,471988,,FP/OP/USDA,FOOD PANTRY-Agency,YELLOW RECEIPT - SHN,N-25-11921,2,0.0,0.0,1.44,8.0,0.0,1.44,MADISON,0.18,10/04/2023 11:46:00 AM,10/10/2023 10:54:25 AM,Price Code 1,CUSTOMER PICKUP,BUGLES CORN SNACKS NACHO CHEESE,False,Food Bank of Northeast Georgia,01,30646,Hull
477,170489,4369,W-117,Waggoners Grove Baptist Church,474120,,FP/OP/GNAP/USDA,FOOD PANTRY-Agency,PURCH,N-11-10061,5,0.0,0.0,18.9,105.0,0.0,18.9,MADISON,0.18,11/16/2023 02:38:00 PM,11/17/2023 06:28:21 AM,Price Code 1,CUSTOMER PICKUP,"GRITS, QUICK ENRICHED",False,Food Bank of Northeast Georgia,01,30628,Colbert
571,172819,8837,F-122,Freedom Church of God,476450,,FP/OP/USDA,FOOD PANTRY-Agency,BLUE RECEIPT-SHL,N-03-11773,1,0.0,0.0,0.0,10.0,19.3,-19.3,MADISON,0.0,01/12/2024 02:21:00 PM,01/12/2024 12:55:56 PM,Price Code 1,CUSTOMER PICKUP,MT DEW PASSSIONFRUIT PUNCH,False,Food Bank of Northeast Georgia,01,30530,Commerce
